Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atlético Mineiro,2,14.0,15,0,0,3,1,16.1,0.3,2.1,0.15,73,188,38.8,403,54,42.9,35.1,95,15.8,22.6,169,9,5.3,29,2.07,18.7
Bahia,2,14.0,13,2,0,2,0,14.9,0.25,1.9,0.13,57,159,35.8,418,66,24.6,27.9,121,46.3,32.3,237,14,5.9,28,2.0,17.2
Botafogo (RJ),1,14.0,7,0,0,3,0,11.3,0.24,4.3,0.31,54,139,38.8,394,46,27.9,30.5,105,27.6,28.6,195,9,4.6,9,0.64,12.7
Ceará,2,14.0,13,2,0,1,0,15.0,0.26,2.0,0.14,72,235,30.6,313,42,52.4,39.5,121,58.7,46.8,257,13,5.1,15,1.07,13.0
Corinthians,2,15.0,19,3,0,1,0,19.2,0.31,0.2,0.01,49,109,45.0,287,54,28.2,31.3,107,26.2,30.0,162,6,3.7,4,0.27,11.5
Cruzeiro,2,15.0,9,0,0,2,0,13.5,0.22,4.5,0.3,43,115,37.4,191,38,41.4,23.4,113,31.9,33.8,242,5,2.1,9,0.6,8.0
Flamengo,1,14.0,5,0,0,0,0,6.2,0.12,1.2,0.08,41,104,39.4,339,39,26.3,29.5,71,21.1,26.3,152,13,8.6,10,0.71,13.0
Fluminense,1,13.0,15,0,0,5,0,13.7,0.31,-1.3,-0.1,25,69,36.2,198,54,24.2,28.7,85,24.7,24.0,175,11,6.3,5,0.38,12.2
Fortaleza,3,14.0,20,0,0,2,1,21.7,0.31,2.7,0.19,60,163,36.8,295,71,37.3,34.4,103,51.5,41.6,166,10,6.0,13,0.93,15.7
Grêmio,1,14.0,20,4,1,2,0,24.3,0.32,4.3,0.31,103,227,45.4,303,36,52.5,40.3,117,58.1,44.8,252,10,4.0,8,0.57,11.6
Internacional,2,14.0,18,1,0,1,2,12.9,0.27,-3.1,-0.22,38,123,30.9,248,35,36.3,34.6,90,36.7,32.3,159,5,3.1,14,1.0,11.0
Juventude,2,13.0,28,3,1,4,1,26.2,0.27,-0.8,-0.06,34,118,28.8,287,66,30.0,34.0,99,32.3,29.8,189,9,4.8,5,0.38,11.7
Mirassol,2,13.0,13,1,0,1,0,15.9,0.26,2.9,0.22,42,126,33.3,266,57,36.5,34.2,108,26.9,28.5,227,11,4.8,15,1.15,7.9
Palmeiras,1,13.0,11,1,2,3,0,11.4,0.26,0.4,0.03,43,183,23.5,280,38,47.9,39.8,83,59.0,49.1,165,11,6.7,12,0.92,15.9
RB Bragantino,2,15.0,15,0,0,5,1,17.2,0.29,3.2,0.22,40,113,35.4,331,81,28.1,30.9,125,16.0,23.4,265,10,3.8,7,0.47,11.4
Santos,1,14.0,17,2,0,1,0,16.6,0.21,-0.4,-0.03,51,147,34.7,244,44,40.2,34.4,116,42.2,37.1,221,4,1.8,9,0.64,12.7
São Paulo,1,15.0,18,3,0,3,1,21.0,0.32,4.0,0.26,41,158,25.9,263,30,46.0,38.0,106,34.9,31.2,252,5,2.0,13,0.87,14.3
Sport Recife,2,13.0,21,3,0,1,1,18.1,0.27,-1.9,-0.15,44,119,37.0,232,50,31.5,40.5,102,45.1,37.5,163,9,5.5,10,0.77,12.3
Vasco da Gama,1,14.0,19,0,0,2,3,16.2,0.33,0.2,0.01,29,101,28.7,309,54,24.6,30.4,108,23.1,27.8,225,15,6.7,10,0.71,11.9
Vitória,2,15.0,15,0,0,4,0,17.9,0.25,2.9,0.2,53,184,28.8,339,67,31.6,34.5,133,57.9,46.7,270,14,5.2,6,0.4,4.0
