Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atlético Mineiro,28,14.0,5452,6744,80.8,98705,34668,2359,2629,89.7,2343,2679,87.5,610,1087,56.1,7,10.1,11.9,-3.1,147,468,103,22,581
Bahia,27,14.0,6009,7126,84.3,100105,33404,2880,3121,92.3,2500,2798,89.3,450,840,53.6,12,15.4,15.7,-3.4,127,440,105,28,544
Botafogo (RJ),30,14.0,5811,6974,83.3,105865,35947,2486,2746,90.5,2566,2867,89.5,617,1041,59.3,12,13.6,14.8,-1.6,163,494,134,48,597
Ceará,27,14.0,3809,5099,74.7,72853,29438,1478,1732,85.3,1754,2110,83.1,499,989,50.5,11,10.9,9.8,0.1,114,315,84,39,385
Corinthians,30,15.0,7160,8405,85.2,134107,42048,2688,2993,89.8,3558,3898,91.3,787,1148,68.6,9,12.1,12.0,-3.1,124,570,84,21,632
Cruzeiro,30,15.0,4446,5755,77.3,76755,29502,2101,2386,88.1,1735,2078,83.5,473,935,50.6,23,16.1,11.8,6.9,159,394,97,34,458
Flamengo,25,14.0,7460,8569,87.1,129739,40069,3367,3648,92.3,3307,3590,92.1,654,1003,65.2,20,14.7,15.6,5.3,150,666,135,26,737
Fluminense,29,13.0,6081,7212,84.3,100464,33313,3006,3282,91.6,2412,2738,88.1,479,836,57.3,8,10.8,12.3,-2.8,122,438,107,36,503
Fortaleza,35,14.0,4563,5831,78.3,81697,29783,1959,2213,88.5,2017,2365,85.3,465,940,49.5,10,11.1,8.9,-1.1,131,388,85,29,475
Grêmio,31,14.0,4223,5449,77.5,78640,29112,1797,2095,85.8,1806,2102,85.9,521,975,53.4,8,9.8,8.8,-1.8,117,369,69,28,368
Internacional,32,14.0,5997,7256,82.6,104937,35683,2725,3016,90.4,2554,2921,87.4,578,971,59.5,12,14.7,14.5,-2.7,150,486,108,31,609
Juventude,33,13.0,4007,5162,77.6,74885,26914,1600,1821,87.9,1870,2183,85.7,453,874,51.8,8,6.5,5.4,1.5,90,259,55,16,357
Mirassol,28,13.0,4612,5755,80.1,80649,31125,2139,2389,89.5,1881,2208,85.2,480,847,56.7,12,11.4,11.2,0.6,132,353,82,28,464
Palmeiras,27,13.0,4426,5558,79.6,82411,27448,1867,2105,88.7,1930,2196,87.9,540,986,54.8,10,11.8,11.0,-1.8,136,372,87,33,467
RB Bragantino,26,15.0,5433,6727,80.8,98940,34809,2280,2571,88.7,2428,2809,86.4,594,1009,58.9,11,11.0,12.2,0.0,147,451,100,24,576
Santos,32,14.0,4668,5829,80.1,81099,30120,2200,2476,88.9,1943,2252,86.3,430,827,52.0,6,10.3,10.2,-4.3,115,371,90,34,455
São Paulo,29,15.0,5678,6935,81.9,101373,34011,2386,2665,89.5,2623,2951,88.9,546,1000,54.6,11,13.1,13.2,-2.1,139,449,107,34,523
Sport Recife,34,13.0,4688,5941,78.9,84169,30463,2033,2308,88.1,2024,2344,86.3,499,897,55.6,3,7.0,11.4,-4.0,118,417,111,27,544
Vasco da Gama,28,14.0,6353,7464,85.1,107924,35416,2966,3211,92.4,2691,2996,89.8,527,900,58.6,13,12.9,12.8,0.1,145,558,96,49,590
Vitória,29,15.0,4724,6047,78.1,87812,30418,1883,2133,88.3,2273,2629,86.5,489,1017,48.1,9,8.9,9.2,0.1,120,421,71,29,459
