Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atlético Mineiro,28,29.2,14,1260,90,100,14.0,154,81,89,64,22,99,1.43,16,15,1,0.07,16.4,13.6,2.8,0.2
Bahia,27,28.0,14,1260,90,100,14.0,154,79,82,70,24,98,1.79,17,13,4,0.29,20.2,18.3,1.9,0.14
Botafogo (RJ),30,27.2,14,1260,90,100,14.0,154,82,89,64,18,102,1.79,17,7,10,0.71,17.9,13.1,4.8,0.34
Ceará,27,29.7,14,1260,90,100,14.0,154,83,84,71,16,95,1.29,14,13,1,0.07,14.6,15.4,-0.8,-0.06
Corinthians,30,27.8,15,1350,90,100,15.0,165,81,99,67,21,113,1.27,15,19,-4,-0.27,17.1,19.0,-1.8,-0.12
Cruzeiro,30,29.5,15,1350,90,100,15.0,165,83,99,65,16,115,2.2,27,9,18,1.2,20.9,13.3,7.6,0.51
Flamengo,25,29.4,14,1260,90,100,14.0,154,80,84,70,22,97,2.14,27,5,22,1.57,21.1,8.1,13.1,0.93
Fluminense,29,31.1,13,1170,90,100,13.0,143,82,80,63,19,93,1.54,15,15,0,0.0,14.3,11.2,3.1,0.24
Fortaleza,35,31.0,14,1260,90,100,14.0,154,81,86,67,20,100,0.79,13,20,-7,-0.5,16.6,20.4,-3.8,-0.27
Grêmio,31,28.3,14,1260,90,100,14.0,154,79,86,68,25,98,1.21,14,20,-6,-0.43,14.5,21.3,-6.8,-0.49
Internacional,32,27.5,14,1260,90,100,14.0,154,78,85,68,26,100,1.21,14,18,-4,-0.29,18.1,14.7,3.4,0.24
Juventude,33,28.9,13,1170,90,100,13.0,143,80,77,66,22,90,0.85,10,28,-18,-1.38,8.0,23.8,-15.7,-1.21
Mirassol,28,30.2,13,1170,90,100,13.0,143,80,77,65,22,86,1.62,21,13,8,0.62,18.8,15.0,3.8,0.29
Palmeiras,27,26.7,13,1170,90,100,13.0,143,80,80,63,23,93,2.0,16,11,5,0.38,17.1,10.6,6.5,0.5
RB Bragantino,26,26.6,15,1350,90,100,15.0,165,79,88,75,22,104,1.8,18,15,3,0.2,16.5,16.1,0.3,0.02
Santos,32,28.5,14,1260,90,100,14.0,154,81,85,69,19,96,1.0,12,17,-5,-0.36,14.1,17.4,-3.3,-0.23
São Paulo,29,29.1,15,1350,90,100,15.0,165,81,98,68,23,109,1.07,14,18,-4,-0.27,18.7,18.4,0.3,0.02
Sport Recife,34,28.2,13,1170,90,100,13.0,143,79,79,64,24,89,0.23,5,21,-16,-1.23,10.5,17.4,-6.9,-0.53
Vasco da Gama,28,28.0,14,1260,90,100,14.0,154,82,87,66,17,102,1.0,15,19,-4,-0.29,15.4,19.0,-3.6,-0.26
Vitória,29,27.8,15,1350,90,100,15.0,165,79,97,67,26,110,1.0,11,15,-4,-0.27,13.3,18.0,-4.7,-0.31
