Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Atlético Mineiro,28,55.2,14.0,8354,866,2584,3895,1965,261,8352,234,107,45.7,105,44.9,4699,25578,12698,241,170,59,235,119,5393,577
Bahia,27,53.7,14.0,8658,935,2810,3702,2227,318,8656,259,123,47.5,105,40.5,5123,26349,14627,282,216,74,210,129,5954,538
Botafogo (RJ),30,51.2,14.0,8434,881,2629,3900,1978,328,8433,198,94,47.5,83,41.9,4992,23800,12728,228,173,58,200,104,5758,595
Ceará,27,42.1,14.0,6695,819,2360,3080,1335,223,6694,197,79,40.1,92,46.7,3209,16255,8012,153,126,32,216,120,3773,380
Corinthians,30,58.5,15.0,9841,815,2884,5065,1972,215,9839,227,92,40.5,121,53.3,5936,27763,13703,209,166,46,211,125,7100,628
Cruzeiro,30,44.7,15.0,7633,824,2439,3444,1832,275,7630,276,110,39.9,143,51.8,3944,19634,10384,201,134,54,215,110,4400,453
Flamengo,25,61.6,14.0,9933,712,2490,4830,2686,333,9930,254,121,47.6,116,45.7,5915,28643,14527,236,206,58,221,134,7377,732
Fluminense,29,55.3,13.0,8582,737,2519,4092,2043,260,8581,220,99,45.0,95,43.2,5130,22845,11114,214,153,52,180,143,6044,499
Fortaleza,35,46.4,14.0,7352,723,2148,3553,1728,255,7349,205,89,43.4,91,44.4,3952,20701,10737,206,125,53,188,111,4522,470
Grêmio,31,43.6,14.0,7114,870,2421,3232,1541,212,7112,263,121,46.0,122,46.4,3605,19553,9965,177,144,39,199,135,4182,365
Internacional,32,54.1,14.0,8874,650,2218,4572,2171,278,8873,244,126,51.6,99,40.6,5079,24110,11706,227,175,54,213,157,5955,605
Juventude,33,45.6,13.0,6553,862,2551,2869,1203,168,6553,205,86,42.0,100,48.8,3509,17305,8750,137,107,35,162,119,3974,355
Mirassol,28,47.1,13.0,7317,833,2549,3272,1567,231,7312,242,95,39.3,120,49.6,4065,18685,9648,173,118,35,200,111,4575,460
Palmeiras,27,50.3,13.0,7124,619,2045,3308,1853,278,7121,280,101,36.1,154,55.0,3751,20748,10627,220,154,62,213,97,4391,463
RB Bragantino,26,47.5,15.0,8542,957,2869,3743,2019,306,8541,317,147,46.4,137,43.2,4701,25159,13541,253,177,62,224,118,5386,569
Santos,32,46.7,14.0,7446,837,2584,3300,1635,253,7445,264,122,46.2,117,44.3,4093,21046,10413,204,144,55,185,108,4633,449
São Paulo,29,49.8,15.0,8720,955,2881,4087,1825,248,8716,268,106,39.6,138,51.5,4914,23313,11233,206,157,43,226,113,5636,519
Sport Recife,34,48.9,13.0,7456,680,2061,3536,1931,272,7456,231,102,44.2,107,46.3,3943,21332,10373,211,148,48,214,140,4655,538
Vasco da Gama,28,54.5,14.0,8975,877,2697,4328,2035,258,8975,266,117,44.0,114,42.9,5344,24680,12413,231,163,55,163,86,6314,585
Vitória,29,43.4,15.0,7798,949,2717,3469,1699,202,7798,271,120,44.3,116,42.8,4315,23798,11920,241,151,33,236,117,4675,455
