Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Blackburn,2,46,46,4140,46.0,48,1.04,174,125,74.1,19,9,18,15,32.6,4,3,1,0,25.0
Bristol City,1,46,46,4140,46.0,55,1.2,172,117,69.2,17,17,12,10,21.7,2,2,0,0,0.0
Burnley,2,46,46,4140,46.0,16,0.35,107,89,85.0,28,16,2,30,65.2,2,0,2,0,100.0
Cardiff City,2,46,46,4140,46.0,73,1.59,193,123,63.7,9,17,20,8,17.4,4,3,1,0,25.0
Coventry City,3,46,46,4140,46.0,58,1.26,170,115,66.5,20,9,17,13,28.3,1,1,0,0,0.0
Derby County,2,46,46,4140,46.0,56,1.22,167,110,67.1,13,11,22,12,26.1,3,1,2,0,66.7
Hull City,2,46,46,4140,46.0,54,1.17,172,119,70.9,12,13,21,7,15.2,6,4,1,1,20.0
Leeds United,2,46,46,4140,46.0,30,0.65,99,72,72.7,29,13,4,25,54.3,4,3,1,0,25.0
Luton Town,2,46,46,4137,46.0,69,1.5,198,129,66.2,13,10,23,11,23.9,3,2,1,0,33.3
Middlesbrough,4,46,46,4140,46.0,56,1.22,168,115,66.7,18,10,18,13,28.3,0,0,0,0,
Millwall,3,46,46,4140,46.0,49,1.07,154,108,68.8,18,12,16,16,34.8,3,1,1,1,50.0
Norwich City,3,46,46,4140,46.0,68,1.48,179,112,65.4,14,15,17,8,17.4,7,6,1,0,14.3
Oxford United,2,46,46,4140,46.0,65,1.41,206,141,69.4,13,14,19,13,28.3,4,2,2,0,50.0
Plymouth Argyle,2,46,46,4140,46.0,88,1.91,246,160,65.9,11,13,22,3,6.5,4,4,0,0,0.0
Portsmouth,4,46,46,4140,46.0,71,1.54,211,145,68.2,14,12,20,10,21.7,4,4,0,0,0.0
Preston,2,46,46,4140,46.0,59,1.28,166,106,68.1,10,20,16,13,28.3,7,6,1,0,14.3
QPR,2,46,46,4140,46.0,63,1.37,178,118,66.3,14,14,18,10,21.7,3,3,0,0,0.0
Sheffield Utd,2,46,46,4140,46.0,36,0.78,149,113,78.5,28,8,10,22,47.8,5,4,1,0,20.0
Sheffield Weds,2,46,46,4140,46.0,69,1.5,170,99,61.8,15,13,18,9,19.6,6,4,2,0,33.3
Stoke City,1,46,46,4140,46.0,62,1.35,209,151,71.8,12,15,19,14,30.4,5,3,1,1,25.0
Sunderland,2,46,46,4140,46.0,44,0.96,138,98,71.0,21,13,12,17,37.0,5,4,1,0,20.0
Swansea City,1,46,46,4140,46.0,56,1.22,166,113,68.7,17,10,19,14,30.4,4,4,0,0,0.0
Watford,3,46,46,4140,46.0,61,1.33,201,140,69.7,16,9,21,12,26.1,1,0,1,0,100.0
West Brom,3,46,46,4140,46.0,47,1.02,155,111,70.3,15,19,12,14,30.4,1,1,0,0,0.0
