Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Ajax,37,34.0,14994,13576,1382,384,23,59,502,525,108,63,32,0,11914,36,267
vs Almere City,33,34.0,18188,16567,1567,379,53,96,692,667,206,103,54,1,14563,54,242
vs AZ Alkmaar,30,34.0,16080,14499,1542,374,25,83,490,636,130,65,34,0,12723,39,295
vs Feyenoord,40,34.0,13587,12097,1441,304,43,71,435,593,114,65,25,0,10451,49,273
vs Fortuna Sittard,30,34.0,17305,15531,1718,417,34,153,699,779,191,87,50,2,13780,56,304
vs Go Ahead Eag,28,34.0,16121,14616,1480,336,16,93,779,601,185,105,51,1,12815,25,245
vs Groningen,29,34.0,17275,15694,1518,343,42,101,586,714,154,79,43,1,13596,63,290
vs Heerenveen,30,34.0,15534,13916,1562,425,62,84,534,655,150,78,43,1,12165,56,292
vs Heracles Almelo,24,34.0,17000,15303,1666,454,42,110,639,737,168,91,57,0,13637,31,317
vs NAC Breda,30,34.0,17857,16191,1641,361,50,71,676,756,193,99,55,2,14425,25,298
vs NEC Nijmegen,25,34.0,16820,15226,1554,380,33,106,663,648,194,97,59,0,13410,40,298
vs PSV Eindhoven,32,34.0,10981,9534,1409,305,46,63,387,480,103,52,34,0,7890,38,261
vs RKC Waalwijk,29,34.0,18383,16826,1517,327,43,93,723,699,228,120,70,2,15008,40,306
vs Sparta R'dam,29,34.0,17079,15517,1548,350,33,96,722,663,193,96,52,0,13471,14,331
vs Twente,29,34.0,15364,13713,1595,392,35,109,570,678,146,76,41,0,11871,56,315
vs Utrecht,27,34.0,17358,15736,1582,367,42,102,569,664,175,87,53,0,13927,40,246
vs Willem II,26,34.0,18766,17219,1511,354,41,136,774,661,228,118,56,0,15425,36,301
vs Zwolle,26,34.0,16375,14578,1747,406,47,102,682,824,175,107,47,1,12658,50,312
