Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Ajax,37,25.1,42.4,34,374,3060,34.0,31,22,53,31,0,0,59,5,31.5,31.5,24.3,55.8,469,950,0.91,0.65,1.56,0.91,1.56,0.93,0.72,1.64,0.93,1.64
vs Almere City,33,25.1,57.1,34,374,3060,34.0,60,48,108,60,0,0,38,4,52.3,52.3,45.2,97.5,675,1507,1.76,1.41,3.18,1.76,3.18,1.54,1.33,2.87,1.54,2.87
vs AZ Alkmaar,30,25.6,47.3,34,374,3060,34.0,35,27,62,34,1,3,79,6,34.2,31.8,23.0,54.8,514,1159,1.03,0.79,1.82,1.0,1.79,1.01,0.68,1.68,0.94,1.61
vs Feyenoord,40,25.2,42.7,34,374,3060,34.0,38,28,66,36,2,3,58,2,35.2,32.8,26.8,59.6,443,888,1.12,0.82,1.94,1.06,1.88,1.03,0.79,1.82,0.96,1.75
vs Fortuna Sittard,30,24.9,55.6,34,374,3060,34.0,54,38,92,51,3,4,44,2,49.7,46.4,37.6,84.0,672,1474,1.59,1.12,2.71,1.5,2.62,1.46,1.11,2.57,1.36,2.47
vs Go Ahead Eag,28,25.1,48.6,34,374,3060,34.0,54,44,98,50,4,4,58,3,45.6,42.8,34.1,76.9,665,1425,1.59,1.29,2.88,1.47,2.76,1.34,1.0,2.34,1.26,2.26
vs Groningen,29,25.1,53.1,34,374,3060,34.0,51,39,90,46,5,6,52,2,47.2,42.4,33.1,75.6,521,1279,1.5,1.15,2.65,1.35,2.5,1.39,0.97,2.36,1.25,2.22
vs Heerenveen,30,25.2,46.8,34,374,3060,34.0,55,41,96,51,4,4,45,3,48.5,45.4,37.5,82.8,472,1138,1.62,1.21,2.82,1.5,2.71,1.43,1.1,2.53,1.33,2.44
vs Heracles Almelo,24,25.1,54.6,34,374,3060,34.0,59,41,100,53,6,6,40,2,59.7,55.1,46.6,101.8,560,1446,1.74,1.21,2.94,1.56,2.76,1.76,1.37,3.13,1.62,2.99
vs NAC Breda,30,25.1,55.0,34,374,3060,34.0,57,42,99,50,7,7,47,2,57.2,52.0,42.8,94.8,741,1495,1.68,1.24,2.91,1.47,2.71,1.68,1.26,2.94,1.53,2.79
vs NEC Nijmegen,25,25.2,51.4,34,374,3060,34.0,42,27,69,40,2,2,56,5,43.9,42.3,33.0,75.3,647,1457,1.24,0.79,2.03,1.18,1.97,1.29,0.97,2.26,1.25,2.22
vs PSV Eindhoven,32,25.0,32.5,34,374,3060,34.0,39,24,63,37,2,2,47,4,32.6,31.1,22.1,53.2,392,771,1.15,0.71,1.85,1.09,1.79,0.96,0.65,1.61,0.91,1.56
vs RKC Waalwijk,29,25.1,56.1,34,374,3060,34.0,72,53,125,64,8,8,38,2,69.3,63.3,52.7,116.1,762,1721,2.12,1.56,3.68,1.88,3.44,2.04,1.55,3.59,1.86,3.41
vs Sparta R'dam,29,25.2,51.1,34,374,3060,34.0,41,23,64,37,4,5,49,4,45.1,41.3,31.9,73.3,636,1426,1.21,0.68,1.88,1.09,1.76,1.33,0.94,2.27,1.22,2.15
vs Twente,29,25.1,46.7,34,374,3060,34.0,49,37,86,47,2,2,55,0,43.9,42.3,32.7,75.0,517,1071,1.44,1.09,2.53,1.38,2.47,1.29,0.96,2.25,1.24,2.21
vs Utrecht,27,25.1,53.4,34,374,3060,34.0,44,28,72,40,4,4,66,4,43.7,40.5,30.3,70.9,533,1247,1.29,0.82,2.12,1.18,2.0,1.28,0.89,2.18,1.19,2.08
vs Willem II,26,25.1,56.0,34,374,3060,34.0,53,38,91,47,6,6,42,0,57.1,52.5,42.4,95.0,675,1737,1.56,1.12,2.68,1.38,2.5,1.68,1.25,2.93,1.55,2.79
vs Zwolle,26,25.1,49.8,34,374,3060,34.0,50,33,83,47,3,6,56,2,56.8,52.6,40.8,93.4,563,1348,1.47,0.97,2.44,1.38,2.35,1.67,1.2,2.87,1.55,2.75
