Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arouca,28,34.0,495,308,226,198,71,217,418,51.9,201,375,102,273,302,797,881,19
vs AVS Futebol,33,34.0,533,325,249,214,70,280,510,54.9,230,339,76,263,246,779,751,14
vs Benfica,35,34.0,665,381,395,195,75,393,694,56.6,301,443,142,301,322,987,1073,29
vs Boavista,32,34.0,418,249,190,179,49,205,368,55.7,163,300,103,197,295,713,895,21
vs Braga,35,34.0,495,301,245,192,58,245,523,46.8,278,393,114,279,329,824,928,22
vs Casa Pia,32,34.0,449,285,196,189,64,237,483,49.1,246,297,69,228,265,714,805,18
vs Estoril,28,34.0,677,417,272,313,92,370,627,59.0,257,328,75,253,332,1009,690,30
vs Estrela,40,34.0,587,367,225,269,93,303,588,51.5,285,295,77,218,301,888,766,24
vs Famalicão,31,34.0,623,387,276,261,86,322,575,56.0,253,343,97,246,331,954,768,19
vs Farense,37,34.0,536,359,233,216,87,274,511,53.6,237,336,89,247,248,784,960,14
vs Gil Vicente FC,34,34.0,600,362,266,246,88,300,533,56.3,233,335,70,265,304,904,699,13
vs Moreirense,31,34.0,553,315,215,250,88,255,490,52.0,235,278,78,200,270,823,674,16
vs Nacional,31,34.0,500,304,213,206,81,258,497,51.9,239,346,107,239,299,799,821,18
vs Porto,32,34.0,602,362,331,223,48,307,541,56.7,234,394,113,281,275,877,928,35
vs Rio Ave,36,34.0,633,415,273,271,89,329,621,53.0,292,372,97,275,325,958,671,17
vs Santa Clara,25,34.0,481,283,242,186,53,252,484,52.1,232,313,87,226,246,727,828,21
vs Sporting CP,34,34.0,652,395,391,201,60,371,734,50.5,363,407,175,232,318,970,893,25
vs Vitória,31,34.0,510,316,263,193,54,248,444,55.9,196,364,117,247,298,808,977,19
