Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arouca,28,34.0,783,23.03,520,96,48,51,56,12,80,2.35,47,6,8,8,9,2
vs AVS Futebol,33,34.0,855,25.15,604,79,48,68,44,12,100,2.94,79,5,3,8,5,0
vs Benfica,35,34.0,512,15.06,381,48,18,23,28,14,49,1.44,36,4,3,2,3,1
vs Boavista,32,34.0,883,25.97,665,56,53,54,41,14,101,2.97,68,7,10,8,7,1
vs Braga,35,34.0,579,17.03,390,63,43,37,37,9,51,1.5,37,4,0,4,5,1
vs Casa Pia,32,34.0,817,24.03,585,78,37,51,50,16,66,1.94,43,3,6,8,6,0
vs Estoril,28,34.0,710,20.88,469,84,33,60,50,14,93,2.74,65,6,8,4,9,1
vs Estrela,40,34.0,758,22.29,510,80,48,49,49,22,79,2.32,49,9,4,8,8,1
vs Famalicão,31,34.0,679,19.97,463,70,37,51,49,9,65,1.91,47,2,5,6,5,0
vs Farense,37,34.0,805,23.68,577,66,47,51,46,18,74,2.18,42,4,8,8,10,2
vs Gil Vicente FC,34,34.0,730,21.47,509,78,31,55,40,17,74,2.18,44,6,4,13,6,1
vs Moreirense,31,34.0,740,21.76,537,75,29,39,39,21,80,2.35,43,9,9,9,7,3
vs Nacional,31,34.0,826,24.29,590,82,42,61,31,20,80,2.35,52,8,2,13,5,0
vs Porto,32,34.0,479,14.09,326,56,26,24,35,12,47,1.38,29,4,5,2,6,1
vs Rio Ave,36,34.0,878,25.82,641,85,50,59,32,11,85,2.5,65,4,6,6,3,1
vs Santa Clara,25,34.0,648,19.06,467,62,26,34,55,4,59,1.74,39,7,4,4,5,0
vs Sporting CP,34,34.0,442,13.0,294,52,27,29,28,12,47,1.38,30,3,4,3,7,0
vs Vitória,31,34.0,567,16.68,373,71,33,36,37,17,61,1.79,41,4,5,5,5,1
