Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arouca,28,34.0,47,454,131,28.9,13.35,3.85,0.08,0.29,18.2,22,9,9,46.6,40.0,0.09,0.4,-2.0
vs AVS Futebol,33,34.0,59,486,171,35.2,14.29,5.03,0.12,0.33,17.0,15,3,4,55.0,51.7,0.11,4.0,4.3
vs Benfica,35,34.0,28,299,102,34.1,8.79,3.0,0.09,0.25,20.0,14,2,4,29.2,26.0,0.09,-1.2,0.0
vs Boavista,32,34.0,56,500,167,33.4,14.71,4.91,0.1,0.3,18.2,18,6,6,56.2,51.4,0.11,-0.2,-1.4
vs Braga,35,34.0,29,332,120,36.1,9.76,3.53,0.08,0.22,18.2,9,3,3,34.2,31.8,0.1,-5.2,-5.8
vs Casa Pia,32,34.0,43,468,156,33.3,13.76,4.59,0.08,0.23,19.4,21,7,8,45.1,38.8,0.09,-2.1,-2.8
vs Estoril,28,34.0,53,404,143,35.4,11.88,4.21,0.11,0.32,16.9,19,7,8,58.2,52.0,0.13,-5.2,-6.0
vs Estrela,40,34.0,48,435,142,32.6,12.79,4.18,0.1,0.3,18.3,18,5,7,45.7,40.7,0.1,2.3,2.3
vs Famalicão,31,34.0,38,388,133,34.3,11.41,3.91,0.09,0.26,18.2,14,4,5,43.0,39.0,0.1,-5.0,-5.0
vs Farense,37,34.0,44,456,140,30.7,13.41,4.12,0.08,0.27,18.1,11,6,8,51.4,45.1,0.11,-7.4,-7.1
vs Gil Vicente FC,34,34.0,46,423,122,28.8,12.44,3.59,0.09,0.33,19.0,19,6,7,42.1,36.6,0.09,3.9,3.4
vs Moreirense,31,34.0,50,417,132,31.7,12.26,3.88,0.11,0.34,18.9,13,5,5,39.5,35.6,0.09,10.5,9.4
vs Nacional,31,34.0,50,467,147,31.5,13.74,4.32,0.09,0.28,17.8,9,9,11,48.2,39.7,0.09,1.8,1.3
vs Porto,32,34.0,29,267,85,31.8,7.85,2.5,0.09,0.27,18.9,9,6,8,30.4,24.2,0.09,-1.4,-1.2
vs Rio Ave,36,34.0,50,505,166,32.9,14.85,4.88,0.09,0.28,17.5,15,3,3,54.4,52.1,0.11,-4.4,-5.1
vs Santa Clara,25,34.0,32,350,109,31.1,10.29,3.21,0.08,0.26,20.1,26,4,6,32.9,28.0,0.08,-0.9,0.0
vs Sporting CP,34,34.0,25,252,69,27.4,7.41,2.03,0.08,0.3,19.9,6,4,4,23.4,20.3,0.08,1.6,0.7
vs Vitória,31,34.0,37,321,95,29.6,9.44,2.79,0.1,0.34,18.9,12,5,7,32.4,27.2,0.09,4.6,4.8
