Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atlético Mineiro,2,24.0,22,1,2,6,2,24.0,0.23,4.0,0.17,92,310,29.7,501,73,40.3,36.8,216,50.0,40.9,396,20,5.1,11,0.46,9.8
vs Bahia,2,25.0,33,3,1,1,2,26.8,0.25,-4.2,-0.17,80,243,32.9,387,65,44.7,38.2,187,37.4,34.8,308,14,4.5,37,1.48,16.9
vs Botafogo (RJ),3,26.0,37,2,0,3,0,36.5,0.28,-0.5,-0.02,96,272,35.3,604,112,34.4,33.7,202,31.7,30.6,363,25,6.9,15,0.58,11.9
vs Ceará,2,25.0,23,1,0,4,0,30.5,0.28,7.5,0.3,89,221,40.3,540,95,31.1,31.8,155,34.2,32.7,390,18,4.6,14,0.56,11.8
vs Corinthians,2,26.0,26,1,2,4,2,30.8,0.32,6.8,0.26,80,289,27.7,474,71,43.9,37.1,189,42.9,36.1,380,16,4.2,17,0.65,12.2
vs Cruzeiro,2,26.0,39,1,1,7,1,38.8,0.31,0.8,0.03,96,239,40.2,568,114,28.9,32.8,216,34.7,33.3,403,22,5.5,26,1.0,13.5
vs Flamengo,1,25.0,50,3,0,2,0,44.8,0.31,-5.2,-0.21,115,297,38.7,629,94,36.9,35.3,179,36.3,33.8,392,18,4.6,26,1.04,13.6
vs Fluminense,1,24.0,30,3,0,2,1,26.1,0.28,-2.9,-0.12,78,249,31.3,517,69,36.6,34.7,174,34.5,32.5,296,12,4.1,27,1.13,14.4
vs Fortaleza,5,25.0,24,2,0,5,0,27.7,0.27,3.7,0.15,89,273,32.6,565,84,35.9,34.4,181,38.7,34.4,417,21,5.0,17,0.68,13.7
vs Grêmio,2,26.0,28,6,0,4,1,35.1,0.31,8.1,0.31,65,205,31.7,523,85,29.3,31.6,159,32.7,32.0,325,18,5.5,33,1.27,14.8
vs Internacional,2,25.0,30,8,0,4,0,34.2,0.25,4.2,0.17,102,253,40.3,548,106,36.3,35.0,175,30.9,31.5,370,20,5.4,16,0.64,12.8
vs Juventude,4,25.0,20,2,0,3,0,18.7,0.23,-1.3,-0.05,70,221,31.7,575,87,31.0,32.7,166,25.9,29.5,338,14,4.1,28,1.12,14.8
vs Mirassol,2,25.0,42,4,1,3,2,39.5,0.3,-0.5,-0.02,109,280,38.9,534,88,39.3,36.5,188,37.2,34.1,400,18,4.5,15,0.6,12.1
vs Palmeiras,2,24.0,39,6,0,5,1,36.3,0.28,-1.7,-0.07,96,270,35.6,514,77,37.2,35.4,217,36.4,32.1,393,24,6.1,9,0.38,10.9
vs RB Bragantino,2,26.0,32,2,1,6,0,29.9,0.26,-2.1,-0.08,88,277,31.8,608,111,30.4,33.5,197,46.7,39.6,331,20,6.0,35,1.35,15.6
vs Santos,2,25.0,25,3,0,2,1,26.9,0.28,2.9,0.11,75,240,31.3,494,91,33.4,33.5,187,40.1,33.9,354,16,4.5,19,0.76,12.7
vs São Paulo,2,26.0,29,2,0,7,0,32.6,0.32,3.6,0.14,107,270,39.6,559,96,36.5,34.7,183,36.1,34.7,365,14,3.8,16,0.62,13.0
vs Sport Recife,2,24.0,18,1,0,3,2,25.3,0.25,9.3,0.39,87,262,33.2,533,93,35.6,34.4,176,40.9,36.4,357,20,5.6,20,0.83,13.4
vs Vasco da Gama,2,26.0,38,4,1,5,1,39.4,0.29,2.4,0.09,97,306,31.7,549,90,43.0,37.9,183,38.3,34.8,436,20,4.6,13,0.5,11.8
vs Vitória,2,26.0,21,0,0,5,0,27.2,0.26,6.2,0.24,89,233,38.2,503,111,30.8,32.1,179,43.6,36.8,391,16,4.1,31,1.19,14.6
