Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atlético Mineiro,28,14.0,224,148,106,95,23,105,212,49.5,107,177,75,102,120,344,380,5
vs Bahia,27,14.0,233,129,105,93,35,105,228,46.1,123,138,40,98,96,329,337,7
vs Botafogo (RJ),30,14.0,188,118,99,70,19,83,177,46.9,94,129,43,86,132,320,370,9
vs Ceará,27,14.0,212,137,81,97,34,92,171,53.8,79,124,30,94,110,322,380,6
vs Corinthians,30,15.0,246,174,116,101,29,121,213,56.8,92,148,35,113,148,394,348,6
vs Cruzeiro,30,15.0,255,168,107,112,36,143,253,56.5,110,152,46,106,117,372,376,6
vs Flamengo,25,14.0,251,151,141,89,21,116,237,48.9,121,144,45,99,102,353,380,7
vs Fluminense,29,13.0,238,147,119,89,30,95,194,49.0,99,120,37,83,124,362,343,6
vs Fortaleza,35,14.0,202,129,97,82,23,91,180,50.6,89,126,57,69,90,292,401,15
vs Grêmio,31,14.0,257,158,114,112,31,122,243,50.2,121,131,39,92,123,380,325,7
vs Internacional,32,14.0,256,193,124,105,27,99,225,44.0,126,149,60,89,134,390,401,5
vs Juventude,33,13.0,219,134,91,96,32,100,186,53.8,86,131,31,100,88,307,332,9
vs Mirassol,28,13.0,233,131,95,108,30,120,215,55.8,95,157,53,104,124,357,312,5
vs Palmeiras,27,13.0,251,173,132,96,23,154,255,60.4,101,136,57,79,96,347,443,9
vs RB Bragantino,26,15.0,255,170,136,89,30,137,284,48.2,147,153,54,99,122,377,353,8
vs Santos,32,14.0,225,150,99,96,30,117,239,49.0,122,148,51,97,97,322,339,11
vs São Paulo,29,15.0,253,168,119,101,33,139,245,56.7,106,173,57,116,131,384,366,7
vs Sport Recife,34,13.0,247,155,117,96,34,107,209,51.2,102,151,50,101,112,359,366,8
vs Vasco da Gama,28,14.0,198,130,94,69,35,114,231,49.4,117,150,44,106,99,297,322,5
vs Vitória,29,15.0,233,149,112,86,35,116,236,49.2,120,141,49,92,98,331,405,9
