Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atlético Mineiro,32,24.0,393,245,176,154,63,171,300,57.0,129,213,79,134,242,635,547,13
Bahia,29,25.0,402,249,192,149,61,175,396,44.2,221,220,80,140,197,599,649,15
Botafogo (RJ),38,26.0,427,272,202,168,57,203,403,50.4,200,252,80,172,213,640,591,9
Ceará,32,25.0,406,254,195,178,33,181,349,51.9,168,237,70,167,174,580,738,18
Corinthians,33,26.0,430,289,210,164,56,231,441,52.4,210,250,85,165,206,636,571,14
Cruzeiro,34,26.0,451,293,215,190,46,225,431,52.2,206,284,84,200,221,672,724,7
Flamengo,31,25.0,395,262,155,172,68,162,336,48.2,174,218,60,158,170,565,441,15
Fluminense,36,24.0,375,244,170,161,44,178,346,51.4,168,238,70,168,151,526,570,17
Fortaleza,43,25.0,467,273,242,180,45,258,487,53.0,229,249,74,175,212,679,602,11
Grêmio,39,26.0,480,318,262,162,56,258,444,58.1,186,297,95,202,230,710,802,9
Internacional,36,25.0,457,288,178,210,69,218,431,50.6,213,267,88,179,212,669,598,13
Juventude,43,25.0,382,233,192,147,43,154,350,44.0,196,282,115,167,202,584,648,20
Mirassol,32,25.0,415,263,184,176,55,173,382,45.3,209,282,103,179,215,630,766,12
Palmeiras,34,24.0,435,269,192,187,56,227,439,51.7,212,240,66,174,178,613,531,10
RB Bragantino,31,26.0,410,269,212,147,51,200,426,46.9,226,320,103,217,214,624,748,11
Santos,40,25.0,452,291,227,177,48,229,417,54.9,188,271,82,189,209,661,646,9
São Paulo,37,26.0,437,285,197,181,59,209,410,51.0,201,293,107,186,231,668,731,13
Sport Recife,40,24.0,382,249,170,168,44,185,387,47.8,202,226,70,156,230,612,619,14
Vasco da Gama,37,26.0,396,249,181,161,54,204,368,55.4,164,247,90,157,212,608,725,22
Vitória,38,26.0,386,247,198,138,50,184,336,54.8,152,269,102,167,191,577,783,13
