Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atlético Mineiro,32,24.0,652,27.17,452,58,40,47,41,14,33,1.37,19,4,1,5,4,0
Bahia,29,25.0,558,22.32,419,31,39,28,35,6,58,2.32,46,0,6,2,4,0
Botafogo (RJ),38,26.0,662,25.46,534,42,19,37,23,7,65,2.5,50,3,2,7,2,1
Ceará,32,25.0,486,19.44,326,60,21,34,36,9,37,1.48,25,4,3,5,0,0
Corinthians,33,26.0,528,20.31,386,38,25,40,29,10,45,1.73,30,2,3,5,4,1
Cruzeiro,34,26.0,631,24.27,445,67,26,47,37,9,61,2.35,41,3,4,10,3,0
Flamengo,31,25.0,660,26.4,511,46,33,33,31,6,91,3.64,66,6,5,6,6,2
Fluminense,36,24.0,528,22.0,393,40,29,30,28,8,50,2.08,32,3,5,5,4,1
Fortaleza,43,25.0,590,23.6,416,65,21,39,40,9,41,1.64,29,4,0,6,2,0
Grêmio,39,26.0,475,18.27,323,42,33,39,32,6,47,1.81,29,4,3,4,6,1
Internacional,36,25.0,591,23.64,416,58,37,32,40,8,49,1.96,30,5,7,3,4,0
Juventude,43,25.0,437,17.48,314,35,17,27,29,15,37,1.48,32,3,0,2,0,0
Mirassol,32,25.0,601,24.04,435,55,30,46,22,13,70,2.8,50,4,3,7,5,1
Palmeiras,34,24.0,611,25.46,434,60,30,35,41,11,65,2.71,48,3,2,4,6,2
RB Bragantino,31,26.0,557,21.42,378,58,39,43,32,7,56,2.15,40,4,3,4,5,0
Santos,40,25.0,573,22.92,411,47,26,37,41,11,41,1.64,30,2,1,5,3,0
São Paulo,37,26.0,588,22.62,447,49,19,31,31,11,51,1.96,40,3,1,4,2,1
Sport Recife,40,24.0,526,21.92,370,48,35,32,25,16,29,1.21,17,3,3,4,1,1
Vasco da Gama,37,26.0,613,23.58,455,48,29,44,32,5,69,2.65,47,8,4,4,5,1
Vitória,38,26.0,525,20.19,370,53,26,41,29,6,36,1.38,26,3,0,5,2,0
