Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atlético Mineiro,2,24,24,2160,24.0,22,0.92,105,85,80.0,9,8,7,9,37.5,1,1,0,0,0.0
vs Bahia,2,25,25,2250,25.0,33,1.32,101,70,70.3,7,7,11,4,16.0,3,3,0,0,0.0
vs Botafogo (RJ),3,26,26,2340,26.0,37,1.42,127,90,72.4,7,7,12,10,38.5,2,2,0,0,0.0
vs Ceará,2,25,25,2250,25.0,23,0.92,105,81,79.0,10,7,8,9,36.0,2,1,1,0,50.0
vs Corinthians,2,26,26,2340,26.0,26,1.0,91,65,72.5,10,9,7,8,30.8,3,1,2,0,66.7
vs Cruzeiro,2,26,26,2340,26.0,39,1.5,120,80,68.3,5,6,15,7,26.9,3,1,2,0,66.7
vs Flamengo,1,25,25,2250,25.0,50,2.0,135,84,65.2,2,7,16,4,16.0,4,3,1,0,25.0
vs Fluminense,1,24,24,2160,24.0,30,1.25,86,57,68.6,9,5,10,6,25.0,4,3,0,1,0.0
vs Fortaleza,5,25,25,2250,25.0,24,0.96,97,71,77.3,14,6,5,10,40.0,4,2,2,0,50.0
vs Grêmio,2,26,26,2340,26.0,28,1.08,100,73,78.0,9,9,8,7,26.9,6,6,0,0,0.0
vs Internacional,2,25,25,2247,25.0,30,1.2,113,83,80.5,10,8,7,5,20.0,9,8,0,1,0.0
vs Juventude,4,25,25,2250,25.0,20,0.8,75,55,76.0,14,5,6,12,48.0,2,2,0,0,0.0
vs Mirassol,2,25,25,2250,25.0,42,1.68,121,80,68.6,4,10,11,2,8.0,5,4,1,0,20.0
vs Palmeiras,2,24,24,2160,24.0,39,1.62,110,71,70.0,4,4,16,4,16.7,7,6,1,0,14.3
vs RB Bragantino,2,26,26,2340,26.0,32,1.23,109,77,72.5,11,6,9,3,11.5,2,2,0,0,0.0
vs Santos,2,25,25,2250,25.0,25,1.0,87,62,74.7,11,7,7,9,36.0,3,3,0,0,0.0
vs São Paulo,2,26,26,2340,26.0,29,1.12,93,62,71.0,8,8,10,9,34.6,5,2,2,1,50.0
vs Sport Recife,2,24,24,2160,24.0,18,0.75,99,83,82.8,13,9,2,11,45.8,1,1,0,0,0.0
vs Vasco da Gama,2,26,26,2340,26.0,38,1.46,125,88,72.8,12,6,8,8,30.8,4,4,0,0,0.0
vs Vitória,2,26,26,2340,26.0,21,0.81,105,84,80.0,11,10,5,11,42.3,0,0,0,0,
