Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atlético Mineiro,2,24,24,2160,24.0,26,1.08,94,69,74.5,7,8,9,9,37.5,2,2,0,0,0.0
Bahia,2,25,25,2250,25.0,30,1.2,102,72,72.5,11,7,7,8,32.0,4,2,2,0,50.0
Botafogo (RJ),3,26,26,2340,26.0,21,0.81,89,67,77.5,12,7,7,11,42.3,1,1,0,0,0.0
Ceará,2,25,25,2250,25.0,24,0.96,92,68,77.2,8,7,10,8,32.0,3,3,0,0,0.0
Corinthians,2,26,26,2340,26.0,32,1.23,96,64,74.0,7,9,10,7,26.9,7,7,0,0,0.0
Cruzeiro,2,26,26,2340,26.0,19,0.73,96,76,80.2,15,6,5,12,46.2,1,0,1,0,100.0
Flamengo,1,25,25,2250,25.0,12,0.48,74,59,85.1,16,7,2,14,56.0,4,1,3,0,75.0
Fluminense,1,24,24,2160,24.0,31,1.29,86,55,64.0,10,5,9,7,29.2,1,0,1,0,100.0
Fortaleza,5,25,25,2250,25.0,40,1.6,128,88,71.9,5,6,14,7,28.0,5,4,1,0,20.0
Grêmio,2,26,26,2340,26.0,32,1.23,116,84,77.6,8,9,9,4,15.4,8,6,0,2,0.0
Internacional,2,25,25,2250,25.0,38,1.52,98,62,62.2,7,8,10,4,16.0,1,1,0,0,0.0
Juventude,4,25,25,2250,25.0,46,1.84,138,92,70.3,6,5,14,5,20.0,6,5,1,0,16.7
Mirassol,2,25,25,2250,25.0,25,1.0,119,92,79.8,11,10,4,7,28.0,3,1,2,0,66.7
Palmeiras,2,24,24,2160,24.0,19,0.79,75,56,77.3,16,4,4,9,37.5,3,2,1,0,33.3
RB Bragantino,2,26,26,2340,26.0,38,1.46,129,92,71.3,9,6,11,6,23.1,1,1,0,0,0.0
Santos,2,25,25,2250,25.0,35,1.4,115,81,73.0,7,7,11,6,24.0,4,4,0,0,0.0
São Paulo,2,26,26,2340,26.0,25,0.96,99,75,78.8,10,8,8,9,34.6,4,4,0,0,0.0
Sport Recife,2,24,24,2160,24.0,37,1.54,123,87,74.8,2,9,13,5,20.8,7,6,0,1,0.0
Vasco da Gama,2,26,26,2337,26.0,38,1.46,103,68,65.0,8,6,12,4,15.4,2,2,0,0,0.0
Vitória,2,26,26,2340,26.0,38,1.46,132,94,73.5,5,10,11,6,23.1,3,3,0,0,0.0
