Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlético Mineiro,32,24.0,60,5,2,327,320,44,479,242,245,1,2,1,1015,308,309,49.9
Bahia,29,25.0,56,4,2,310,323,27,411,197,249,3,4,2,947,294,324,47.6
Botafogo (RJ),38,26.0,59,3,1,372,268,34,454,213,272,1,1,0,1076,322,300,51.8
Ceará,32,25.0,54,1,0,351,349,55,484,174,254,1,3,0,933,379,402,48.5
Corinthians,33,26.0,76,1,0,369,411,43,484,206,289,2,7,0,1022,312,285,52.3
Cruzeiro,34,26.0,70,3,1,359,342,35,516,221,293,3,1,0,1060,287,322,47.1
Flamengo,31,25.0,47,1,0,356,306,28,487,170,262,3,4,0,1027,289,275,51.2
Fluminense,36,24.0,45,2,1,280,357,19,401,151,244,4,1,1,907,293,312,48.4
Fortaleza,43,25.0,71,5,2,354,303,51,543,212,273,2,5,1,948,356,340,51.1
Grêmio,39,26.0,68,4,1,359,375,26,406,230,318,4,8,0,1000,382,335,53.3
Internacional,36,25.0,53,4,2,369,289,41,473,212,288,5,1,2,1011,327,385,45.9
Juventude,43,25.0,68,2,0,369,343,44,424,202,233,0,6,1,911,293,317,48.0
Mirassol,32,25.0,55,1,0,315,330,40,513,215,263,4,3,0,994,342,328,51.0
Palmeiras,34,24.0,45,1,0,336,349,51,490,178,269,5,3,1,998,345,338,50.5
RB Bragantino,31,26.0,73,3,1,340,340,33,443,214,269,2,1,1,1030,329,322,50.5
Santos,40,25.0,70,4,3,365,359,47,461,209,291,2,4,1,963,336,295,53.2
São Paulo,37,26.0,70,2,0,380,347,30,466,231,285,4,4,1,1074,354,359,49.6
Sport Recife,40,24.0,61,0,0,352,285,46,475,230,249,1,7,1,968,338,330,50.6
Vasco da Gama,37,26.0,56,2,1,356,296,19,533,212,249,2,2,3,1011,346,290,54.4
Vitória,38,26.0,73,4,1,385,341,48,524,191,247,0,3,0,1009,329,387,45.9
