Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atlético Mineiro,28,14.0,5389,4648,730,223,7,36,223,283,69,29,28,0,4120,11,86
vs Bahia,27,14.0,6117,5456,634,172,23,40,303,243,77,20,38,1,4980,27,93
vs Botafogo (RJ),30,14.0,6679,5992,666,201,8,37,240,259,61,27,23,0,5560,21,106
vs Ceará,27,14.0,7076,6356,678,218,16,39,312,263,77,32,31,0,5741,42,118
vs Corinthians,30,15.0,5978,5288,671,208,7,37,218,261,63,14,33,0,4797,19,100
vs Cruzeiro,30,15.0,7177,6338,824,236,14,85,322,336,90,35,31,0,5832,15,155
vs Flamengo,25,14.0,5309,4708,578,186,4,48,185,214,37,13,12,0,4271,23,89
vs Fluminense,29,13.0,5816,5222,569,146,16,28,229,217,72,33,33,1,4725,25,98
vs Fortaleza,35,14.0,6851,6125,690,205,19,29,224,287,62,23,23,1,5613,36,118
vs Grêmio,31,14.0,7114,6402,683,187,13,44,312,289,97,47,33,1,5874,29,109
vs Internacional,32,14.0,6135,5399,693,205,15,57,207,305,52,29,13,1,4918,43,131
vs Juventude,33,13.0,6276,5636,628,188,8,55,232,251,73,29,21,0,5162,12,101
vs Mirassol,28,13.0,6472,5817,638,178,13,50,287,265,68,30,27,0,5249,17,112
vs Palmeiras,27,13.0,5534,4879,644,204,7,31,206,239,51,15,21,2,4448,11,128
vs RB Bragantino,26,15.0,7561,6770,773,194,8,46,327,327,88,38,27,0,6121,18,144
vs Santos,32,14.0,6776,6037,716,212,14,51,283,299,84,29,26,0,5607,23,128
vs São Paulo,29,15.0,7063,6321,729,220,12,38,315,284,93,40,39,1,5733,13,140
vs Sport Recife,34,13.0,6234,5549,664,197,10,30,203,288,54,16,27,1,5048,21,101
vs Vasco da Gama,28,14.0,6136,5485,638,191,13,28,279,251,72,22,33,0,5008,13,102
vs Vitória,29,15.0,8145,7388,730,249,20,45,347,286,75,19,36,1,6793,27,119
