Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Atlético Mineiro,28,14.0,6744,6047,667,183,19,59,280,263,97,46,29,0,5452,30,115
Bahia,27,14.0,7126,6495,613,189,12,39,247,212,64,19,22,0,6009,18,109
Botafogo (RJ),30,14.0,6974,6318,639,177,16,44,255,273,63,34,18,0,5811,17,101
Ceará,27,14.0,5099,4346,718,240,11,35,252,275,55,31,18,0,3809,35,112
Corinthians,30,15.0,8405,7636,745,239,17,53,268,296,70,30,32,0,7160,24,136
Cruzeiro,30,15.0,5755,4991,739,204,19,24,284,313,85,20,25,0,4446,25,128
Flamengo,25,14.0,8569,7931,620,195,21,55,262,246,89,40,34,0,7460,18,116
Fluminense,29,13.0,7212,6536,667,215,11,58,240,280,59,8,26,0,6081,9,102
Fortaleza,35,14.0,5831,5122,675,191,9,31,304,256,91,24,49,2,4563,34,101
Grêmio,31,14.0,5449,4754,682,202,10,34,215,273,58,22,28,0,4223,13,104
Internacional,32,14.0,7256,6530,703,193,10,38,282,308,80,37,29,0,5997,23,105
Juventude,33,13.0,5162,4477,659,189,10,49,195,290,40,19,18,0,4007,26,109
Mirassol,28,13.0,5755,5095,634,183,13,39,217,259,58,20,24,2,4612,26,114
Palmeiras,27,13.0,5558,4852,681,205,10,47,283,284,85,31,34,1,4426,25,102
RB Bragantino,26,15.0,6727,5988,720,218,16,52,269,270,77,26,38,2,5433,19,117
Santos,32,14.0,5829,5134,670,220,11,30,248,241,62,26,24,1,4668,25,103
São Paulo,29,15.0,6935,6213,707,212,12,33,257,295,62,29,25,0,5678,15,135
Sport Recife,34,13.0,5941,5254,662,163,12,50,271,278,85,39,34,0,4688,25,128
Vasco da Gama,28,14.0,7464,6814,637,183,4,49,315,252,62,14,31,1,6353,13,120
Vitória,29,15.0,6047,5283,738,219,4,35,310,283,73,25,17,1,4724,26,121
