Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Atlético Mineiro,32,24.0,7498,9573,78.3,134119,50904,3394,3811,89.1,3113,3707,84.0,822,1613,51.0,15,17.5,16.8,-2.5,213,601,145,52,720
vs Bahia,29,25.0,8517,10562,80.6,150114,51123,3777,4267,88.5,3683,4220,87.3,844,1518,55.6,19,21.2,20.3,-2.2,214,832,154,63,917
vs Botafogo (RJ),38,26.0,10241,12360,82.9,180289,62864,4657,5119,91.0,4339,4917,88.2,1019,1746,58.4,16,20.7,20.1,-4.7,230,758,153,49,951
vs Ceará,32,25.0,10379,12731,81.5,179197,60575,4810,5312,90.5,4440,5122,86.7,903,1679,53.8,13,17.3,19.7,-4.3,212,909,188,63,1085
vs Corinthians,33,26.0,8873,11003,80.6,152235,53358,4180,4659,89.7,3623,4184,86.6,818,1581,51.7,20,18.6,18.8,1.4,211,666,165,41,805
vs Cruzeiro,34,26.0,9726,12040,80.8,176054,61893,4256,4764,89.3,4148,4759,87.2,1070,1861,57.5,18,17.1,21.6,0.9,237,796,195,73,1000
vs Flamengo,31,25.0,7476,9406,79.5,138338,49335,3093,3490,88.6,3395,3885,87.4,833,1584,52.6,9,12.8,10.8,-3.8,155,489,90,38,567
vs Fluminense,36,24.0,8763,10798,81.2,155961,52723,3916,4375,89.5,3803,4343,87.6,869,1585,54.8,23,18.4,18.8,4.6,190,695,141,38,849
vs Fortaleza,43,25.0,9887,12050,82.0,175170,61718,4356,4865,89.5,4342,4905,88.5,967,1674,57.8,28,25.6,25.1,2.4,242,753,176,48,972
vs Grêmio,39,26.0,10874,13175,82.5,194957,66094,4507,5022,89.7,5143,5838,88.1,1023,1761,58.1,18,24.7,26.0,-6.7,269,1007,206,64,1143
vs Internacional,36,25.0,9411,11604,81.1,175573,61989,3772,4267,88.4,4293,4895,87.7,1104,1780,62.0,32,21.4,19.7,10.6,233,785,163,58,853
vs Juventude,43,25.0,11113,13168,84.4,199582,64348,4775,5216,91.5,5082,5657,89.8,1080,1827,59.1,30,28.4,27.3,1.6,288,924,216,62,1041
vs Mirassol,32,25.0,9821,12114,81.1,179023,59649,4154,4653,89.3,4408,5025,87.7,1043,1864,56.0,21,20.1,20.7,0.9,263,842,209,64,968
vs Palmeiras,34,24.0,8171,10198,80.1,143026,55549,3722,4180,89.0,3408,3920,86.9,796,1497,53.2,12,13.7,13.4,-1.7,171,610,131,33,760
vs RB Bragantino,31,26.0,10731,13123,81.8,197485,68331,4352,4888,89.0,4985,5617,88.7,1160,1987,58.4,26,24.6,27.6,1.4,301,926,239,80,1125
vs Santos,40,25.0,9526,11650,81.8,168058,57262,4107,4593,89.4,4191,4732,88.6,936,1625,57.6,27,23.3,22.0,3.7,247,815,178,53,985
vs São Paulo,37,26.0,9671,11980,80.7,170351,60923,4369,4861,89.9,4107,4759,86.3,975,1754,55.6,12,16.8,19.5,-4.8,240,778,171,62,855
vs Sport Recife,40,24.0,9220,11324,81.4,165748,58372,3885,4372,88.9,4177,4797,87.1,935,1618,57.8,25,24.8,23.5,0.2,264,706,180,66,876
vs Vasco da Gama,37,26.0,8938,11085,80.6,160648,55798,3835,4297,89.2,3946,4525,87.2,941,1699,55.4,24,27.5,29.4,-3.5,266,794,197,57,868
vs Vitória,38,26.0,11471,13737,83.5,199677,68616,5184,5721,90.6,4871,5470,89.0,1089,1843,59.1,25,26.3,25.4,-1.3,297,1061,245,77,1181
