Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atlético Mineiro,32,24.0,9687,11827,81.9,173201,59663,4251,4688,90.7,4181,4729,88.4,1026,1816,56.5,13,17.8,22.1,-4.8,256,852,183,43,1039
Bahia,29,25.0,10569,12580,84.0,178182,58563,4938,5413,91.2,4455,4993,89.2,842,1505,55.9,22,22.8,25.9,-0.8,231,773,183,47,952
Botafogo (RJ),38,26.0,11049,13181,83.8,200512,67246,4686,5144,91.1,4981,5566,89.5,1143,1917,59.6,29,26.8,27.1,2.2,291,922,244,71,1092
Ceará,32,25.0,7118,9392,75.8,135788,53324,2823,3276,86.2,3235,3879,83.4,929,1760,52.8,16,16.7,16.3,-0.7,204,606,144,65,689
Corinthians,33,26.0,11296,13539,83.4,216129,69417,4155,4680,88.8,5614,6247,89.9,1346,2038,66.0,16,22.2,21.1,-6.2,228,931,164,52,1033
Cruzeiro,34,26.0,8157,10496,77.7,143112,54117,3757,4286,87.7,3214,3840,83.7,918,1728,53.1,31,26.1,20.5,4.9,266,748,184,61,878
Flamengo,31,25.0,13272,15282,86.8,226123,72103,6134,6648,92.3,5833,6358,91.7,1039,1643,63.2,41,26.4,29.8,14.6,286,1216,256,62,1319
Fluminense,36,24.0,10559,12660,83.4,176287,59340,5163,5661,91.2,4237,4820,87.9,856,1525,56.1,17,17.0,20.4,0.0,207,745,186,52,852
Fortaleza,43,25.0,8586,10854,79.1,153919,56512,3729,4206,88.7,3748,4380,85.6,881,1702,51.8,18,19.7,18.6,-1.7,241,793,170,53,920
Grêmio,39,26.0,8269,10516,78.6,151615,55924,3541,4047,87.5,3574,4163,85.9,944,1765,53.5,16,18.1,16.2,-2.1,197,685,136,55,709
Internacional,36,25.0,10258,12484,82.2,178264,60875,4633,5132,90.3,4454,5097,87.4,925,1626,56.9,17,24.4,24.0,-7.4,243,822,171,50,995
Juventude,43,25.0,7636,9743,78.4,145464,51722,2951,3353,88.0,3600,4179,86.1,949,1718,55.2,16,13.5,12.3,2.5,190,561,121,45,715
Mirassol,32,25.0,9075,11266,80.6,159131,60122,4105,4626,88.7,3753,4374,85.8,970,1646,58.9,26,25.7,26.0,0.3,260,707,182,76,928
Palmeiras,34,24.0,8799,10892,80.8,164280,55783,3621,4055,89.3,3955,4481,88.3,1064,1864,57.1,25,24.1,22.1,0.9,256,780,175,58,944
RB Bragantino,31,26.0,9054,11310,80.1,168728,59852,3685,4203,87.7,4173,4808,86.8,1028,1763,58.3,22,19.2,17.9,2.8,230,726,165,47,925
Santos,40,25.0,8898,10961,81.2,155697,56777,4101,4601,89.1,3782,4334,87.3,819,1499,54.6,13,20.4,20.6,-7.4,225,736,176,62,875
São Paulo,37,26.0,10168,12386,82.1,178734,59166,4402,4922,89.4,4620,5218,88.5,911,1679,54.3,23,23.5,23.5,-0.5,244,818,196,51,941
Sport Recife,40,24.0,8020,10229,78.4,145991,53875,3389,3867,87.6,3550,4122,86.1,871,1608,54.2,8,15.9,20.5,-7.9,213,669,187,53,905
Vasco da Gama,37,26.0,11770,13786,85.4,195144,63204,5709,6158,92.7,4805,5345,89.9,898,1580,56.8,28,21.9,23.2,6.1,257,951,164,78,987
Vitória,38,26.0,8067,10297,78.3,149304,53839,3328,3766,88.4,3733,4344,85.9,868,1714,50.6,16,18.3,18.2,-2.3,218,706,155,60,823
