Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Atlético Mineiro,32,28.8,24,2160,90,100,24.0,264,80,150,111,21,176,1.46,26,22,4,0.17,24.1,26.7,-2.6,-0.11
vs Bahia,29,28.5,25,2250,90,100,25.0,275,78,148,124,23,170,1.12,30,33,-3,-0.12,32.6,30.7,1.9,0.08
vs Botafogo (RJ),38,28.7,26,2340,90,100,26.0,286,81,155,128,23,183,1.08,21,37,-16,-0.62,25.7,33.8,-8.2,-0.31
vs Ceará,32,28.5,25,2250,90,100,25.0,275,82,153,123,23,176,1.48,24,23,1,0.04,27.1,25.6,1.5,0.06
vs Corinthians,33,28.7,26,2340,90,100,26.0,286,81,165,118,22,188,1.5,32,26,6,0.23,31.7,29.7,2.1,0.08
vs Cruzeiro,34,28.5,26,2340,90,100,26.0,286,84,164,123,24,185,0.81,19,39,-20,-0.77,22.6,34.2,-11.6,-0.45
vs Flamengo,31,28.7,25,2250,90,100,25.0,275,81,158,117,21,182,0.52,12,50,-38,-1.52,19.4,37.4,-18.1,-0.72
vs Fluminense,36,28.6,24,2160,90,100,24.0,264,81,153,113,22,173,1.33,31,30,1,0.04,23.9,24.7,-0.8,-0.03
vs Fortaleza,43,28.5,25,2250,90,100,25.0,275,80,155,118,22,178,1.92,40,24,16,0.64,36.6,29.2,7.4,0.29
vs Grêmio,39,28.9,26,2340,90,100,26.0,286,79,166,118,20,190,1.38,32,28,4,0.15,40.6,29.0,11.6,0.45
vs Internacional,36,29.0,25,2250,90,100,25.0,275,79,153,119,20,176,1.52,38,30,8,0.32,26.9,37.3,-10.4,-0.42
vs Juventude,43,28.6,25,2250,90,100,25.0,275,79,155,120,19,174,1.88,46,20,26,1.04,40.7,18.3,22.5,0.9
vs Mirassol,32,28.7,25,2250,90,100,25.0,275,80,158,117,24,180,0.88,25,42,-17,-0.68,29.7,36.7,-7.0,-0.28
vs Palmeiras,34,28.8,24,2160,90,100,24.0,264,80,154,110,22,175,0.67,19,39,-20,-0.83,19.3,36.0,-16.7,-0.7
vs RB Bragantino,31,28.9,26,2340,90,100,26.0,286,79,164,122,20,184,1.5,38,32,6,0.23,33.0,28.7,4.3,0.16
vs Santos,40,29.0,25,2250,90,100,25.0,275,80,155,119,22,180,1.6,35,25,10,0.4,31.9,29.4,2.4,0.1
vs São Paulo,37,29.0,26,2340,90,100,26.0,286,80,160,126,22,184,1.23,25,29,-4,-0.15,26.3,33.1,-6.7,-0.26
vs Sport Recife,40,28.6,24,2160,90,100,24.0,264,80,143,118,22,167,2.0,37,18,19,0.79,36.4,23.5,12.9,0.54
vs Vasco da Gama,37,28.6,26,2340,90,100,26.0,286,82,160,124,21,187,1.62,38,38,0,0.0,36.4,30.6,5.8,0.22
vs Vitória,38,28.9,26,2340,90,100,26.0,286,80,156,127,24,182,1.65,38,21,17,0.65,36.5,26.7,9.8,0.38
