Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atlético Mineiro,32,29.2,24,2160,90,100,24.0,264,80,148,112,22,168,1.21,22,26,-4,-0.17,26.7,24.1,2.6,0.11
Bahia,29,28.2,25,2250,90,100,25.0,275,78,147,125,24,174,1.6,33,30,3,0.12,30.7,32.6,-1.9,-0.08
Botafogo (RJ),38,27.5,26,2340,90,100,26.0,286,81,163,120,21,186,1.65,37,21,16,0.62,33.8,25.7,8.2,0.31
Ceará,32,29.6,25,2250,90,100,25.0,275,82,150,126,17,168,1.24,23,24,-1,-0.04,25.6,27.1,-1.5,-0.06
Corinthians,33,27.7,26,2340,90,100,26.0,286,81,167,120,22,190,1.15,26,32,-6,-0.23,29.7,31.7,-2.1,-0.08
Cruzeiro,34,29.6,26,2340,90,100,26.0,286,84,176,108,16,203,1.96,39,19,20,0.77,34.2,22.6,11.6,0.45
Flamengo,31,29.6,25,2250,90,100,25.0,275,81,158,117,22,182,2.2,50,12,38,1.52,37.4,19.4,18.1,0.72
Fluminense,36,31.2,24,2160,90,100,24.0,264,81,149,114,21,173,1.46,30,31,-1,-0.04,24.7,23.9,0.8,0.03
Fortaleza,43,30.4,25,2250,90,100,25.0,275,80,152,121,23,176,0.84,24,40,-16,-0.64,29.2,36.6,-7.4,-0.29
Grêmio,39,28.7,26,2340,90,100,26.0,286,79,159,126,25,184,1.27,28,32,-4,-0.15,29.0,40.6,-11.6,-0.45
Internacional,36,27.8,25,2250,90,100,25.0,275,79,157,117,25,183,1.16,30,38,-8,-0.32,37.3,26.9,10.4,0.42
Juventude,43,29.1,25,2250,90,100,25.0,275,79,148,125,24,172,0.92,20,46,-26,-1.04,18.3,40.7,-22.5,-0.9
Mirassol,32,30.3,25,2250,90,100,25.0,275,80,149,125,22,170,1.72,42,25,17,0.68,36.7,29.7,7.0,0.28
Palmeiras,34,27.1,24,2160,90,100,24.0,264,80,149,115,22,169,2.17,39,19,20,0.83,36.0,19.3,16.7,0.7
RB Bragantino,31,26.5,26,2340,90,100,26.0,286,79,155,130,24,181,1.27,32,38,-6,-0.23,28.7,33.0,-4.3,-0.16
Santos,40,28.6,25,2250,90,100,25.0,275,80,152,121,21,174,1.12,25,35,-10,-0.4,29.4,31.9,-2.4,-0.1
São Paulo,37,29.1,26,2340,90,100,26.0,286,80,168,118,23,191,1.46,29,25,4,0.15,33.1,26.3,6.7,0.26
Sport Recife,40,28.5,24,2160,90,100,24.0,264,80,146,118,22,163,0.63,18,37,-19,-0.79,23.5,36.4,-12.9,-0.54
Vasco da Gama,37,28.1,26,2340,90,100,26.0,286,82,167,117,18,195,1.15,38,38,0,0.0,30.6,36.4,-5.8,-0.22
Vitória,38,28.2,26,2340,90,100,26.0,286,80,165,120,23,188,0.96,21,38,-17,-0.65,26.7,36.5,-9.8,-0.38
