Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Atlético Mineiro,32,45.0,24.0,12353,1459,3968,5672,2847,354,12351,333,129,38.7,171,51.4,6530,34809,18079,291,254,56,377,222,7416,712
vs Bahia,29,45.9,25.0,13255,1297,3758,6279,3349,441,13250,429,221,51.5,175,40.8,7290,39338,20111,424,316,82,349,227,8459,911
vs Botafogo (RJ),38,48.3,26.0,15158,1553,4987,6968,3361,423,15157,430,200,46.5,203,47.2,8844,43790,22308,422,330,86,371,224,10139,942
vs Ceará,32,57.4,25.0,15417,1360,4202,7607,3748,448,15414,403,168,41.7,181,44.9,8968,46718,24723,405,328,65,382,225,10281,1077
vs Corinthians,33,44.7,26.0,13906,1377,4408,6540,3127,447,13899,482,210,43.6,231,47.9,7687,38684,19496,375,299,90,326,199,8820,797
vs Cruzeiro,34,53.2,26.0,15136,1645,4898,6726,3649,517,15135,473,206,43.6,225,47.6,8216,41088,20782,411,270,93,431,225,9636,992
vs Flamengo,31,38.2,25.0,12139,1755,5121,5051,2084,271,12135,367,174,47.4,162,44.1,6383,32130,14949,275,201,52,336,234,7413,563
vs Fluminense,36,46.3,24.0,13437,1453,4236,6462,2877,410,13436,380,168,44.2,178,46.8,7485,38949,19815,334,245,95,331,197,8696,841
vs Fortaleza,43,52.4,25.0,14944,1607,4831,7016,3219,497,14939,547,229,41.9,258,47.2,8548,41937,21745,416,290,87,364,208,9808,966
vs Grêmio,39,55.5,26.0,16187,1337,4538,7801,3994,587,16179,485,186,38.4,258,53.2,9544,49974,25774,459,318,120,412,222,10784,1135
vs Internacional,36,48.2,25.0,14590,1498,5019,6749,2969,418,14589,463,213,46.0,218,47.1,8004,37540,18191,315,227,83,391,239,9335,849
vs Juventude,43,56.8,25.0,15831,1407,4658,7566,3744,571,15825,388,196,50.5,154,39.7,9547,44103,22153,416,297,103,331,228,11045,1036
vs Mirassol,32,51.7,25.0,15077,1493,4653,6494,4080,549,15074,438,209,47.7,173,39.5,8477,42175,21563,442,335,114,366,240,9752,962
vs Palmeiras,34,48.1,24.0,13076,1526,4611,5952,2667,367,13073,484,212,43.8,227,46.9,7185,36836,19056,347,246,83,417,208,8083,749
vs RB Bragantino,31,53.4,26.0,16002,1567,5104,6970,4110,582,16001,479,226,47.2,200,41.8,9211,44876,21267,415,309,99,357,209,10662,1117
vs Santos,40,51.3,25.0,14395,1429,4410,6622,3499,481,14391,464,188,40.5,229,49.4,8259,40027,20450,395,286,102,348,224,9464,981
vs São Paulo,37,48.9,26.0,14923,1439,4558,7065,3452,473,14919,459,201,43.8,209,45.5,8182,42642,20919,357,312,72,420,230,9578,846
vs Sport Recife,40,52.5,24.0,14200,1469,4520,6806,3012,506,14193,437,202,46.2,185,42.3,8014,39780,20757,372,248,99,385,197,9142,874
vs Vasco da Gama,37,45.0,26.0,13807,1478,4192,6172,3577,500,13805,405,164,40.5,203,50.1,7727,36622,18266,324,292,82,344,191,8856,860
vs Vitória,38,56.5,26.0,16622,1388,4422,8143,4183,583,16619,374,152,40.6,184,49.2,9546,44461,23169,394,322,74,374,202,11398,1172
