Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atlético Mineiro,28,14.0,14,170,54,31.8,12.14,3.86,0.08,0.26,19.7,5,0,0,13.6,13.6,0.08,0.4,0.4
vs Bahia,27,14.0,13,188,48,25.5,13.43,3.43,0.06,0.23,19.5,9,2,3,18.3,15.9,0.09,-5.3,-4.9
vs Botafogo (RJ),30,14.0,7,172,48,27.9,12.29,3.43,0.04,0.15,21.0,11,0,0,13.1,13.1,0.08,-6.1,-6.1
vs Ceará,27,14.0,13,170,50,29.4,12.14,3.57,0.06,0.22,19.1,6,2,2,15.4,13.8,0.08,-2.4,-2.8
vs Corinthians,30,15.0,19,172,51,29.7,11.47,3.4,0.09,0.31,19.5,7,3,3,19.0,16.6,0.1,0.0,-0.6
vs Cruzeiro,30,15.0,9,198,57,28.8,13.2,3.8,0.05,0.16,18.1,6,0,1,13.3,12.5,0.06,-4.3,-3.5
vs Flamengo,25,14.0,5,111,34,30.6,7.93,2.43,0.05,0.15,19.9,5,0,2,8.1,6.4,0.06,-3.1,-1.4
vs Fluminense,29,13.0,15,131,46,35.1,10.08,3.54,0.11,0.33,18.7,4,0,0,11.2,11.2,0.09,3.8,3.8
vs Fortaleza,35,14.0,19,184,68,37.0,13.14,4.86,0.1,0.28,18.5,8,0,1,20.4,19.6,0.11,-1.4,-0.6
vs Grêmio,31,14.0,20,211,63,29.9,15.07,4.5,0.08,0.25,19.1,6,4,4,21.3,18.2,0.09,-1.3,-2.2
vs Internacional,32,14.0,16,155,45,29.0,11.07,3.21,0.1,0.33,18.8,7,1,1,14.7,14.3,0.1,1.3,0.7
vs Juventude,33,13.0,27,220,82,37.3,16.92,6.31,0.11,0.29,17.7,10,3,4,23.8,20.4,0.1,3.2,3.6
vs Mirassol,28,13.0,13,178,52,29.2,13.69,4.0,0.07,0.23,19.9,11,1,2,15.0,13.5,0.08,-2.0,-1.5
vs Palmeiras,27,13.0,11,122,35,28.7,9.38,2.69,0.08,0.29,20.3,10,1,2,10.6,9.1,0.08,0.4,0.9
vs RB Bragantino,26,15.0,14,212,60,28.3,14.13,4.0,0.07,0.23,18.7,12,0,0,16.1,16.1,0.08,-2.1,-2.1
vs Santos,32,14.0,17,195,70,35.9,13.93,5.0,0.08,0.21,19.8,7,2,2,17.4,15.9,0.08,-0.4,-0.9
vs São Paulo,29,15.0,17,208,61,29.3,13.87,4.07,0.07,0.23,20.0,11,3,3,18.4,16.0,0.08,-1.4,-2.0
vs Sport Recife,34,13.0,20,164,54,32.9,12.62,4.15,0.1,0.31,19.8,4,3,4,17.4,14.2,0.09,2.6,2.8
vs Vasco da Gama,28,14.0,16,174,50,28.7,12.43,3.57,0.09,0.32,18.7,9,0,0,19.0,19.0,0.11,-3.0,-3.0
vs Vitória,29,15.0,15,227,72,31.7,15.13,4.8,0.07,0.21,17.8,14,0,0,18.0,18.0,0.08,-3.0,-3.0
