Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atlético Mineiro,28,28.7,44.8,14,154,1260,14.0,14,7,21,14,0,0,35,2,13.6,13.6,10.2,23.8,164,422,1.0,0.5,1.5,1.0,1.5,0.97,0.73,1.7,0.97,1.7
vs Bahia,27,28.4,46.3,14,154,1260,14.0,13,7,20,11,2,3,45,3,18.3,15.9,11.1,27.1,258,555,0.93,0.5,1.43,0.79,1.29,1.3,0.8,2.1,1.14,1.93
vs Botafogo (RJ),30,28.3,48.8,14,154,1260,14.0,7,6,13,7,0,0,39,1,13.1,13.1,11.3,24.4,244,493,0.5,0.43,0.93,0.5,0.93,0.94,0.81,1.75,0.94,1.75
vs Ceará,27,28.0,57.9,14,154,1260,14.0,13,6,19,11,2,2,34,1,15.4,13.8,10.1,23.9,221,595,0.93,0.43,1.36,0.79,1.21,1.1,0.72,1.82,0.99,1.71
vs Corinthians,30,28.4,41.5,15,165,1350,15.0,19,12,31,16,3,3,48,3,19.0,16.6,11.2,27.8,215,436,1.27,0.8,2.07,1.07,1.87,1.26,0.74,2.01,1.11,1.85
vs Cruzeiro,30,28.5,55.3,15,165,1350,15.0,9,9,18,9,0,1,35,1,13.3,12.5,10.1,22.7,262,600,0.6,0.6,1.2,0.6,1.2,0.89,0.68,1.56,0.83,1.51
vs Flamengo,25,28.5,38.4,14,154,1260,14.0,5,4,9,5,0,2,29,0,8.1,6.4,4.9,11.4,155,332,0.36,0.29,0.64,0.36,0.64,0.58,0.35,0.93,0.46,0.81
vs Fluminense,29,28.8,44.7,13,143,1170,13.0,15,11,26,15,0,0,32,0,11.2,11.2,8.4,19.6,189,452,1.15,0.85,2.0,1.15,2.0,0.86,0.65,1.51,0.86,1.51
vs Fortaleza,35,28.5,53.6,14,154,1260,14.0,19,16,35,19,0,1,26,1,20.4,19.6,15.7,35.3,247,541,1.36,1.14,2.5,1.36,2.5,1.45,1.12,2.58,1.4,2.52
vs Grêmio,31,28.5,56.4,14,154,1260,14.0,20,12,32,16,4,4,37,0,21.3,18.2,13.5,31.7,249,592,1.43,0.86,2.29,1.14,2.0,1.52,0.96,2.48,1.3,2.26
vs Internacional,32,29.2,45.9,14,154,1260,14.0,16,14,30,15,1,1,34,3,14.7,14.3,11.9,26.2,155,420,1.14,1.0,2.14,1.07,2.07,1.05,0.85,1.91,1.02,1.87
vs Juventude,33,28.4,54.4,13,143,1170,13.0,27,21,48,24,3,4,32,1,23.8,20.4,16.8,37.3,208,528,2.08,1.62,3.69,1.85,3.46,1.83,1.29,3.12,1.57,2.87
vs Mirassol,28,28.9,52.9,13,143,1170,13.0,13,12,25,12,1,2,33,0,15.0,13.5,10.4,23.9,230,523,1.0,0.92,1.92,0.92,1.85,1.15,0.8,1.96,1.04,1.84
vs Palmeiras,27,28.7,49.7,13,143,1170,13.0,11,8,19,10,1,2,34,0,10.6,9.1,7.4,16.5,178,425,0.85,0.62,1.46,0.77,1.38,0.82,0.57,1.39,0.7,1.27
vs RB Bragantino,26,28.7,52.5,15,165,1350,15.0,14,10,24,14,0,0,36,0,16.1,16.1,12.7,28.8,226,633,0.93,0.67,1.6,0.93,1.6,1.07,0.85,1.92,1.07,1.92
vs Santos,32,29.2,53.3,14,154,1260,14.0,17,13,30,15,2,2,43,1,17.4,15.9,12.6,28.5,236,607,1.21,0.93,2.14,1.07,2.0,1.24,0.9,2.14,1.13,2.04
vs São Paulo,29,28.7,50.2,15,165,1350,15.0,17,10,27,14,3,3,33,1,18.4,16.0,12.0,28.0,204,509,1.13,0.67,1.8,0.93,1.6,1.22,0.8,2.03,1.07,1.87
vs Sport Recife,34,28.9,51.1,13,143,1170,13.0,20,13,33,17,3,4,28,2,17.4,14.2,11.6,25.8,194,476,1.54,1.0,2.54,1.31,2.31,1.34,0.89,2.23,1.09,1.98
vs Vasco da Gama,28,28.5,45.5,14,154,1260,14.0,16,14,30,16,0,0,26,2,19.0,19.0,16.8,35.8,184,476,1.14,1.0,2.14,1.14,2.14,1.36,1.2,2.56,1.36,2.56
vs Vitória,29,28.7,56.6,15,165,1350,15.0,15,10,25,15,0,0,23,2,18.0,18.0,13.3,31.3,231,709,1.0,0.67,1.67,1.0,1.67,1.2,0.89,2.09,1.2,2.09
