Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Augsburg,1,5.0,12,1,1,0,0,12.7,0.36,0.7,0.13,23,66,34.8,161,17,31.1,32.3,38,42.1,36.8,60,5,8.3,12,2.4,15.3
Bayern Munich,1,5.0,3,0,1,0,0,2.7,0.23,-0.3,-0.06,22,50,44.0,182,22,24.2,29.9,29,20.7,25.6,52,1,1.9,17,3.4,22.8
Dortmund,1,5.0,3,1,0,0,0,3.0,0.19,0.0,-0.01,12,46,26.1,130,18,30.8,31.5,29,20.7,26.0,69,1,1.4,4,0.8,15.6
Eint Frankfurt,2,5.0,13,1,2,2,0,11.3,0.36,-1.7,-0.35,15,50,30.0,146,27,28.1,31.7,45,20.0,25.9,53,3,5.7,9,1.8,15.4
Freiburg,1,5.0,9,0,0,2,0,9.0,0.39,0.0,0.0,52,115,45.2,188,19,51.6,40.5,30,60.0,48.2,70,5,7.1,6,1.2,13.7
Gladbach,1,5.0,12,1,0,3,0,9.0,0.29,-3.0,-0.6,15,36,41.7,121,23,24.8,26.8,31,19.4,20.2,49,3,6.1,9,1.8,16.8
Hamburger SV,1,5.0,8,1,0,2,0,7.5,0.2,-0.5,-0.1,22,66,33.3,195,15,27.7,28.3,42,28.6,30.6,80,2,2.5,4,0.8,13.0
Heidenheim,1,5.0,10,1,0,0,0,12.2,0.41,2.2,0.44,33,108,30.6,216,23,37.5,38.1,53,50.9,45.3,77,9,11.7,6,1.2,12.3
Hoffenheim,1,6.0,12,2,0,3,0,10.2,0.32,-1.8,-0.3,25,76,32.9,157,14,41.4,34.6,39,28.2,27.9,88,3,3.4,19,3.17,19.2
Köln,1,6.0,9,1,2,2,0,10.5,0.39,1.5,0.25,50,144,34.7,223,15,43.0,37.2,64,75.0,55.4,122,2,1.6,6,1.0,15.7
Leverkusen,1,5.0,8,1,0,4,0,6.9,0.25,-1.1,-0.21,19,66,28.8,152,20,25.7,31.0,45,60.0,45.4,72,3,4.2,9,1.8,15.3
Mainz 05,2,5.0,6,0,0,1,0,4.8,0.28,-1.2,-0.25,28,99,28.3,146,14,51.4,42.0,38,63.2,53.3,61,7,11.5,9,1.81,15.0
RB Leipzig,1,5.0,7,0,0,1,0,5.6,0.3,-1.4,-0.27,18,58,31.0,152,19,27.6,30.1,44,36.4,32.5,70,5,7.1,6,1.2,14.0
St. Pauli,1,5.0,8,0,0,0,0,8.8,0.27,0.8,0.15,14,52,26.9,183,21,27.9,29.0,24,4.2,11.9,35,4,11.4,7,1.4,15.4
Stuttgart,1,5.0,6,1,0,0,0,6.5,0.27,0.5,0.09,26,55,47.3,164,25,27.4,30.9,29,34.5,34.0,96,9,9.4,5,1.0,12.0
Union Berlin,1,5.0,11,3,0,1,0,12.6,0.28,1.6,0.33,31,106,29.2,125,17,57.6,41.9,39,87.2,58.4,85,10,11.8,3,0.6,10.4
Werder Bremen,2,5.0,14,3,0,1,1,11.8,0.34,-1.2,-0.23,12,35,34.3,164,30,16.5,26.1,48,16.7,20.5,81,10,12.3,8,1.6,11.9
Wolfsburg,1,5.0,7,1,1,0,0,6.9,0.26,-0.1,-0.02,15,55,27.3,133,32,27.8,31.5,45,40.0,34.5,104,5,4.8,5,1.0,12.3
