Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Augsburg,1,5,5,450,5.0,8,1.6,20,12,60.0,4,0,1,0,0.0,0,0,0,0,
vs Bayern Munich,1,5,5,450,5.0,22,4.4,53,31,66.0,0,0,5,0,0.0,4,4,0,0,0.0
vs Dortmund,1,5,5,448,5.0,11,2.21,29,17,62.1,0,1,4,0,0.0,1,0,1,0,100.0
vs Eint Frankfurt,2,5,5,450,5.0,17,3.4,30,13,46.7,2,0,3,0,0.0,1,1,0,0,0.0
vs Freiburg,1,5,5,450,5.0,9,1.8,18,10,66.7,2,1,2,0,0.0,3,3,0,0,0.0
vs Gladbach,1,5,5,450,5.0,5,1.0,27,22,81.5,3,2,0,3,60.0,0,0,0,0,
vs Hamburger SV,1,5,5,450,5.0,2,0.4,20,18,90.0,2,2,1,4,80.0,0,0,0,0,
vs Heidenheim,1,5,5,450,5.0,4,0.8,18,14,77.8,4,0,1,2,40.0,0,0,0,0,
vs Hoffenheim,1,6,6,540,6.0,9,1.5,29,20,75.9,3,1,2,1,16.7,2,2,0,0,0.0
vs Köln,1,6,6,540,6.0,11,1.83,26,15,57.7,2,1,3,0,0.0,0,0,0,0,
vs Leverkusen,1,5,5,450,5.0,10,2.0,25,15,68.0,1,2,2,0,0.0,2,2,0,0,0.0
vs Mainz 05,2,5,5,450,5.0,5,1.0,13,8,69.2,3,1,1,3,60.0,1,1,0,0,0.0
vs RB Leipzig,1,5,5,450,5.0,7,1.4,23,16,69.6,1,0,4,1,20.0,1,0,0,1,
vs St. Pauli,1,5,5,450,5.0,8,1.6,27,18,74.1,2,1,2,1,20.0,2,1,1,0,50.0
vs Stuttgart,1,5,5,450,5.0,7,1.4,26,18,76.9,2,0,3,0,0.0,2,1,1,0,50.0
vs Union Berlin,1,5,5,450,5.0,8,1.6,18,9,55.6,2,1,2,2,40.0,1,0,1,0,100.0
vs Werder Bremen,2,5,5,450,5.0,8,1.6,25,16,76.0,3,1,1,2,40.0,3,2,1,0,33.3
vs Wolfsburg,1,5,5,450,5.0,7,1.4,18,11,66.7,2,2,1,2,40.0,1,1,0,0,0.0
