Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,22,5.0,19,0,0,77,58,14,97,56,53,0,2,0,225,87,85,50.6
Bayern Munich,20,5.0,14,0,0,53,56,7,69,52,38,2,0,0,222,35,32,52.2
Dortmund,21,5.0,8,1,0,59,44,10,82,35,27,1,1,0,201,66,57,53.7
Eint Frankfurt,22,5.0,12,0,0,46,57,6,109,40,50,1,1,0,192,66,83,44.3
Freiburg,23,5.0,9,1,0,47,64,9,103,52,37,1,1,0,172,107,101,51.4
Gladbach,20,5.0,10,0,0,64,41,12,114,48,46,0,1,0,212,70,62,53.0
Hamburger SV,24,5.0,13,2,1,69,64,11,72,30,30,0,2,0,182,79,59,57.2
Heidenheim,22,5.0,11,1,0,56,62,9,76,49,39,0,1,0,188,54,83,39.4
Hoffenheim,20,6.0,12,0,0,90,54,9,125,42,66,2,2,0,267,112,102,52.3
Köln,22,6.0,11,0,0,58,62,8,98,44,45,0,1,0,185,104,102,50.5
Leverkusen,22,5.0,18,2,2,52,64,7,63,36,44,2,1,0,182,75,53,58.6
Mainz 05,23,5.0,10,3,1,55,59,16,134,47,44,0,0,0,199,125,107,53.9
RB Leipzig,21,5.0,6,0,0,50,50,10,75,51,44,1,0,0,219,66,71,48.2
St. Pauli,17,5.0,11,0,0,70,60,8,110,37,54,1,2,0,209,55,92,37.4
Stuttgart,22,5.0,9,0,0,56,66,8,98,45,37,2,1,0,176,85,79,51.8
Union Berlin,19,5.0,9,1,0,70,64,11,93,42,43,1,3,0,180,87,108,44.6
Werder Bremen,22,5.0,12,1,1,46,44,8,58,39,46,2,3,1,203,43,50,46.2
Wolfsburg,21,5.0,10,1,1,58,55,0,82,50,47,1,2,0,169,82,68,54.7
