Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,22,5.0,2443,2167,266,86,17,9,73,116,22,10,6,0,1885,10,42
vs Bayern Munich,20,5.0,2026,1793,223,57,2,9,61,78,26,12,9,0,1590,10,34
vs Dortmund,21,5.0,2087,1856,219,66,3,13,92,69,26,10,11,0,1596,12,44
vs Eint Frankfurt,22,5.0,1975,1721,236,46,12,11,69,97,14,11,2,0,1515,18,46
vs Freiburg,23,5.0,2259,2041,209,50,2,18,86,83,19,11,5,0,1766,9,32
vs Gladbach,20,5.0,2723,2479,234,73,4,10,69,85,25,13,5,0,2289,10,37
vs Hamburger SV,24,5.0,2700,2437,256,76,7,14,110,107,34,11,9,0,2237,7,46
vs Heidenheim,22,5.0,2742,2518,218,61,8,14,87,97,16,11,3,0,2299,6,47
vs Hoffenheim,20,6.0,2691,2364,319,94,4,21,107,130,37,27,6,1,2070,8,64
vs Köln,22,6.0,3148,2830,306,63,8,16,154,136,48,21,16,1,2550,12,55
vs Leverkusen,22,5.0,2400,2169,224,57,3,7,101,92,32,15,11,0,1960,7,43
vs Mainz 05,23,5.0,2174,1900,269,65,7,6,73,125,22,9,6,0,1664,5,42
vs RB Leipzig,21,5.0,2516,2283,225,58,17,20,96,88,22,14,5,0,2023,8,56
vs St. Pauli,17,5.0,2536,2304,223,71,12,10,45,94,14,8,2,0,2118,9,33
vs Stuttgart,22,5.0,2068,1822,236,61,5,5,107,92,34,22,9,0,1550,10,43
vs Union Berlin,19,5.0,3232,2979,246,78,10,9,105,95,25,10,5,0,2738,7,41
vs Werder Bremen,22,5.0,2776,2553,218,47,6,24,93,88,30,22,6,0,2326,5,48
vs Wolfsburg,21,5.0,2438,2169,259,53,4,19,130,111,36,20,8,0,1954,10,43
