Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Augsburg,22,52.4,5.0,3062,310,969,1304,820,142,3060,87,37,42.5,44,50.6,1565,8111,4190,65,47,25,83,36,1862,195
vs Bayern Munich,20,37.8,5.0,2618,443,1238,938,474,97,2618,79,42,53.2,31,39.2,1497,7550,3480,68,39,15,65,34,1578,134
vs Dortmund,21,40.8,5.0,2622,338,1049,1023,571,73,2621,49,23,46.9,22,44.9,1198,5702,2726,50,35,5,78,24,1581,121
vs Eint Frankfurt,22,41.4,5.0,2608,363,1006,1088,543,97,2607,67,27,40.3,36,53.7,1245,6647,3233,72,45,16,86,39,1498,148
vs Freiburg,23,50.0,5.0,2904,385,1015,1304,608,102,2903,45,17,37.8,28,62.2,1511,8275,3958,79,61,19,80,35,1747,165
vs Gladbach,20,51.4,5.0,3313,432,1178,1441,718,127,3312,78,33,42.3,38,48.7,2181,10348,4940,87,65,26,75,55,2267,146
vs Hamburger SV,24,54.0,5.0,3216,261,749,1581,927,138,3214,71,32,45.1,31,43.7,1782,8263,4687,73,52,15,67,29,2221,232
vs Heidenheim,22,58.6,5.0,3322,248,799,1585,979,131,3321,107,55,51.4,43,40.2,2092,10833,6212,113,97,24,76,31,2281,252
vs Hoffenheim,20,48.2,6.0,3444,423,1248,1482,737,111,3442,111,46,41.4,54,48.6,1811,9623,4565,76,64,21,116,51,2051,169
vs Köln,22,55.3,6.0,3767,314,1159,1617,1013,186,3766,57,28,49.1,26,45.6,1994,9405,4668,99,57,29,72,39,2532,229
vs Leverkusen,22,46.8,5.0,2924,280,870,1370,705,109,2923,58,21,36.2,36,62.1,1637,8227,3915,78,53,17,68,36,1946,189
vs Mainz 05,23,48.8,5.0,2895,413,1111,1194,612,94,2895,57,27,47.4,27,47.4,1271,6193,3165,64,52,23,92,39,1649,147
vs RB Leipzig,21,51.2,5.0,3101,386,1020,1362,741,137,3101,69,34,49.3,30,43.5,1718,9031,4637,89,56,32,81,43,2001,214
vs St. Pauli,17,48.8,5.0,3208,330,1109,1642,490,76,3206,91,33,36.3,49,53.8,1844,8417,4424,62,44,14,107,46,2097,170
vs Stuttgart,22,41.8,5.0,2607,332,933,1076,622,107,2606,55,21,38.2,32,58.2,1161,6145,2930,58,43,17,66,33,1522,152
vs Union Berlin,19,67.8,5.0,3844,289,969,2052,854,139,3841,76,35,46.1,35,46.1,2356,12661,7213,141,90,17,87,37,2719,282
vs Werder Bremen,22,52.2,5.0,3367,289,951,1546,904,153,3364,91,40,44.0,48,52.7,1940,9282,4576,82,67,30,98,40,2304,216
vs Wolfsburg,21,52.0,5.0,2954,286,855,1231,888,150,2952,77,37,48.1,37,48.1,1687,8786,4750,106,86,35,65,37,1937,198
