Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Augsburg,22,47.6,5.0,2903,320,1000,1333,604,97,2903,75,27,36.0,41,54.7,1527,7629,3805,71,52,14,103,40,1701,172
Bayern Munich,20,62.2,5.0,3922,291,923,1893,1145,179,3918,112,46,41.1,54,48.2,2609,12481,6385,103,84,47,72,37,2938,262
Dortmund,21,59.2,5.0,3671,266,889,1779,1026,127,3670,88,41,46.6,42,47.7,2180,10485,6133,105,99,22,82,38,2651,279
Eint Frankfurt,22,58.6,5.0,3394,314,1011,1508,900,141,3393,81,33,40.7,44,54.3,1974,9507,4958,102,71,24,97,44,2293,240
Freiburg,23,50.0,5.0,2837,290,960,1261,633,114,2834,64,31,48.4,28,43.8,1422,7699,3480,57,47,14,88,31,1674,163
Gladbach,20,48.6,5.0,3095,322,889,1486,751,124,3095,55,20,36.4,33,60.0,1639,8562,4474,83,71,19,79,47,2056,227
Hamburger SV,24,46.0,5.0,2837,379,1110,1249,516,94,2837,87,45,51.7,36,41.4,1710,9572,5269,93,59,19,84,39,1808,144
Heidenheim,22,41.4,5.0,2420,338,999,934,515,83,2420,61,25,41.0,30,49.2,1238,6657,3705,53,39,11,73,22,1375,133
Hoffenheim,20,51.8,6.0,3608,356,1162,1659,821,152,3606,69,34,49.3,32,46.4,1618,8675,4095,99,52,20,88,48,2193,214
Köln,22,44.7,6.0,3238,468,1181,1337,737,137,3238,55,25,45.5,29,52.7,1600,8352,3994,77,60,25,84,44,1963,165
Leverkusen,22,53.2,5.0,3343,326,1069,1628,672,87,3341,100,39,39.0,50,50.0,2139,10222,5026,73,61,17,76,32,2348,137
Mainz 05,23,51.2,5.0,2841,246,789,1148,930,159,2840,64,34,53.1,27,42.2,1234,6209,2941,65,45,22,84,35,1648,210
RB Leipzig,21,48.8,5.0,3004,407,1100,1227,711,166,3003,109,60,55.0,45,41.3,1746,9332,5102,123,73,45,78,27,1873,179
St. Pauli,17,51.2,5.0,3160,257,980,1425,782,112,3158,58,24,41.4,31,53.4,1417,6375,3147,70,38,12,79,38,2059,189
Stuttgart,22,58.2,5.0,3399,352,989,1641,794,125,3397,61,25,41.0,30,49.2,1921,9619,4860,100,70,23,71,42,2353,219
Union Berlin,19,32.2,5.0,2171,310,825,885,485,94,2170,60,27,45.0,30,50.0,1011,5035,2500,52,32,12,85,40,1041,96
Werder Bremen,22,47.8,5.0,3081,432,1168,1347,590,91,3078,72,30,41.7,38,52.8,1966,9871,4666,76,59,17,73,45,2039,191
Wolfsburg,21,48.0,5.0,2852,448,1184,1096,594,87,2851,54,22,40.7,27,50.0,1539,7217,3729,60,41,17,66,35,1780,139
