Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Augsburg,22,5.0,12,70,28,40.0,14.0,5.6,0.16,0.39,15.9,2,1,2,12.2,10.6,0.15,-0.2,0.4
vs Bayern Munich,20,5.0,3,53,12,22.6,10.6,2.4,0.06,0.25,16.9,2,0,0,2.9,2.9,0.05,0.1,0.1
vs Dortmund,21,5.0,3,45,12,26.7,9.0,2.4,0.04,0.17,18.1,1,1,1,4.0,3.2,0.07,-1.0,-1.2
vs Eint Frankfurt,22,5.0,13,66,29,43.9,13.2,5.8,0.18,0.41,17.5,3,1,1,7.3,6.6,0.1,5.7,5.4
vs Freiburg,23,5.0,9,65,21,32.3,13.0,4.2,0.14,0.43,17.0,2,0,1,7.5,6.7,0.11,1.5,2.3
vs Gladbach,20,5.0,12,65,27,41.5,13.0,5.4,0.17,0.41,17.2,0,1,1,7.5,6.8,0.11,4.5,4.2
vs Hamburger SV,24,5.0,8,85,29,34.1,17.0,5.8,0.08,0.24,17.7,2,1,2,9.2,7.8,0.09,-1.2,-0.8
vs Heidenheim,22,5.0,10,80,28,35.0,16.0,5.6,0.11,0.32,16.1,3,1,1,10.2,9.5,0.12,-0.2,-0.5
vs Hoffenheim,20,6.0,12,67,27,40.3,11.17,4.5,0.15,0.37,16.2,3,2,2,9.9,8.4,0.13,2.1,1.6
vs Köln,22,6.0,9,92,26,28.3,15.33,4.33,0.09,0.31,15.6,2,1,1,10.4,9.6,0.11,-1.4,-1.6
vs Leverkusen,22,5.0,8,60,23,38.3,12.0,4.6,0.12,0.3,18.9,1,1,1,5.5,4.7,0.08,2.5,2.3
vs Mainz 05,23,5.0,6,70,17,24.3,14.0,3.4,0.09,0.35,18.1,5,0,0,6.3,6.3,0.09,-0.3,-0.3
vs RB Leipzig,21,5.0,7,72,19,26.4,14.4,3.8,0.1,0.37,15.6,1,0,0,8.4,8.4,0.12,-1.4,-1.4
vs St. Pauli,17,5.0,8,43,24,55.8,8.6,4.8,0.19,0.33,18.2,2,0,2,5.7,4.1,0.1,2.3,3.9
vs Stuttgart,22,5.0,6,60,20,33.3,12.0,4.0,0.08,0.25,16.0,1,1,1,5.7,4.9,0.08,0.3,0.1
vs Union Berlin,19,5.0,11,73,33,45.2,14.6,6.6,0.11,0.24,16.9,0,3,3,9.8,7.5,0.1,1.2,0.5
vs Werder Bremen,22,5.0,13,80,25,31.3,16.0,5.0,0.13,0.4,17.9,4,3,3,12.1,9.7,0.12,0.9,0.3
vs Wolfsburg,21,5.0,7,68,22,32.4,13.6,4.4,0.09,0.27,18.0,2,1,2,7.6,6.0,0.09,-0.6,0.0
