Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,22,5.0,8,60,20,33.3,12.0,4.0,0.13,0.4,17.7,2,0,0,4.5,4.5,0.08,3.5,3.5
Bayern Munich,20,5.0,22,101,49,48.5,20.2,9.8,0.18,0.37,18.0,4,4,4,14.7,11.7,0.12,7.3,6.3
Dortmund,21,5.0,11,57,28,49.1,11.4,5.6,0.19,0.39,14.5,1,0,1,9.2,8.4,0.15,1.8,2.6
Eint Frankfurt,22,5.0,17,79,29,36.7,15.8,5.8,0.2,0.55,17.1,1,1,1,9.8,9.0,0.11,7.2,7.0
Freiburg,23,5.0,8,55,15,27.3,11.0,3.0,0.09,0.33,16.8,1,3,3,8.5,6.1,0.12,-0.5,-1.1
Gladbach,20,5.0,5,75,27,36.0,15.0,5.4,0.07,0.19,16.0,2,0,0,6.9,6.9,0.09,-1.9,-1.9
Hamburger SV,24,5.0,2,59,20,33.9,11.8,4.0,0.03,0.1,17.9,3,0,0,4.5,4.5,0.08,-2.5,-2.5
Heidenheim,22,5.0,4,49,18,36.7,9.8,3.6,0.08,0.22,16.5,2,0,0,6.2,6.2,0.13,-2.2,-2.2
Hoffenheim,20,6.0,9,77,27,35.1,12.83,4.5,0.09,0.26,16.7,2,2,2,9.3,7.7,0.1,-0.3,-0.7
Köln,22,6.0,11,81,26,32.1,13.5,4.33,0.14,0.42,17.3,2,0,0,8.8,8.8,0.11,2.2,2.2
Leverkusen,22,5.0,10,51,23,45.1,10.2,4.6,0.16,0.35,17.3,4,2,2,7.2,5.6,0.11,2.8,2.4
Mainz 05,23,5.0,5,68,12,17.6,13.6,2.4,0.06,0.33,15.5,0,1,1,7.4,6.7,0.1,-2.4,-2.7
RB Leipzig,21,5.0,7,87,23,26.4,17.4,4.6,0.08,0.3,16.8,5,0,1,10.0,9.2,0.11,-3.0,-2.2
St. Pauli,17,5.0,8,61,25,41.0,12.2,5.0,0.11,0.28,18.6,2,1,2,6.2,4.6,0.08,1.8,2.4
Stuttgart,22,5.0,7,71,24,33.8,14.2,4.8,0.08,0.25,17.2,0,1,2,6.9,5.3,0.08,0.1,0.7
Union Berlin,19,5.0,8,61,17,27.9,12.2,3.4,0.13,0.47,15.9,1,0,1,7.0,6.3,0.11,1.0,1.7
Werder Bremen,22,5.0,8,52,22,42.3,10.4,4.4,0.12,0.27,19.6,2,2,3,6.8,4.5,0.09,1.2,1.5
Wolfsburg,21,5.0,7,70,17,24.3,14.0,3.4,0.09,0.35,17.0,2,1,1,8.3,7.5,0.11,-1.3,-1.5
