Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Augsburg,22,27.9,52.4,5,55,450,5.0,12,7,19,11,1,2,12,1,12.2,10.6,7.8,18.4,65,196,2.4,1.4,3.8,2.2,3.6,2.45,1.56,4.01,2.11,3.67
vs Bayern Munich,20,25.9,37.8,5,55,450,5.0,3,2,5,3,0,0,7,0,2.9,2.9,2.4,5.3,68,135,0.6,0.4,1.0,0.6,1.0,0.58,0.49,1.07,0.58,1.07
vs Dortmund,21,27.3,40.8,5,55,450,5.0,3,2,5,2,1,1,6,2,4.0,3.2,2.7,6.0,50,124,0.6,0.4,1.0,0.4,0.8,0.79,0.55,1.34,0.65,1.2
vs Eint Frankfurt,22,26.8,41.4,5,55,450,5.0,13,9,22,12,1,1,13,2,7.3,6.6,5.5,12.1,72,148,2.6,1.8,4.4,2.4,4.2,1.47,1.1,2.57,1.31,2.41
vs Freiburg,23,25.9,50.0,5,55,450,5.0,9,6,15,9,0,1,14,0,7.5,6.7,5.4,12.1,79,169,1.8,1.2,3.0,1.8,3.0,1.49,1.08,2.58,1.34,2.42
vs Gladbach,20,25.6,51.4,5,55,450,5.0,12,11,23,11,1,1,10,0,7.5,6.8,6.3,13.0,87,147,2.4,2.2,4.6,2.2,4.4,1.5,1.25,2.76,1.35,2.61
vs Hamburger SV,24,27.3,54.0,5,55,450,5.0,8,7,15,7,1,2,10,0,9.2,7.8,5.9,13.6,73,235,1.6,1.4,3.0,1.4,2.8,1.84,1.18,3.02,1.55,2.73
vs Heidenheim,22,26.1,58.6,5,55,450,5.0,10,8,18,9,1,1,19,0,10.2,9.5,7.5,17.0,113,252,2.0,1.6,3.6,1.8,3.4,2.05,1.51,3.56,1.89,3.4
vs Hoffenheim,20,26.7,48.2,6,66,540,6.0,12,8,20,10,2,2,9,1,9.9,8.4,6.0,14.3,76,173,2.0,1.33,3.33,1.67,3.0,1.65,0.99,2.65,1.39,2.39
vs Köln,22,26.8,55.3,6,66,540,6.0,9,4,13,8,1,1,9,1,10.4,9.6,6.9,16.5,99,234,1.5,0.67,2.17,1.33,2.0,1.73,1.14,2.87,1.6,2.74
vs Leverkusen,22,25.7,46.8,5,55,450,5.0,8,4,12,7,1,1,19,1,5.5,4.7,4.1,8.8,78,190,1.6,0.8,2.4,1.4,2.2,1.1,0.82,1.92,0.94,1.76
vs Mainz 05,23,26.1,48.8,5,55,450,5.0,6,5,11,6,0,0,7,1,6.3,6.3,5.6,11.9,64,147,1.2,1.0,2.2,1.2,2.2,1.25,1.12,2.38,1.25,2.38
vs RB Leipzig,21,27.3,51.2,5,55,450,5.0,7,6,13,7,0,0,13,0,8.4,8.4,7.3,15.7,89,216,1.4,1.2,2.6,1.4,2.6,1.69,1.46,3.15,1.69,3.15
vs St. Pauli,17,26.4,48.8,5,55,450,5.0,8,7,15,8,0,2,15,2,5.7,4.1,3.5,7.7,62,172,1.6,1.4,3.0,1.6,3.0,1.14,0.71,1.85,0.82,1.53
vs Stuttgart,22,27.0,41.8,5,55,450,5.0,6,3,9,5,1,1,9,1,5.7,4.9,3.5,8.4,58,153,1.2,0.6,1.8,1.0,1.6,1.14,0.7,1.85,0.98,1.69
vs Union Berlin,19,25.9,67.8,5,55,450,5.0,11,5,16,8,3,3,10,1,9.8,7.5,5.9,13.4,141,283,2.2,1.0,3.2,1.6,2.6,1.97,1.18,3.15,1.49,2.67
vs Werder Bremen,22,26.7,52.2,5,55,450,5.0,13,9,22,10,3,3,9,0,12.1,9.7,8.6,18.3,82,217,2.6,1.8,4.4,2.0,3.8,2.41,1.71,4.13,1.94,3.65
vs Wolfsburg,21,27.0,52.0,5,55,450,5.0,7,4,11,6,1,2,13,0,7.6,6.0,4.1,10.1,106,198,1.4,0.8,2.2,1.2,2.0,1.52,0.82,2.34,1.21,2.03
