Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Birmingham City,2,9.0,8,1,0,0,0,8.7,0.34,0.7,0.08,50,180,27.8,230,29,57.8,43.9,80,58.8,45.7,138,6,4.3,5,0.56,10.5
vs Blackburn,1,7.8,6,0,0,1,0,6.2,0.31,0.2,0.03,36,93,38.7,173,22,36.4,33.8,58,51.7,43.3,106,3,2.8,10,1.43,15.0
vs Bristol City,1,8.0,14,0,1,2,1,8.4,0.28,-4.6,-0.58,35,124,28.2,217,29,41.5,36.1,73,46.6,39.3,91,6,6.6,13,1.63,15.0
vs Charlton Ath,1,8.0,8,0,0,2,0,5.8,0.18,-2.2,-0.28,44,169,26.0,270,44,48.5,41.0,68,55.9,43.6,132,15,11.4,13,1.63,14.0
vs Coventry City,1,8.0,22,1,1,1,1,17.0,0.39,-4.0,-0.5,48,132,36.4,235,33,40.4,38.2,78,47.4,38.1,144,6,4.2,8,1.0,12.7
vs Derby County,1,8.0,10,2,1,1,0,7.7,0.35,-2.3,-0.28,32,120,26.7,198,30,42.9,35.4,53,66.0,49.6,109,6,5.5,8,1.0,14.0
vs Hull City,1,8.0,13,0,0,0,0,12.1,0.31,-0.9,-0.11,43,135,31.9,208,35,48.1,38.3,55,63.6,49.0,112,5,4.5,15,1.88,17.6
vs Ipswich Town,1,7.8,12,3,0,1,1,9.1,0.24,-1.9,-0.25,26,165,15.8,216,19,58.8,45.1,67,56.7,47.1,119,8,6.7,8,1.14,12.9
vs Leicester City,1,8.0,10,0,0,1,1,9.7,0.3,0.7,0.09,39,123,31.7,181,21,39.8,36.2,81,63.0,48.4,117,2,1.7,11,1.38,18.5
vs Middlesbrough,1,8.0,12,0,0,3,0,9.7,0.33,-2.3,-0.28,26,78,33.3,228,41,24.1,29.7,61,37.7,37.1,80,6,7.5,12,1.5,14.7
vs Millwall,1,8.0,6,0,1,1,0,6.8,0.31,0.8,0.09,27,138,19.6,210,34,45.7,38.0,79,53.2,41.8,141,10,7.1,14,1.75,15.6
vs Norwich City,1,8.0,10,1,0,0,0,10.2,0.35,0.2,0.03,54,154,35.1,253,29,44.7,38.3,60,68.3,52.5,97,6,6.2,25,3.13,19.8
vs Oxford United,1,8.0,9,0,1,1,1,7.1,0.3,-0.9,-0.12,40,119,33.6,247,18,32.8,34.3,65,58.5,46.7,102,8,7.8,17,2.13,17.2
vs Portsmouth,3,8.0,7,0,0,2,0,7.5,0.28,0.5,0.06,32,162,19.8,257,32,44.0,38.4,73,67.1,52.0,157,10,6.4,11,1.38,14.9
vs Preston,1,8.0,9,1,0,2,0,8.1,0.32,-0.9,-0.11,33,106,31.1,203,49,40.4,39.7,64,37.5,34.2,122,9,7.4,17,2.13,18.7
vs QPR,2,8.0,11,1,0,0,2,10.1,0.3,1.1,0.14,47,160,29.4,222,30,53.2,42.1,68,61.8,47.4,92,10,10.9,10,1.25,13.5
vs Sheffield Utd,1,8.0,3,0,0,0,0,4.3,0.27,1.3,0.17,43,155,27.7,201,29,53.7,41.9,71,66.2,51.4,121,10,8.3,3,0.38,10.9
vs Sheffield Weds,2,8.0,8,0,1,0,0,8.4,0.27,0.4,0.05,41,122,33.6,228,26,39.9,37.1,53,58.5,43.3,103,7,6.8,12,1.5,15.7
vs Southampton,2,8.0,10,0,2,3,0,10.8,0.35,0.8,0.1,56,153,36.6,207,32,49.8,40.0,63,79.4,58.8,165,9,5.5,5,0.63,11.6
vs Stoke City,1,8.0,10,0,0,1,0,10.2,0.33,0.2,0.02,41,140,29.3,233,29,41.6,36.8,71,60.6,48.7,148,4,2.7,3,0.38,10.9
vs Swansea City,1,8.0,9,0,0,0,0,7.1,0.29,-1.9,-0.23,49,131,37.4,194,20,45.9,40.6,62,67.7,53.0,106,5,4.7,8,1.0,16.8
vs Watford,2,8.0,9,0,2,1,0,9.2,0.3,0.2,0.03,37,138,26.8,184,26,52.7,41.9,67,61.2,47.0,114,5,4.4,14,1.75,16.7
vs West Brom,1,8.0,9,0,0,1,0,10.6,0.38,1.6,0.21,31,109,28.4,200,32,37.5,35.8,70,48.6,40.0,126,9,7.1,5,0.63,11.1
vs Wrexham,2,9.0,14,1,0,3,0,12.5,0.34,-1.5,-0.16,38,120,31.7,283,38,29.7,31.6,63,57.1,45.3,138,4,2.9,7,0.78,14.4
