Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Birmingham City,24,9.0,122,13.56,77,18,8,8,8,3,14,1.56,5,3,0,4,1,1
vs Blackburn,23,7.8,136,17.49,89,13,5,11,16,2,19,2.44,13,2,0,0,4,0
vs Bristol City,20,8.0,165,20.62,108,20,9,17,7,4,12,1.5,4,2,0,3,3,0
vs Charlton Ath,20,8.0,175,21.87,123,17,10,10,11,4,10,1.25,8,0,0,1,0,1
vs Coventry City,22,8.0,142,17.75,107,11,7,6,9,2,11,1.37,6,2,0,1,2,0
vs Derby County,24,8.0,187,23.37,135,20,5,15,10,2,26,3.25,20,0,0,3,3,0
vs Hull City,26,8.0,229,28.62,175,20,6,14,10,4,26,3.25,19,4,0,2,1,0
vs Ipswich Town,25,7.8,104,13.37,70,11,7,6,9,1,11,1.41,4,2,1,2,2,0
vs Leicester City,25,8.0,183,22.87,121,22,13,11,12,4,12,1.5,9,0,2,1,0,0
vs Middlesbrough,23,8.0,161,20.12,118,13,9,8,8,5,10,1.25,8,2,0,0,0,0
vs Millwall,26,8.0,174,21.75,116,18,6,17,13,4,17,2.12,12,0,0,5,0,0
vs Norwich City,24,8.0,215,26.87,148,20,12,18,10,7,20,2.5,16,0,1,2,0,1
vs Oxford United,25,8.0,173,21.62,125,16,12,6,10,4,18,2.25,16,0,0,1,1,0
vs Portsmouth,26,8.0,181,22.62,125,22,9,10,12,3,16,2.0,10,2,0,1,2,1
vs Preston,19,8.0,175,21.87,123,18,12,7,13,2,10,1.25,7,1,0,2,0,0
vs QPR,25,8.0,200,25.0,152,15,8,9,13,3,24,3.0,20,2,0,0,1,1
vs Sheffield Utd,25,8.0,197,24.62,142,16,9,13,8,9,24,3.0,17,0,2,3,1,1
vs Sheffield Weds,20,8.0,243,30.38,173,22,15,20,11,2,22,2.75,15,1,0,5,1,0
vs Southampton,27,8.0,142,17.75,88,14,11,9,16,4,17,2.12,9,1,1,2,3,1
vs Stoke City,19,8.0,159,19.87,126,8,8,8,4,5,8,1.0,7,1,0,0,0,0
vs Swansea City,20,8.0,157,19.62,116,17,4,13,3,4,12,1.5,8,2,0,1,1,0
vs Watford,27,8.0,163,20.37,124,16,4,7,11,1,14,1.75,9,0,0,2,3,0
vs West Brom,23,8.0,157,19.62,109,15,11,13,8,1,12,1.5,11,1,0,0,0,0
vs Wrexham,23,9.0,254,28.22,183,20,17,22,8,4,23,2.56,19,0,1,2,1,0
