Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Blackburn,33,46.0,823,17.89,615,61,32,59,36,20,96,2.09,77,5,4,5,3,2
Bristol City,24,46.0,1059,23.02,792,95,38,63,49,22,105,2.28,79,6,3,6,8,3
Burnley,38,46.0,981,21.33,725,80,60,59,38,19,113,2.46,79,8,7,11,7,1
Cardiff City,33,46.0,959,20.85,667,92,62,83,40,15,78,1.7,51,4,7,12,2,2
Coventry City,26,46.0,1043,22.67,768,93,41,74,49,18,105,2.28,74,8,8,12,2,1
Derby County,33,46.0,768,16.7,472,119,42,71,50,14,73,1.59,37,16,4,8,7,1
Hull City,37,46.0,931,20.24,688,67,60,57,41,18,70,1.52,50,3,5,7,5,0
Leeds United,28,46.0,1329,28.89,971,103,72,113,45,25,154,3.35,117,5,8,17,4,3
Luton Town,37,46.0,907,19.72,562,145,48,84,53,15,64,1.39,33,8,8,12,2,1
Middlesbrough,33,46.0,1172,25.48,918,71,58,66,40,19,108,2.35,75,5,12,8,6,2
Millwall,34,46.0,901,19.59,564,139,42,64,72,20,79,1.72,53,6,7,8,5,0
Norwich City,35,46.0,939,20.41,677,89,46,65,39,23,119,2.59,90,5,8,7,4,5
Oxford United,34,46.0,751,16.33,527,84,29,60,35,16,83,1.8,56,10,2,8,6,1
Plymouth Argyle,34,46.0,708,15.39,495,59,34,56,48,16,67,1.46,45,1,1,12,6,2
Portsmouth,37,46.0,854,18.57,543,113,36,68,70,24,96,2.09,54,12,5,12,10,3
Preston,28,46.0,851,18.5,590,100,36,53,50,22,78,1.7,57,3,4,9,4,1
QPR,30,46.0,891,19.37,623,101,49,61,42,15,79,1.72,50,10,5,8,4,2
Sheffield Utd,33,46.0,1016,22.09,710,96,66,85,43,16,97,2.11,70,3,7,8,6,3
Sheffield Weds,28,46.0,1012,22.0,745,106,33,67,39,22,99,2.15,70,8,5,10,3,3
Stoke City,32,46.0,803,17.46,556,74,45,51,52,25,76,1.65,45,8,3,6,11,3
Sunderland,30,46.0,1045,22.72,783,77,60,63,48,14,91,1.98,56,6,9,10,6,4
Swansea City,26,46.0,883,19.2,620,96,35,60,50,22,80,1.74,53,6,2,12,5,2
Watford,32,46.0,939,20.41,695,73,60,50,35,26,91,1.98,59,6,8,10,6,2
West Brom,30,46.0,1043,22.67,771,98,49,62,50,13,102,2.22,74,9,7,7,4,1
