Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Birmingham City,2,9,9,810,9.0,8,0.89,23,15,69.6,3,3,3,3,33.3,1,1,0,0,0.0
vs Blackburn,1,7,7,630,7.8,6,0.86,22,16,72.7,5,0,2,3,42.9,0,0,0,0,
vs Bristol City,1,8,8,720,8.0,14,1.75,30,17,53.3,1,4,3,2,25.0,0,0,0,0,
vs Charlton Ath,1,8,8,720,8.0,8,1.0,33,25,75.8,2,3,3,2,25.0,0,0,0,0,
vs Coventry City,1,8,8,720,8.0,22,2.75,44,23,52.3,0,4,4,2,25.0,1,1,0,0,0.0
vs Derby County,1,8,8,720,8.0,10,1.25,19,9,57.9,3,4,1,1,12.5,2,2,0,0,0.0
vs Hull City,1,8,8,720,8.0,13,1.62,40,27,67.5,3,3,2,2,25.0,0,0,0,0,
vs Ipswich Town,1,7,7,630,7.8,12,1.71,28,17,67.9,1,4,2,1,14.3,3,3,0,0,0.0
vs Leicester City,1,8,8,720,8.0,10,1.25,35,26,71.4,1,4,3,1,12.5,0,0,0,0,
vs Middlesbrough,1,8,8,720,8.0,12,1.5,30,18,60.0,0,3,5,1,12.5,0,0,0,0,
vs Millwall,1,8,8,720,8.0,6,0.75,22,16,72.7,3,2,3,3,37.5,0,0,0,0,
vs Norwich City,1,8,8,720,8.0,10,1.25,27,17,66.7,4,2,2,1,12.5,1,1,0,0,0.0
vs Oxford United,1,8,8,720,8.0,9,1.13,25,17,64.0,4,3,1,4,50.0,0,0,0,0,
vs Portsmouth,3,8,8,720,8.0,7,0.87,26,18,73.1,3,3,2,2,25.0,1,0,1,0,100.0
vs Preston,1,8,8,720,8.0,9,1.13,24,15,66.7,1,4,3,2,25.0,1,1,0,0,0.0
vs QPR,2,8,8,720,8.0,11,1.37,31,22,67.7,2,3,3,1,12.5,1,1,0,0,0.0
vs Sheffield Utd,1,8,8,720,8.0,3,0.37,16,13,81.3,7,0,1,5,62.5,0,0,0,0,
vs Sheffield Weds,2,8,8,720,8.0,8,1.0,32,24,75.0,4,3,1,3,37.5,0,0,0,0,
vs Southampton,2,8,8,720,8.0,10,1.25,33,23,69.7,2,4,2,1,12.5,1,0,0,1,
vs Stoke City,1,8,8,720,8.0,10,1.25,32,22,68.8,2,2,4,3,37.5,0,0,0,0,
vs Swansea City,1,8,8,720,8.0,9,1.13,25,16,64.0,2,3,3,2,25.0,0,0,0,0,
vs Watford,2,8,8,720,8.0,9,1.13,31,22,71.0,3,3,2,3,37.5,0,0,0,0,
vs West Brom,1,8,8,720,8.0,9,1.13,28,19,67.9,2,2,4,1,12.5,0,0,0,0,
vs Wrexham,2,9,9,810,9.0,14,1.56,37,23,64.9,3,4,2,0,0.0,1,1,0,0,0.0
