Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Birmingham City,24,9.0,17,0,0,112,113,25,115,78,87,0,1,0,324,134,168,44.4
vs Blackburn,23,7.8,16,1,1,91,94,12,113,71,73,2,0,0,259,139,147,48.6
vs Bristol City,20,8.0,14,0,0,99,75,16,143,76,78,1,0,1,318,158,171,48.0
vs Charlton Ath,20,8.0,11,0,0,104,99,7,146,48,78,0,0,0,291,238,216,52.4
vs Coventry City,22,8.0,20,1,1,82,83,27,113,48,79,0,1,1,259,134,123,52.1
vs Derby County,24,8.0,12,0,0,76,100,9,185,55,65,2,2,0,324,182,193,48.5
vs Hull City,26,8.0,14,0,0,75,90,15,185,66,69,0,0,0,321,160,148,51.9
vs Ipswich Town,25,7.8,25,0,0,104,82,4,104,57,74,1,3,1,255,94,144,39.5
vs Leicester City,25,8.0,16,1,1,99,73,15,164,74,92,0,0,1,291,126,104,54.8
vs Middlesbrough,23,8.0,15,1,0,91,76,26,152,79,103,0,0,0,335,102,113,47.4
vs Millwall,26,8.0,18,1,1,77,111,6,140,44,75,0,0,0,281,149,199,42.8
vs Norwich City,24,8.0,21,1,0,87,64,24,193,58,89,1,1,0,359,161,111,59.2
vs Oxford United,25,8.0,15,1,0,89,96,24,164,57,75,0,0,1,319,146,156,48.3
vs Portsmouth,26,8.0,23,0,0,101,83,16,163,71,73,0,1,0,295,173,182,48.7
vs Preston,19,8.0,9,0,0,68,77,26,161,52,70,0,1,0,343,145,137,51.4
vs QPR,25,8.0,14,1,0,81,86,18,183,65,68,0,1,2,280,180,194,48.1
vs Sheffield Utd,25,8.0,11,0,0,102,104,16,119,77,80,1,0,0,324,159,143,52.6
vs Sheffield Weds,20,8.0,11,0,0,81,95,19,182,52,60,0,0,0,321,199,137,59.2
vs Southampton,27,8.0,27,1,1,106,102,14,141,52,65,1,1,0,283,124,105,54.1
vs Stoke City,19,8.0,16,0,0,79,76,8,150,61,89,0,0,0,310,134,135,49.8
vs Swansea City,20,8.0,21,0,0,113,88,12,154,85,72,0,0,0,311,183,133,57.9
vs Watford,27,8.0,21,0,0,88,96,20,166,49,87,0,0,0,307,141,169,45.5
vs West Brom,23,8.0,16,0,0,78,75,9,176,43,75,0,0,0,284,142,148,49.0
vs Wrexham,23,9.0,14,0,0,86,72,8,189,54,79,0,1,0,389,147,174,45.8
