Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Birmingham City,24,9.0,3547,3036,486,124,2,25,115,237,28,14,8,4,2535,25,77
vs Blackburn,23,7.8,3045,2671,362,102,0,14,113,159,30,15,11,0,2366,12,46
vs Bristol City,20,8.0,3648,3186,446,91,6,16,143,214,46,29,11,3,2709,16,76
vs Charlton Ath,20,8.0,3601,3185,409,108,3,10,146,188,29,18,4,1,2656,7,70
vs Coventry City,22,8.0,3216,2812,377,97,4,24,113,141,31,19,8,0,2428,27,66
vs Derby County,24,8.0,3922,3516,397,109,6,20,185,173,44,26,9,2,3072,9,64
vs Hull City,26,8.0,3758,3328,415,101,9,14,185,197,41,20,15,0,2932,15,82
vs Ipswich Town,25,7.8,2525,2174,347,94,4,16,104,143,24,13,9,0,1758,4,46
vs Leicester City,25,8.0,3093,2706,372,78,3,9,164,155,40,31,5,1,2404,15,48
vs Middlesbrough,23,8.0,3948,3551,371,85,4,28,152,165,40,20,14,2,3183,26,78
vs Millwall,26,8.0,3648,3185,457,128,4,24,140,194,42,23,6,2,2755,6,71
vs Norwich City,24,8.0,3646,3233,389,77,8,26,193,185,49,31,12,0,2791,24,75
vs Oxford United,25,8.0,4029,3573,432,117,16,20,164,185,49,26,15,0,3141,24,74
vs Portsmouth,26,8.0,3448,3019,413,101,9,14,163,190,34,14,17,0,2508,16,65
vs Preston,19,8.0,3816,3367,423,89,27,27,161,212,41,27,9,0,2905,26,68
vs QPR,25,8.0,3473,3034,421,105,5,22,183,188,41,31,9,0,2581,18,45
vs Sheffield Utd,25,8.0,3249,2859,374,106,7,17,119,155,31,12,13,1,2393,16,59
vs Sheffield Weds,20,8.0,3928,3500,409,97,5,8,182,187,56,29,13,0,3043,19,58
vs Southampton,27,8.0,2922,2538,370,111,10,17,141,151,27,19,4,0,2162,14,52
vs Stoke City,19,8.0,3331,2947,376,102,6,21,150,152,33,18,14,0,2554,8,62
vs Swansea City,20,8.0,3162,2733,417,108,2,31,154,191,39,24,11,0,2257,12,64
vs Watford,27,8.0,3309,2886,403,106,7,18,166,171,42,12,21,0,2454,20,75
vs West Brom,23,8.0,3910,3535,366,93,6,34,176,157,29,20,5,0,3123,9,49
vs Wrexham,23,9.0,4887,4483,396,87,5,30,189,171,52,34,12,0,3952,8,90
