Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Birmingham City,24,9.0,4454,3974,467,131,8,20,187,216,46,35,6,0,3464,13,75
Blackburn,23,7.8,3031,2637,377,100,2,30,140,172,31,14,12,2,2257,17,73
Bristol City,20,8.0,3314,2924,374,105,16,13,120,158,40,13,17,0,2430,16,71
Charlton Ath,20,8.0,2767,2341,414,107,0,9,171,195,33,24,3,3,1800,12,50
Coventry City,22,8.0,3754,3313,424,102,5,15,194,202,47,27,18,0,2894,17,62
Derby County,24,8.0,3107,2733,362,77,9,14,136,177,27,17,8,0,2229,12,61
Hull City,26,8.0,3351,2951,384,86,6,34,132,173,33,20,10,0,2534,16,58
Ipswich Town,25,7.8,3387,2995,376,103,13,20,144,175,34,31,2,0,2688,16,54
Leicester City,25,8.0,4214,3805,402,112,9,20,150,162,46,23,9,1,3560,7,60
Middlesbrough,23,8.0,3836,3440,386,115,17,31,108,162,39,24,5,0,3091,10,81
Millwall,26,8.0,3376,2976,381,78,4,26,172,183,40,24,12,1,2416,19,80
Norwich City,24,8.0,3864,3475,374,103,9,29,131,151,29,16,10,2,3050,15,56
Oxford United,25,8.0,3036,2591,422,107,4,20,135,204,26,7,16,0,2126,23,75
Portsmouth,26,8.0,3500,3052,428,111,5,19,198,194,45,25,11,0,2534,20,62
Preston,19,8.0,3009,2564,429,90,4,13,157,207,29,18,6,1,2105,16,81
QPR,25,8.0,3211,2793,398,95,7,16,121,163,39,23,11,0,2341,20,64
Sheffield Utd,25,8.0,3937,3476,453,114,1,16,168,191,58,34,11,1,3038,8,76
Sheffield Weds,20,8.0,2790,2355,429,99,3,13,125,181,38,19,15,0,1893,6,60
Southampton,27,8.0,4184,3772,398,111,10,18,200,154,48,7,38,0,3363,14,64
Stoke City,19,8.0,3496,3074,397,83,7,30,188,185,53,37,4,5,2688,25,50
Swansea City,20,8.0,4102,3655,424,118,6,18,128,197,36,10,18,0,3218,23,72
Watford,27,8.0,3410,3003,394,99,6,17,153,171,28,14,12,0,2622,13,60
West Brom,23,8.0,4190,3852,320,82,3,19,167,117,35,32,1,0,3484,18,64
Wrexham,23,9.0,3741,3306,415,88,4,25,176,171,38,31,0,0,2837,20,51
