Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Blackburn,33,46.0,16597,21600,76.8,296051,104370,7326,8459,86.6,7262,8641,84.0,1608,3343,48.1,34,39.4,43.4,-5.4,412,1344,336,93,1652
vs Bristol City,24,46.0,16563,21539,76.9,292667,104302,7350,8449,87.0,7393,8706,84.9,1481,3386,43.7,34,42.1,40.7,-8.1,398,1109,316,101,1449
vs Burnley,38,46.0,14626,19051,76.8,264811,95590,6224,7153,87.0,6626,7815,84.8,1456,3105,46.9,13,28.6,32.2,-15.6,315,976,249,79,1200
vs Cardiff City,33,46.0,17557,22206,79.1,311486,111621,7723,8817,87.6,7855,9154,85.8,1587,3174,50.0,52,49.5,47.0,2.5,428,1355,316,72,1644
vs Coventry City,26,46.0,14336,19062,75.2,257842,100595,6305,7320,86.1,6175,7444,83.0,1496,3246,46.1,40,41.9,37.6,-1.9,406,973,302,66,1283
vs Derby County,33,46.0,16894,22015,76.7,295164,106422,7686,8806,87.3,7217,8634,83.6,1567,3388,46.3,34,33.8,37.7,0.2,365,1413,295,72,1586
vs Hull City,37,46.0,17228,21792,79.1,304775,108805,7654,8677,88.2,7579,8798,86.1,1613,3280,49.2,36,38.5,44.1,-2.5,450,1362,370,102,1731
vs Leeds United,28,46.0,12928,17314,74.7,234962,86277,5480,6431,85.2,5747,6847,83.9,1349,3066,44.0,14,19.9,21.5,-5.9,224,833,166,46,1083
vs Luton Town,37,46.0,16366,21392,76.5,295072,107629,7182,8205,87.5,7089,8443,84.0,1684,3648,46.2,54,41.8,39.4,12.2,411,1237,303,77,1510
vs Middlesbrough,33,46.0,16232,20543,79.0,293623,105828,7005,7868,89.0,7268,8406,86.5,1602,3235,49.5,39,40.7,39.8,-1.7,378,1250,324,91,1510
vs Millwall,34,46.0,16931,22270,76.0,293586,105596,7595,8867,85.7,7316,8798,83.2,1529,3347,45.7,28,36.4,36.7,-8.4,387,1245,319,92,1650
vs Norwich City,35,46.0,14816,19140,77.4,264226,95972,6671,7526,88.6,6178,7249,85.2,1547,3243,47.7,48,38.3,39.6,9.7,395,1150,275,85,1467
vs Oxford United,34,46.0,19384,24506,79.1,336022,116226,8690,9863,88.1,8483,9900,85.7,1695,3490,48.6,51,49.8,49.7,1.2,476,1395,422,111,1880
vs Plymouth Argyle,34,46.0,18662,23792,78.4,338305,121470,7949,9103,87.3,8370,9753,85.8,1894,3738,50.7,58,62.6,61.9,-4.6,543,1534,437,123,1816
vs Portsmouth,37,46.0,15828,21345,74.2,288819,104539,6711,7843,85.6,7130,8540,83.5,1660,3883,42.8,51,54.8,51.7,-3.8,466,1093,345,96,1461
vs Preston,28,46.0,16325,21419,76.2,282619,106414,7588,8591,88.3,6697,8085,82.8,1544,3536,43.7,41,40.4,42.9,0.6,392,1238,314,80,1519
vs QPR,30,46.0,17938,22890,78.4,326876,114698,7492,8564,87.5,8168,9573,85.3,1843,3568,51.7,41,38.5,39.5,2.5,376,1429,366,89,1790
vs Sheffield Utd,33,46.0,15927,20540,77.5,288530,105513,6913,7858,88.0,6974,8186,85.2,1643,3409,48.2,24,31.2,32.5,-7.2,376,1179,294,89,1510
vs Sheffield Weds,28,46.0,16350,21019,77.8,292501,101810,7129,8065,88.4,7305,8552,85.4,1584,3392,46.7,45,39.1,35.2,5.9,356,1217,261,78,1362
vs Stoke City,32,46.0,17076,21953,77.8,306109,110251,7566,8583,88.2,7323,8681,84.4,1739,3504,49.6,38,53.9,50.2,-15.9,515,1236,363,115,1567
vs Sunderland,30,46.0,17027,21629,78.7,300164,103323,7593,8547,88.8,7521,8656,86.9,1514,3383,44.8,22,34.6,35.6,-12.6,350,1383,313,105,1503
vs Swansea City,26,46.0,13104,17994,72.8,239218,96716,5659,6762,83.7,5655,6974,81.1,1447,3191,45.3,31,39.2,35.9,-8.2,383,961,256,75,1250
vs Watford,32,46.0,15163,19838,76.4,275480,100278,6488,7546,86.0,6760,8075,83.7,1563,3241,48.2,49,51.1,45.9,-2.1,438,1215,308,101,1523
vs West Brom,30,46.0,15386,19921,77.2,279388,98448,6585,7442,88.5,6886,8107,84.9,1575,3422,46.0,33,34.2,36.4,-1.2,359,1232,288,85,1468
