Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Birmingham City,24,9.0,3464,4454,77.8,62576,20620,1442,1618,89.1,1658,1963,84.5,301,681,44.2,4,8.3,7.2,-4.3,75,245,63,17,306
Blackburn,23,7.8,2257,3031,74.5,40366,15042,1015,1178,86.2,877,1084,80.9,274,550,49.8,3,6.1,6.1,-3.1,49,175,38,14,206
Bristol City,20,8.0,2430,3314,73.3,41905,16661,1157,1345,86.0,1015,1254,80.9,199,529,37.6,11,9.3,7.0,1.7,82,210,59,14,292
Charlton Ath,20,8.0,1800,2767,65.1,35232,15211,720,902,79.8,828,1097,75.5,222,640,34.7,6,6.4,7.2,-0.4,79,170,57,18,226
Coventry City,22,8.0,2894,3754,77.1,50800,19765,1330,1495,89.0,1235,1466,84.2,254,600,42.3,12,9.4,10.4,2.6,92,297,87,24,365
Derby County,24,8.0,2229,3107,71.7,42983,16959,883,1048,84.3,1005,1247,80.6,289,645,44.8,4,2.7,4.6,1.3,37,167,43,17,187
Hull City,26,8.0,2534,3351,75.6,50221,19044,986,1162,84.9,1155,1360,84.9,355,677,52.4,10,9.2,9.0,0.8,79,201,62,31,225
Ipswich Town,25,7.8,2688,3387,79.4,47701,17961,1145,1331,86.0,1198,1388,86.3,267,486,54.9,4,7.3,7.0,-3.3,77,269,56,16,270
Leicester City,25,8.0,3560,4214,84.5,58218,21453,1736,1870,92.8,1497,1691,88.5,225,450,50.0,8,7.4,8.1,0.6,83,280,71,19,311
Middlesbrough,23,8.0,3091,3836,80.6,51852,18435,1478,1630,90.7,1255,1426,88.0,255,555,45.9,10,6.4,8.6,3.6,63,206,46,4,281
Millwall,26,8.0,2416,3376,71.6,44418,17613,1014,1213,83.6,1033,1286,80.3,284,639,44.4,4,8.2,9.2,-4.2,79,207,86,35,301
Norwich City,24,8.0,3050,3864,78.9,56350,19291,1217,1364,89.2,1486,1718,86.5,293,620,47.3,7,8.9,8.6,-1.9,69,239,44,15,266
Oxford United,25,8.0,2126,3036,70.0,39176,15674,928,1092,85.0,902,1119,80.6,246,636,38.7,4,6.9,8.1,-2.9,76,173,36,12,209
Portsmouth,26,8.0,2534,3500,72.4,49486,18497,982,1169,84.0,1178,1426,82.6,322,724,44.5,4,6.8,6.8,-2.8,69,237,60,23,262
Preston,19,8.0,2105,3009,70.0,40321,16424,904,1061,85.2,895,1124,79.6,269,654,41.1,7,6.0,5.7,1.0,59,165,48,19,171
QPR,25,8.0,2341,3211,72.9,43669,17363,983,1160,84.7,1012,1231,82.2,279,621,44.9,6,6.4,6.6,-0.4,75,185,56,11,255
Sheffield Utd,25,8.0,3038,3937,77.2,53048,18502,1387,1559,89.0,1321,1551,85.2,260,635,40.9,3,5.5,7.3,-2.5,63,229,55,10,271
Sheffield Weds,20,8.0,1893,2790,67.8,37182,14914,710,869,81.7,886,1097,80.8,250,667,37.5,4,7.4,7.1,-3.4,69,158,55,21,199
Southampton,27,8.0,3363,4184,80.4,60153,20316,1417,1580,89.7,1608,1829,87.9,286,607,47.1,6,10.0,10.0,-4.0,85,272,73,22,351
Stoke City,19,8.0,2688,3496,76.9,53290,19104,963,1091,88.3,1298,1525,85.1,380,721,52.7,8,8.0,7.2,0.0,73,232,58,20,292
Swansea City,20,8.0,3218,4102,78.4,59462,21458,1360,1551,87.7,1512,1768,85.5,312,633,49.3,8,6.3,6.1,1.7,62,241,51,17,261
Watford,27,8.0,2622,3410,76.9,49066,17832,1068,1206,88.6,1223,1436,85.2,282,616,45.8,6,7.2,6.8,-1.2,76,211,55,19,267
West Brom,23,8.0,3484,4190,83.2,63033,20326,1482,1599,92.7,1617,1827,88.5,335,608,55.1,6,6.6,8.5,-0.6,76,252,54,18,296
Wrexham,23,9.0,2837,3741,75.8,55352,22004,1152,1328,86.7,1231,1470,83.7,395,762,51.8,11,8.3,7.2,2.7,78,249,57,27,272
