Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Birmingham City,24,27.6,9,810,90,100,9.0,99,82,57,41,18,40,1.33,8,11,-3,-0.33,11.4,8.8,2.6,0.28
Blackburn,23,27.5,7,700,100,100,7.8,77,82,47,29,20,39,0.86,6,10,-4,-0.51,8.6,8.5,0.1,0.01
Bristol City,20,26.2,8,720,90,100,8.0,88,83,55,33,19,39,1.63,14,8,6,0.75,12.4,10.3,2.1,0.26
Charlton Ath,20,27.0,8,720,90,100,8.0,88,83,53,34,17,38,1.5,8,6,2,0.25,8.1,7.0,1.1,0.14
Coventry City,22,26.6,8,720,90,100,8.0,88,85,58,31,14,41,2.0,22,7,15,1.87,17.3,6.3,11.0,1.37
Derby County,24,28.0,8,720,90,100,8.0,88,84,56,32,16,40,0.88,10,14,-4,-0.5,6.3,11.3,-5.0,-0.62
Hull City,26,26.7,8,720,90,100,8.0,88,82,50,38,19,34,1.13,13,16,-3,-0.37,11.5,14.8,-3.3,-0.41
Ipswich Town,25,26.9,7,700,100,100,7.8,77,82,42,35,18,33,1.43,12,7,5,0.64,12.1,6.8,5.3,0.68
Leicester City,25,26.6,8,720,90,100,8.0,88,80,49,38,22,33,1.63,10,7,3,0.37,8.6,11.3,-2.8,-0.35
Middlesbrough,23,26.2,8,720,90,100,8.0,88,81,53,35,23,36,2.25,12,5,7,0.87,7.6,6.6,1.0,0.12
Millwall,26,26.1,8,720,90,100,8.0,88,84,51,37,14,35,1.38,6,12,-6,-0.75,9.9,9.9,0.0,0.0
Norwich City,24,25.3,8,720,90,100,8.0,88,82,53,34,21,38,1.0,10,11,-1,-0.12,11.9,14.8,-3.0,-0.37
Oxford United,25,26.6,8,720,90,100,8.0,88,82,47,41,17,31,0.75,9,11,-2,-0.25,8.9,9.6,-0.7,-0.09
Portsmouth,26,27.1,8,720,90,100,8.0,88,82,55,33,22,39,1.13,7,9,-2,-0.25,10.0,10.5,-0.5,-0.07
Preston,19,26.9,8,720,90,100,8.0,88,83,55,34,18,35,1.63,9,7,2,0.25,8.5,10.6,-2.1,-0.26
QPR,25,25.1,8,720,90,100,8.0,88,80,52,36,25,36,1.5,11,13,-2,-0.25,9.0,9.8,-0.8,-0.11
Sheffield Utd,25,25.2,8,720,90,100,8.0,88,83,54,34,19,38,0.38,3,15,-12,-1.5,7.0,11.5,-4.6,-0.57
Sheffield Weds,20,27.5,8,720,90,100,8.0,88,84,58,29,17,43,0.75,8,15,-7,-0.87,8.9,13.4,-4.5,-0.57
Southampton,27,25.5,8,720,90,100,8.0,88,81,49,39,20,33,1.25,10,11,-1,-0.12,13.3,9.6,3.7,0.46
Stoke City,19,25.7,8,720,90,100,8.0,88,84,59,28,17,44,1.75,10,5,5,0.62,10.4,9.1,1.3,0.16
Swansea City,20,25.9,8,720,90,100,8.0,88,84,56,32,17,40,1.5,9,7,2,0.25,7.5,7.5,0.0,0.0
Watford,27,24.9,8,720,90,100,8.0,88,81,50,37,21,35,1.13,9,10,-1,-0.12,10.1,8.0,2.1,0.26
West Brom,23,26.2,8,720,90,100,8.0,88,85,57,30,14,42,1.75,9,7,2,0.25,9.4,8.4,1.0,0.13
Wrexham,23,28.1,9,810,90,100,9.0,99,83,63,36,18,45,1.11,14,15,-1,-0.11,12.5,16.5,-3.9,-0.43
