Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Birmingham City,24,55.8,9.0,5474,505,1829,2491,1206,167,5473,128,57,44.5,65,50.8,2693,14324,8041,147,103,30,142,70,3441,304
Blackburn,23,49.9,7.8,3886,402,1353,1594,971,149,3886,104,43,41.3,52,50.0,1827,9605,4481,104,67,17,117,56,2240,203
Bristol City,20,48.0,8.0,4352,441,1340,1975,1079,197,4352,104,42,40.4,48,46.2,2186,10816,5237,115,94,35,113,79,2417,291
Charlton Ath,20,43.4,8.0,3732,413,1267,1400,1103,204,3732,93,41,44.1,48,51.6,1589,8574,3868,97,56,42,116,82,1774,223
Coventry City,22,54.0,8.0,4638,355,1191,2137,1358,261,4637,120,49,40.8,65,54.2,2323,12337,6721,135,80,44,147,64,2874,360
Derby County,24,44.0,8.0,4012,581,1600,1647,807,127,4010,90,43,47.8,43,47.8,1752,8887,4492,79,62,16,117,69,2201,183
Hull City,26,47.3,8.0,4357,556,1612,1864,924,177,4357,130,56,43.1,64,49.2,2191,12183,5961,108,91,35,129,48,2510,224
Ipswich Town,25,57.3,7.8,4213,436,1397,1842,1014,170,4210,129,50,38.8,65,50.4,2322,11323,5583,109,72,30,131,61,2655,267
Leicester City,25,57.9,8.0,5125,560,1697,2185,1296,167,5125,196,93,47.4,87,44.4,2915,16551,8370,167,120,40,112,67,3527,308
Middlesbrough,23,49.9,8.0,4781,496,1690,2021,1114,171,4781,156,68,43.6,80,51.3,2378,12350,6358,125,91,43,119,94,3070,275
Millwall,26,48.5,8.0,4388,445,1362,1933,1134,204,4388,104,46,44.2,51,49.0,2146,10944,5169,100,90,26,126,71,2394,296
Norwich City,24,51.1,8.0,4892,593,1847,2144,945,148,4891,146,66,45.2,73,50.0,2570,13172,6402,129,84,31,135,67,3019,264
Oxford United,25,43.1,8.0,4083,467,1459,1742,920,161,4083,118,53,44.9,56,47.5,1891,9839,4235,89,74,29,129,78,2105,204
Portsmouth,26,50.9,8.0,4432,493,1458,1911,1094,151,4431,98,40,40.8,53,54.1,2191,11264,5438,103,81,20,114,66,2496,254
Preston,19,43.9,8.0,3969,563,1619,1526,868,146,3968,94,42,44.7,49,52.1,1820,9544,4519,104,69,22,132,62,2088,169
QPR,25,47.9,8.0,4193,533,1490,1777,960,166,4192,98,41,41.8,52,53.1,1984,10205,4945,108,69,28,120,69,2318,251
Sheffield Utd,25,54.9,8.0,4890,507,1543,2125,1256,183,4890,127,50,39.4,68,53.5,2489,12730,6480,130,90,48,130,68,3017,269
Sheffield Weds,20,41.3,8.0,3809,547,1451,1529,866,150,3809,110,47,42.7,52,47.3,1615,7805,3626,71,53,21,132,47,1871,196
Southampton,27,58.6,8.0,5064,477,1526,2293,1287,190,5063,120,60,50.0,52,43.3,3004,15543,7602,136,125,30,114,62,3349,349
Stoke City,19,51.6,8.0,4341,491,1384,2045,970,140,4341,123,55,44.7,67,54.5,2430,12744,6309,122,82,23,123,69,2665,290
Swansea City,20,56.3,8.0,5044,550,1825,2222,1044,126,5044,115,55,47.8,50,43.5,2745,13976,6743,117,99,19,114,64,3199,258
Watford,27,50.6,8.0,4392,516,1671,1848,927,154,4392,135,64,47.4,67,49.6,2192,12176,6066,121,72,32,144,85,2589,263
West Brom,23,51.5,8.0,5084,527,1767,2295,1080,166,5084,114,56,49.1,54,47.4,2771,15091,7454,138,113,35,93,75,3458,293
Wrexham,23,43.6,9.0,4865,616,1756,2125,1026,150,4864,114,57,50.0,51,44.7,2399,11344,5410,130,79,29,134,65,2811,267
