Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Birmingham City,24,9.0,8,108,22,20.4,12.0,2.44,0.06,0.32,17.6,5,1,1,11.4,10.6,0.1,-3.4,-3.6
Blackburn,23,7.8,6,77,22,28.6,9.9,2.83,0.08,0.27,16.0,1,0,0,8.6,8.6,0.12,-2.6,-2.6
Bristol City,20,8.0,13,116,30,25.9,14.5,3.75,0.11,0.43,17.9,7,0,0,12.4,12.4,0.11,0.6,0.6
Charlton Ath,20,8.0,8,107,33,30.8,13.37,4.12,0.07,0.24,16.3,4,0,0,8.1,8.1,0.08,-0.1,-0.1
Coventry City,22,8.0,21,137,43,31.4,17.12,5.37,0.15,0.47,15.3,5,1,1,17.3,16.5,0.13,3.7,3.5
Derby County,24,8.0,10,63,17,27.0,7.88,2.12,0.13,0.47,17.7,4,2,2,6.3,4.9,0.08,3.7,3.1
Hull City,26,8.0,13,101,40,39.6,12.62,5.0,0.13,0.33,16.5,4,0,0,11.5,11.5,0.12,1.5,1.5
Ipswich Town,25,7.8,11,101,25,24.8,12.99,3.21,0.08,0.32,16.2,2,3,3,12.1,9.9,0.1,-1.1,-1.9
Leicester City,25,8.0,9,106,35,33.0,13.25,4.37,0.08,0.26,18.4,4,0,0,8.6,8.6,0.08,0.4,0.4
Middlesbrough,23,8.0,12,86,30,34.9,10.75,3.75,0.14,0.4,17.6,1,0,0,7.6,7.6,0.09,4.4,4.4
Millwall,26,8.0,6,112,22,19.6,14.0,2.75,0.05,0.27,17.5,2,0,0,9.9,9.9,0.09,-3.9,-3.9
Norwich City,24,8.0,10,94,26,27.7,11.75,3.25,0.1,0.35,17.4,4,1,1,11.9,11.1,0.12,-1.9,-2.1
Oxford United,25,8.0,8,109,25,22.9,13.62,3.12,0.07,0.32,18.0,4,0,0,8.9,8.9,0.09,-0.9,-0.9
Portsmouth,26,8.0,7,102,25,24.5,12.75,3.12,0.07,0.28,18.3,5,0,1,10.0,9.2,0.09,-3.0,-2.2
Preston,19,8.0,9,76,23,30.3,9.5,2.87,0.11,0.35,16.3,2,1,1,8.5,7.7,0.1,0.5,0.3
QPR,25,8.0,9,104,30,28.8,13.0,3.75,0.08,0.27,19.4,4,1,1,9.0,8.3,0.08,0.0,-0.3
Sheffield Utd,25,8.0,3,87,16,18.4,10.87,2.0,0.03,0.19,17.8,2,0,0,7.0,7.0,0.08,-4.0,-4.0
Sheffield Weds,20,8.0,8,90,32,35.6,11.25,4.0,0.09,0.25,15.7,1,0,0,8.9,8.9,0.1,-0.9,-0.9
Southampton,27,8.0,10,116,33,28.4,14.5,4.12,0.09,0.3,15.8,7,0,1,13.3,12.5,0.12,-3.3,-2.5
Stoke City,19,8.0,10,105,32,30.5,13.12,4.0,0.1,0.31,16.9,3,0,0,10.4,10.4,0.1,-0.4,-0.4
Swansea City,20,8.0,9,82,25,30.5,10.25,3.12,0.11,0.36,17.7,2,0,0,7.5,7.5,0.09,1.5,1.5
Watford,27,8.0,9,104,31,29.8,13.0,3.87,0.09,0.29,18.1,6,0,0,10.1,10.1,0.1,-1.1,-1.1
West Brom,23,8.0,9,104,28,26.9,13.0,3.5,0.09,0.32,16.3,4,0,0,9.4,9.4,0.1,-0.4,-0.4
Wrexham,23,9.0,14,104,36,34.6,11.56,4.0,0.13,0.36,16.5,3,1,1,12.5,11.8,0.12,1.5,1.2
