Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Ajax,1,7.0,7,1,0,0,0,7.9,0.24,0.9,0.13,33,79,41.8,256,41,28.1,29.7,40,17.5,23.5,94,3,3.2,6,0.86,13.3
AZ Alkmaar,2,7.0,11,1,0,4,0,9.4,0.28,-1.6,-0.23,25,92,27.2,180,29,42.8,45.4,48,31.3,32.1,91,7,7.7,8,1.14,8.0
Excelsior,3,7.0,15,1,1,1,0,16.9,0.3,1.9,0.27,84,219,38.4,336,32,49.1,43.3,66,81.8,55.6,96,6,6.3,15,2.14,13.9
Feyenoord,1,7.0,4,1,0,0,0,3.9,0.22,-0.1,-0.02,39,109,35.8,239,28,38.9,33.5,42,38.1,34.4,72,5,6.9,8,1.14,14.4
Fortuna Sittard,1,7.0,12,1,0,1,1,12.3,0.31,1.3,0.19,61,180,33.9,197,19,70.1,48.1,58,72.4,52.5,133,8,6.0,10,1.43,13.3
Go Ahead Eag,1,7.0,13,0,0,4,0,12.4,0.33,-0.6,-0.09,25,103,24.3,222,23,36.5,33.2,67,32.8,33.8,121,6,5.0,17,2.43,14.3
Groningen,2,8.0,11,1,0,0,1,8.6,0.25,-1.4,-0.18,65,183,35.5,331,35,47.1,39.7,56,48.2,40.5,100,8,8.0,23,2.88,16.5
Heerenveen,2,7.0,12,0,0,5,0,8.0,0.27,-4.0,-0.57,41,141,29.1,253,34,47.8,34.0,52,38.5,33.6,95,10,10.5,10,1.43,14.8
Heracles Almelo,1,7.0,18,0,0,4,0,17.2,0.38,-0.8,-0.11,68,189,36.0,236,14,66.1,43.7,53,62.3,46.6,122,6,4.9,5,0.71,11.5
NAC Breda,1,8.0,14,2,1,1,0,15.7,0.28,1.7,0.22,63,148,42.6,225,26,52.0,37.9,62,50.0,37.9,92,2,2.2,19,2.38,19.4
NEC Nijmegen,1,7.0,13,1,0,1,0,13.5,0.34,0.5,0.08,47,167,28.1,301,41,50.8,40.0,27,51.9,44.3,61,2,3.3,21,3.0,18.7
PSV Eindhoven,1,7.0,11,1,1,1,0,10.9,0.29,-0.1,-0.02,33,95,34.7,272,31,32.0,32.2,46,17.4,22.8,93,11,11.8,12,1.71,13.5
Sparta R'dam,1,7.0,19,0,0,4,0,17.3,0.33,-1.7,-0.24,64,159,40.3,244,37,52.5,40.2,75,41.3,36.4,137,6,4.4,5,0.71,11.6
Telstar,1,7.0,13,0,1,1,0,13.2,0.36,0.2,0.02,66,146,45.2,269,29,49.4,39.6,45,28.9,28.9,109,7,6.4,7,1.0,12.3
Twente,1,7.0,10,0,0,0,1,7.0,0.33,-2.0,-0.29,30,78,38.5,166,28,40.4,34.2,50,22.0,23.4,76,4,5.3,8,1.14,17.4
Utrecht,2,7.0,7,1,0,0,0,8.9,0.34,1.9,0.27,33,96,34.4,226,34,32.7,31.4,51,43.1,34.9,60,4,6.7,10,1.43,12.0
Volendam,1,7.0,12,0,0,2,0,11.8,0.29,-0.2,-0.04,45,191,23.6,252,28,56.7,45.2,75,64.0,54.2,121,9,7.4,5,0.71,11.0
Zwolle,1,7.0,11,0,0,0,0,12.5,0.29,1.5,0.22,35,108,32.4,172,36,34.3,32.2,83,59.0,45.7,136,4,2.9,1,0.14,10.0
