Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Ajax,37,34.0,569,322,274,228,67,286,540,53.0,254,390,138,252,318,887,922,15
vs Almere City,33,34.0,652,392,332,230,90,313,580,54.0,267,359,120,239,234,886,1010,16
vs AZ Alkmaar,30,34.0,570,328,293,207,70,308,578,53.3,270,371,116,255,322,892,895,21
vs Feyenoord,40,34.0,690,449,364,261,65,372,665,55.9,293,393,126,267,327,1017,968,25
vs Fortuna Sittard,30,34.0,542,344,241,207,94,261,517,50.5,256,314,99,215,234,776,898,12
vs Go Ahead Eag,28,34.0,493,274,209,199,85,221,417,53.0,196,395,140,255,286,779,898,16
vs Groningen,29,34.0,602,371,257,275,70,286,531,53.9,245,329,97,232,321,923,882,11
vs Heerenveen,30,34.0,641,383,296,265,80,332,604,55.0,272,426,141,285,364,1005,913,15
vs Heracles Almelo,24,34.0,596,374,295,226,75,304,575,52.9,271,343,99,244,231,827,877,21
vs NAC Breda,30,34.0,524,320,216,230,78,247,449,55.0,202,350,100,250,285,809,855,9
vs NEC Nijmegen,25,34.0,522,328,241,208,73,249,461,54.0,212,359,113,246,276,798,991,22
vs PSV Eindhoven,32,34.0,594,345,358,185,51,308,614,50.2,306,454,172,282,375,969,1198,13
vs RKC Waalwijk,29,34.0,622,405,241,270,111,279,545,51.2,266,373,132,241,277,899,773,15
vs Sparta R'dam,29,34.0,452,283,204,176,72,236,442,53.4,206,343,119,224,283,735,879,12
vs Twente,29,34.0,463,289,247,158,58,225,408,55.1,183,421,132,289,321,784,983,11
vs Utrecht,27,34.0,582,372,293,223,66,273,523,52.2,250,399,144,255,282,864,967,19
vs Willem II,26,34.0,528,332,214,244,70,242,466,51.9,224,289,69,220,260,788,787,11
vs Zwolle,26,34.0,651,400,306,264,81,306,570,53.7,264,378,92,286,285,936,724,22
