Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Ajax,24,7.0,137,19.57,97,15,4,11,7,3,11,1.57,9,1,0,0,1,0
vs AZ Alkmaar,22,7.0,155,22.14,106,14,9,12,9,5,19,2.71,12,3,1,3,0,0
vs Excelsior,25,7.0,230,32.86,169,20,10,19,10,2,29,4.14,22,2,1,2,2,0
vs Feyenoord,25,7.0,101,14.43,82,5,3,5,4,2,6,0.86,4,1,0,0,1,0
vs Fortuna Sittard,21,7.0,186,26.57,129,21,12,14,8,2,19,2.71,12,2,1,2,1,1
vs Go Ahead Eag,21,7.0,243,34.71,184,12,13,23,7,4,21,3.0,15,1,0,4,1,0
vs Groningen,21,8.0,177,22.12,126,16,12,12,8,3,18,2.25,14,0,1,2,1,0
vs Heerenveen,22,7.0,119,17.0,92,11,5,7,2,2,19,2.71,12,2,2,3,0,0
vs Heracles Almelo,21,7.0,257,36.71,187,18,14,29,9,0,29,4.14,18,1,2,7,1,0
vs NAC Breda,21,8.0,230,28.75,177,14,11,11,12,5,20,2.5,12,1,1,3,3,0
vs NEC Nijmegen,23,7.0,133,19.0,92,15,11,7,3,5,24,3.43,16,1,5,1,0,1
vs PSV Eindhoven,23,7.0,169,24.14,114,16,11,15,10,3,19,2.71,14,2,0,1,2,0
vs Sparta R'dam,21,7.0,245,35.0,190,23,13,16,2,1,32,4.57,22,3,4,3,0,0
vs Telstar,21,7.0,170,24.29,123,20,6,13,6,2,23,3.29,17,2,1,1,2,0
vs Twente,21,7.0,132,18.86,89,14,9,8,7,5,17,2.43,11,1,3,2,0,0
vs Utrecht,26,7.0,126,18.0,90,12,7,7,6,4,11,1.57,9,0,0,2,0,0
vs Volendam,22,7.0,209,29.86,162,20,4,12,9,2,21,3.0,15,1,0,3,1,1
vs Zwolle,23,7.0,200,28.57,163,14,8,6,7,2,19,2.71,19,0,0,0,0,0
