Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Ajax,24,7.0,201,28.71,157,13,8,14,5,4,22,3.14,15,1,0,5,1,0
AZ Alkmaar,22,7.0,218,31.14,170,14,13,11,6,4,26,3.71,19,1,2,1,2,1
Excelsior,25,7.0,150,21.43,101,19,5,10,10,5,8,1.14,5,1,1,1,0,0
Feyenoord,25,7.0,212,30.29,159,14,16,11,6,6,23,3.29,14,0,3,4,1,1
Fortuna Sittard,21,7.0,146,20.86,113,11,5,13,2,2,18,2.57,14,1,1,2,0,0
Go Ahead Eag,21,7.0,174,24.86,134,17,3,14,6,0,18,2.57,9,4,0,3,2,0
Groningen,21,8.0,178,22.25,125,17,9,12,10,5,23,2.87,16,1,2,2,2,0
Heerenveen,22,7.0,187,26.71,138,13,13,11,9,3,20,2.86,15,1,3,0,1,0
Heracles Almelo,21,7.0,139,19.86,88,19,10,10,7,5,10,1.43,6,2,1,0,0,1
NAC Breda,21,8.0,166,20.75,108,26,9,11,9,3,12,1.5,7,1,0,4,0,0
NEC Nijmegen,23,7.0,207,29.57,154,12,17,12,10,2,38,5.43,25,4,3,4,2,0
PSV Eindhoven,23,7.0,248,35.43,194,18,10,22,3,1,36,5.14,27,3,1,4,1,0
Sparta R'dam,21,7.0,154,22.0,123,11,5,9,4,2,14,2.0,11,1,0,1,1,0
Telstar,21,7.0,170,24.29,122,15,7,18,7,1,16,2.29,12,1,0,3,0,0
Twente,21,7.0,222,31.71,168,17,9,21,6,1,22,3.14,17,0,1,2,2,0
Utrecht,26,7.0,196,28.0,140,20,12,16,8,0,23,3.29,15,1,3,3,1,0
Volendam,22,7.0,143,20.43,93,18,7,7,13,5,16,2.29,15,1,0,0,0,0
Zwolle,23,7.0,108,15.43,85,6,4,5,5,3,12,1.71,11,0,1,0,0,0
