Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ajax,3,34,34,3060,34.0,67,1.97,170,101,64.1,4,6,24,2,5.9,9,6,3,0,33.3
vs Almere City,2,34,34,3060,34.0,23,0.68,110,89,79.1,20,10,4,17,50.0,0,0,0,0,
vs AZ Alkmaar,2,34,34,3060,34.0,58,1.71,186,129,69.9,9,9,16,5,14.7,2,2,0,0,0.0
vs Feyenoord,3,34,34,3060,34.0,76,2.24,204,133,65.7,6,8,20,5,14.7,6,6,0,0,0.0
vs Fortuna Sittard,2,34,34,3060,34.0,37,1.09,105,69,68.6,15,8,11,11,32.4,6,4,0,2,0.0
vs Go Ahead Eag,2,34,34,3060,34.0,57,1.68,151,94,63.6,11,9,14,7,20.6,2,2,0,0,0.0
vs Groningen,2,34,34,3060,34.0,40,1.18,143,103,75.5,15,9,10,12,35.3,6,5,1,0,16.7
vs Heerenveen,2,34,34,3060,34.0,42,1.24,144,102,74.3,15,7,12,10,29.4,6,5,1,0,16.7
vs Heracles Almelo,1,34,34,3060,34.0,42,1.24,127,85,70.9,14,11,9,9,26.5,5,5,0,0,0.0
vs NAC Breda,3,34,34,3060,34.0,34,1.0,127,93,75.6,17,9,8,10,29.4,3,3,0,0,0.0
vs NEC Nijmegen,2,34,34,3060,34.0,51,1.5,147,96,67.3,15,7,12,9,26.5,3,3,0,0,0.0
vs PSV Eindhoven,2,34,34,3060,34.0,103,3.03,265,166,61.9,5,4,25,2,5.9,4,2,0,2,0.0
vs RKC Waalwijk,4,34,34,3060,34.0,44,1.29,135,94,69.6,21,7,6,11,32.4,3,3,0,0,0.0
vs Sparta R'dam,1,34,34,3060,34.0,39,1.15,160,122,76.9,13,12,9,9,26.5,2,2,0,0,0.0
vs Twente,2,34,34,3060,34.0,62,1.82,179,118,69.3,10,9,15,2,5.9,7,7,0,0,0.0
vs Utrecht,2,34,34,3060,34.0,62,1.82,159,101,62.3,6,10,18,6,17.6,2,2,0,0,0.0
vs Willem II,1,34,34,3060,34.0,34,1.0,104,74,70.2,20,8,6,11,32.4,3,3,0,0,0.0
vs Zwolle,2,34,34,3060,34.0,43,1.26,127,85,68.5,13,11,10,10,29.4,3,3,0,0,0.0
