Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Ajax,1,7,7,630,7.0,7,1.0,30,23,80.0,4,3,0,2,28.6,1,1,0,0,0.0
AZ Alkmaar,2,7,7,630,7.0,11,1.57,33,22,69.7,3,3,1,1,14.3,2,1,0,1,0.0
Excelsior,3,7,7,630,7.0,15,2.14,55,40,74.5,2,0,5,1,14.3,1,1,0,0,0.0
Feyenoord,1,7,7,630,7.0,4,0.57,15,11,80.0,6,1,0,5,71.4,1,1,0,0,0.0
Fortuna Sittard,1,7,7,630,7.0,12,1.71,38,27,71.1,3,1,3,1,14.3,1,1,0,0,0.0
Go Ahead Eag,1,7,7,630,7.0,13,1.86,39,26,66.7,2,3,2,2,28.6,0,0,0,0,
Groningen,2,8,8,720,8.0,11,1.37,32,22,68.8,5,0,3,3,37.5,1,1,0,0,0.0
Heerenveen,2,7,7,630,7.0,12,1.71,33,21,63.6,1,3,3,0,0.0,0,0,0,0,
Heracles Almelo,1,7,7,630,7.0,18,2.57,47,29,61.7,1,0,6,1,14.3,0,0,0,0,
NAC Breda,1,8,8,720,8.0,14,1.75,51,37,76.5,2,1,5,0,0.0,2,2,0,0,0.0
NEC Nijmegen,1,7,7,630,7.0,13,1.86,38,25,68.4,4,0,3,2,28.6,1,1,0,0,0.0
PSV Eindhoven,1,7,7,630,7.0,11,1.57,35,24,71.4,5,1,1,1,14.3,2,1,0,1,0.0
Sparta R'dam,1,7,7,630,7.0,19,2.71,52,32,63.5,3,0,4,2,28.6,1,0,1,0,100.0
Telstar,1,7,7,630,7.0,13,1.86,37,24,64.9,2,1,4,1,14.3,0,0,0,0,
Twente,1,7,7,630,7.0,10,1.43,22,13,54.5,3,1,3,0,0.0,0,0,0,0,
Utrecht,2,7,7,630,7.0,7,1.0,26,19,76.9,3,1,3,2,28.6,1,1,0,0,0.0
Volendam,1,7,7,630,7.0,12,1.71,43,31,72.1,1,4,2,0,0.0,0,0,0,0,
Zwolle,1,7,7,630,7.0,11,1.57,43,32,74.4,2,1,4,2,28.6,0,0,0,0,
