Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ajax,24,7.0,14,0,0,88,85,14,125,68,62,1,1,0,269,79,66,54.5
AZ Alkmaar,22,7.0,26,1,1,82,71,7,108,40,67,2,2,0,299,78,92,45.9
Excelsior,25,7.0,9,2,1,97,61,4,124,63,68,0,1,0,301,105,119,46.9
Feyenoord,25,7.0,14,2,1,64,78,12,140,53,76,0,1,0,325,128,95,57.4
Fortuna Sittard,21,7.0,16,0,0,92,67,10,110,76,82,0,1,1,286,118,123,49.0
Go Ahead Eag,21,7.0,7,1,0,65,60,12,190,45,50,0,0,0,249,79,96,45.1
Groningen,21,8.0,18,1,1,100,84,13,116,62,83,0,1,1,329,119,155,43.4
Heerenveen,22,7.0,15,2,2,75,84,10,133,42,66,0,0,0,303,119,125,48.8
Heracles Almelo,21,7.0,12,1,0,91,70,5,110,41,59,0,0,0,237,134,116,53.6
NAC Breda,21,8.0,16,2,1,103,105,15,139,56,86,1,2,0,341,122,118,50.8
NEC Nijmegen,23,7.0,10,1,0,85,99,16,153,42,81,3,1,0,315,115,115,50.0
PSV Eindhoven,23,7.0,11,0,0,81,60,9,133,56,81,0,2,0,328,111,77,59.0
Sparta R'dam,21,7.0,10,1,0,50,60,7,90,55,54,0,1,0,276,118,98,54.6
Telstar,21,7.0,13,0,0,83,71,12,132,49,64,0,0,0,307,79,89,47.0
Twente,21,7.0,11,0,0,90,85,7,146,55,81,2,0,1,314,111,121,47.8
Utrecht,26,7.0,9,0,0,67,89,10,147,52,55,0,1,0,295,127,115,52.5
Volendam,22,7.0,10,0,0,73,82,10,146,64,54,0,0,0,252,72,77,48.3
Zwolle,23,7.0,16,1,0,73,86,13,63,79,57,0,0,0,285,62,79,44.0
