Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ajax,37,34.0,20552,19063,1436,414,72,75,566,560,189,102,16,3,17383,53,284
Almere City,33,34.0,13528,11910,1587,329,13,90,630,737,146,48,84,2,9862,31,273
AZ Alkmaar,30,34.0,17749,16180,1525,380,46,102,532,658,212,98,49,0,14381,44,281
Feyenoord,40,34.0,18307,16657,1611,450,55,96,634,668,214,141,35,0,15171,39,307
Fortuna Sittard,30,34.0,13653,12013,1599,413,20,124,604,673,147,99,23,1,10186,41,244
Go Ahead Eag,28,34.0,16936,15346,1542,353,68,87,560,618,179,127,24,1,13562,48,276
Groningen,29,34.0,15369,13760,1576,401,35,98,466,686,144,77,39,0,11685,33,254
Heerenveen,30,34.0,17581,15934,1600,380,45,99,565,709,165,75,60,0,14138,47,328
Heracles Almelo,24,34.0,13958,12271,1640,371,21,90,669,703,176,81,69,0,10636,47,309
NAC Breda,30,34.0,14526,13000,1497,342,27,107,561,618,139,66,64,0,11082,29,282
NEC Nijmegen,25,34.0,15869,14194,1642,386,24,106,723,734,163,85,70,0,12361,33,288
PSV Eindhoven,32,34.0,22971,21431,1497,302,94,112,902,688,255,81,93,0,19487,43,335
RKC Waalwijk,29,34.0,14220,12658,1518,316,17,91,580,617,152,123,5,0,11039,44,273
Sparta R'dam,29,34.0,16314,14885,1384,301,41,112,682,593,152,65,53,1,12927,45,266
Twente,29,34.0,17578,15940,1580,388,59,102,694,680,178,124,17,2,13990,58,323
Utrecht,27,34.0,14938,13270,1630,410,21,65,707,719,160,78,57,0,11403,38,301
Willem II,26,34.0,14589,13023,1530,325,16,81,566,638,127,41,64,1,11366,36,266
Zwolle,26,34.0,16429,14804,1586,397,36,91,481,681,143,77,34,0,13070,39,303
