Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Ajax,24,7.0,3401,3987,85.3,57338,19649,1601,1729,92.6,1444,1619,89.2,262,429,61.1,9,11.7,12.3,-2.7,91,263,84,10,321
AZ Alkmaar,22,7.0,2964,3585,82.7,53165,18104,1303,1467,88.8,1295,1460,88.7,309,513,60.2,10,8.9,10.6,1.1,90,240,95,13,321
Excelsior,25,7.0,2066,2796,73.9,41975,16370,736,872,84.4,1013,1198,84.6,283,594,47.6,4,6.0,6.7,-2.0,63,191,37,12,239
Feyenoord,25,7.0,2667,3327,80.2,46235,16656,1180,1331,88.7,1170,1370,85.4,237,440,53.9,8,9.2,10.9,-1.2,88,246,79,11,327
Fortuna Sittard,21,7.0,2256,2969,76.0,39288,14717,1071,1210,88.5,875,1045,83.7,224,510,43.9,8,3.9,5.3,4.1,57,155,44,15,179
Go Ahead Eag,21,7.0,2778,3449,80.5,51991,17758,1088,1233,88.2,1362,1510,90.2,290,578,50.2,7,9.2,10.5,-2.2,72,273,80,24,323
Groningen,21,8.0,2598,3411,76.2,50086,19118,1012,1186,85.3,1186,1416,83.8,338,633,53.4,10,7.9,8.6,2.1,73,190,61,14,259
Heerenveen,22,7.0,2447,3221,76.0,45297,17189,1022,1203,85.0,1105,1321,83.6,268,544,49.3,7,9.2,11.3,-2.2,79,234,75,20,286
Heracles Almelo,21,7.0,1925,2567,75.0,37509,13921,765,878,87.1,844,1007,83.8,258,521,49.5,5,4.8,4.9,0.2,56,161,39,16,162
NAC Breda,21,8.0,2579,3405,75.7,47158,18468,1094,1278,85.6,1173,1408,83.3,263,533,49.3,5,7.1,7.3,-2.1,75,199,40,12,229
NEC Nijmegen,23,7.0,2764,3547,77.9,49168,18227,1220,1404,86.9,1210,1395,86.7,273,565,48.3,16,11.6,15.0,4.4,87,277,86,12,351
PSV Eindhoven,23,7.0,3339,3996,83.6,59268,20850,1453,1605,90.5,1471,1647,89.3,328,539,60.9,17,14.3,13.5,2.7,114,325,87,16,373
Sparta R'dam,21,7.0,2119,2758,76.8,41956,16482,780,924,84.4,1034,1196,86.5,276,537,51.4,5,6.6,7.1,-1.6,65,176,46,7,227
Telstar,21,7.0,2203,2869,76.8,45086,17802,745,881,84.6,1105,1298,85.1,329,581,56.6,7,7.5,7.0,-0.5,73,210,56,19,283
Twente,21,7.0,2731,3545,77.0,49806,18809,1180,1371,86.1,1128,1341,84.1,317,580,54.7,7,9.5,11.0,-2.5,86,284,88,17,334
Utrecht,26,7.0,2714,3412,79.5,51684,18882,1046,1194,87.6,1307,1511,86.5,325,572,56.8,9,8.3,8.6,0.7,85,230,52,26,245
Volendam,22,7.0,2072,2733,75.8,40350,15330,803,924,86.9,969,1136,85.3,254,535,47.5,7,5.4,5.8,1.6,59,173,43,9,216
Zwolle,23,7.0,2202,2841,77.5,40325,15714,946,1071,88.3,953,1122,84.9,244,491,49.7,7,5.7,7.5,1.3,49,181,52,9,240
