Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Ajax,24,25.3,7,630,90,100,7.0,77,80,45,31,19,49,0.43,7,14,-7,-1.0,8.2,14.4,-6.1,-0.88
vs AZ Alkmaar,22,25.1,7,630,90,100,7.0,77,81,43,32,18,49,0.86,11,15,-4,-0.57,9.2,12.7,-3.5,-0.51
vs Excelsior,25,26.0,7,630,90,100,7.0,77,79,44,33,22,44,2.14,15,6,9,1.29,14.9,9.2,5.7,0.81
vs Feyenoord,25,25.1,7,630,90,100,7.0,77,80,43,34,22,42,0.14,4,15,-11,-1.57,5.5,13.2,-7.7,-1.1
vs Fortuna Sittard,21,25.9,7,630,90,100,7.0,77,80,48,29,21,50,1.43,12,12,0,0.0,12.7,7.6,5.1,0.73
vs Go Ahead Eag,21,25.9,7,630,90,100,7.0,77,80,48,28,20,49,1.29,13,13,0,0.0,12.4,12.1,0.3,0.04
vs Groningen,21,25.4,8,720,90,100,8.0,88,84,53,35,23,54,1.13,11,14,-3,-0.37,10.5,11.3,-0.9,-0.11
vs Heerenveen,22,26.0,7,630,90,100,7.0,77,84,44,31,24,50,1.71,12,10,2,0.29,7.9,13.5,-5.6,-0.8
vs Heracles Almelo,21,25.8,7,630,90,100,7.0,77,79,44,33,18,49,2.57,18,6,12,1.71,16.6,5.9,10.6,1.52
vs NAC Breda,21,25.4,8,720,90,100,8.0,88,83,50,38,20,54,2.0,14,8,6,0.75,16.7,9.8,6.9,0.86
vs NEC Nijmegen,23,25.4,7,630,90,100,7.0,77,81,41,34,23,36,1.29,13,21,-8,-1.14,10.1,16.0,-5.9,-0.84
vs PSV Eindhoven,23,25.9,7,630,90,100,7.0,77,80,47,30,20,49,0.57,11,21,-10,-1.43,11.5,16.5,-5.0,-0.71
vs Sparta R'dam,21,25.9,7,630,90,100,7.0,77,83,41,35,22,46,1.71,19,8,11,1.57,13.4,9.1,4.3,0.61
vs Telstar,21,25.6,7,630,90,100,7.0,77,82,44,33,22,45,1.86,13,9,4,0.57,11.3,10.1,1.2,0.17
vs Twente,21,26.0,7,630,90,100,7.0,77,80,46,29,20,47,1.43,10,12,-2,-0.29,7.4,13.7,-6.3,-0.89
vs Utrecht,26,25.5,7,630,90,100,7.0,77,79,47,30,24,43,1.43,7,13,-6,-0.86,8.8,10.7,-1.9,-0.27
vs Volendam,22,25.2,7,630,90,100,7.0,77,80,47,31,22,47,1.43,12,9,3,0.43,10.5,6.7,3.8,0.54
vs Zwolle,23,25.7,7,630,90,100,7.0,77,81,43,34,23,49,1.86,11,7,4,0.57,12.2,7.1,5.1,0.73
