Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Ajax,24,25.6,7,630,90,100,7.0,77,80,43,34,23,50,2.14,14,7,7,1.0,14.4,8.2,6.1,0.88
AZ Alkmaar,22,24.0,7,630,90,100,7.0,77,81,42,34,20,42,1.71,15,11,4,0.57,12.7,9.2,3.5,0.51
Excelsior,25,24.3,7,630,90,100,7.0,77,79,42,33,23,30,0.86,6,15,-9,-1.29,9.2,14.9,-5.7,-0.81
Feyenoord,25,24.9,7,630,90,100,7.0,77,80,41,34,21,49,2.71,15,4,11,1.57,13.2,5.5,7.7,1.1
Fortuna Sittard,21,26.5,7,630,90,100,7.0,77,80,43,34,22,35,1.43,12,12,0,0.0,7.6,12.7,-5.1,-0.73
Go Ahead Eag,21,26.4,7,630,90,100,7.0,77,80,44,33,22,48,1.29,13,13,0,0.0,12.1,12.4,-0.3,-0.04
Groningen,21,24.5,8,720,90,100,8.0,88,84,58,31,18,64,1.88,14,11,3,0.37,11.3,10.5,0.9,0.11
Heerenveen,22,25.1,7,630,90,100,7.0,77,84,51,25,18,49,0.86,10,12,-2,-0.29,13.5,7.9,5.6,0.8
Heracles Almelo,21,25.6,7,630,90,100,7.0,77,79,45,31,25,47,0.43,6,18,-12,-1.71,5.9,16.6,-10.6,-1.52
NAC Breda,21,25.5,8,720,90,100,8.0,88,83,51,35,15,61,0.88,8,14,-6,-0.75,9.8,16.7,-6.9,-0.86
NEC Nijmegen,23,26.2,7,630,90,100,7.0,77,81,45,31,22,51,1.71,21,13,8,1.14,16.0,10.1,5.9,0.84
PSV Eindhoven,23,25.8,7,630,90,100,7.0,77,80,47,30,25,49,2.29,21,11,10,1.43,16.5,11.5,5.0,0.71
Sparta R'dam,21,27.8,7,630,90,100,7.0,77,83,50,26,18,53,1.29,8,19,-11,-1.57,9.1,13.4,-4.3,-0.61
Telstar,21,25.7,7,630,90,100,7.0,77,82,43,34,19,41,1.0,9,13,-4,-0.57,10.1,11.3,-1.2,-0.17
Twente,21,26.7,7,630,90,100,7.0,77,80,46,31,25,46,1.43,12,10,2,0.29,13.7,7.4,6.3,0.89
Utrecht,26,26.3,7,630,90,100,7.0,77,79,42,35,25,49,1.43,13,7,6,0.86,10.7,8.8,1.9,0.27
Volendam,22,25.2,7,630,90,100,7.0,77,80,41,36,21,45,1.0,9,12,-3,-0.43,6.7,10.5,-3.8,-0.54
Zwolle,23,24.8,7,630,90,100,7.0,77,81,44,33,19,43,1.0,7,11,-4,-0.57,7.1,12.2,-5.1,-0.73
