Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Ajax,37,57.6,34.0,24237,2455,7179,11271,5973,1054,24228,579,254,43.9,286,49.4,14664,74175,38441,683,485,180,512,283,17214,1678
Almere City,33,42.9,34.0,17731,2197,5986,7348,4588,698,17731,613,268,43.7,313,51.1,9009,50740,24656,499,372,115,569,339,9745,1106
AZ Alkmaar,30,52.7,34.0,21765,2041,6172,10017,5774,961,21763,601,270,44.9,308,51.2,12471,66665,34725,665,509,218,518,262,14233,1468
Feyenoord,40,57.3,34.0,22144,2042,6572,10024,5766,1005,22138,710,293,41.3,372,52.4,12840,70900,38684,785,537,264,501,318,14957,1581
Fortuna Sittard,30,44.4,34.0,17746,2122,6317,7670,3933,633,17740,549,256,46.6,261,47.5,8991,50136,24524,488,349,105,570,281,10070,930
Go Ahead Eag,28,51.4,34.0,20701,2880,7701,8375,4794,840,20699,435,196,45.1,221,50.8,11670,56641,28841,508,381,139,444,272,13402,1260
Groningen,29,46.9,34.0,19550,2169,6228,9161,4330,581,19544,563,245,43.5,286,50.8,9997,49905,23364,395,357,88,574,316,11567,1151
Heerenveen,30,53.2,34.0,21790,2395,7390,9503,5119,765,21784,654,272,41.6,332,50.8,12073,63542,30859,566,403,145,579,309,14000,1391
Heracles Almelo,24,45.4,34.0,18279,2435,6720,7573,4186,639,18274,615,271,44.1,304,49.4,9382,52552,25278,531,343,150,516,292,10504,1029
NAC Breda,30,45.0,34.0,18696,2423,6815,7917,4152,637,18693,476,202,42.4,247,51.9,9605,50389,25734,504,414,107,493,277,10957,1035
NEC Nijmegen,25,48.6,34.0,19903,2539,7171,8707,4234,685,19899,494,212,42.9,249,50.4,10797,57453,28146,514,378,117,525,273,12217,1090
PSV Eindhoven,32,67.5,34.0,26739,1937,6464,12312,8189,1409,26735,635,306,48.2,308,48.5,15550,83046,44825,952,615,315,491,286,19273,2216
RKC Waalwijk,29,43.9,34.0,18599,2714,7417,7446,3935,588,18596,574,266,46.3,279,48.6,9813,54045,26855,572,375,126,601,343,10917,1040
Sparta R'dam,29,48.9,34.0,20581,2449,7182,9038,4552,748,20579,481,206,42.8,236,49.1,11051,62223,33199,619,428,171,545,216,12774,1334
Twente,29,53.3,34.0,21442,2306,6890,9366,5365,842,21435,441,183,41.5,225,51.0,11961,64002,33399,616,413,164,478,238,13866,1505
Utrecht,27,46.6,34.0,19175,2267,6403,8187,4795,846,19173,558,250,44.8,273,48.9,10168,55079,27497,578,429,147,556,309,11274,1301
Willem II,26,44.0,34.0,18547,2761,7125,7883,3723,466,18544,490,224,45.7,242,49.4,9830,52382,26108,458,348,94,533,285,11269,965
Zwolle,26,50.2,34.0,20837,2661,7453,9019,4569,672,20834,604,264,43.7,306,50.7,10848,55189,26712,524,398,147,615,345,12966,1236
