Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Ajax,24,7.0,7,82,29,35.4,11.71,4.14,0.07,0.21,18.0,3,1,1,8.2,7.4,0.09,-1.2,-1.4
vs AZ Alkmaar,22,7.0,11,88,32,36.4,12.57,4.57,0.11,0.31,17.4,3,1,2,9.2,7.7,0.09,1.8,2.3
vs Excelsior,25,7.0,15,125,54,43.2,17.86,7.71,0.11,0.26,16.3,3,1,1,14.9,14.1,0.12,0.1,-0.1
vs Feyenoord,25,7.0,4,58,14,24.1,8.29,2.0,0.05,0.21,19.7,1,1,1,5.5,4.8,0.08,-1.5,-1.8
vs Fortuna Sittard,21,7.0,11,102,37,36.3,14.57,5.29,0.1,0.27,15.6,1,1,1,12.7,11.9,0.12,-1.7,-1.9
vs Go Ahead Eag,21,7.0,13,137,39,28.5,19.57,5.57,0.09,0.33,16.5,2,0,0,12.4,12.4,0.09,0.6,0.6
vs Groningen,21,8.0,10,99,31,31.3,12.38,3.87,0.09,0.29,15.9,1,1,1,10.5,9.7,0.1,-0.5,-0.7
vs Heerenveen,22,7.0,12,67,33,49.3,9.57,4.71,0.18,0.36,16.6,1,0,0,7.9,7.9,0.13,4.1,4.1
vs Heracles Almelo,21,7.0,18,146,47,32.2,20.86,6.71,0.12,0.38,16.0,6,0,0,16.6,16.6,0.12,1.4,1.4
vs NAC Breda,21,8.0,14,126,49,38.9,15.75,6.12,0.1,0.24,17.5,6,2,2,16.7,15.3,0.12,-2.7,-3.3
vs NEC Nijmegen,23,7.0,13,77,37,48.1,11.0,5.29,0.16,0.32,15.9,0,1,1,10.1,9.3,0.12,2.9,2.7
vs PSV Eindhoven,23,7.0,11,103,34,33.0,14.71,4.86,0.1,0.29,19.7,5,1,2,11.5,9.9,0.1,-0.5,0.1
vs Sparta R'dam,21,7.0,19,137,51,37.2,19.57,7.29,0.14,0.37,16.7,0,0,1,13.4,12.6,0.09,5.6,6.4
vs Telstar,21,7.0,13,97,37,38.1,13.86,5.29,0.13,0.35,16.5,2,0,0,11.3,11.3,0.12,1.7,1.7
vs Twente,21,7.0,9,73,22,30.1,10.43,3.14,0.12,0.41,17.7,2,0,0,7.4,7.4,0.11,1.6,1.6
vs Utrecht,26,7.0,7,72,25,34.7,10.29,3.57,0.08,0.24,17.7,4,1,1,8.8,8.0,0.12,-1.8,-2.0
vs Volendam,22,7.0,12,116,43,37.1,16.57,6.14,0.1,0.28,17.0,2,0,0,10.5,10.5,0.09,1.5,1.5
vs Zwolle,23,7.0,11,116,43,37.1,16.57,6.14,0.09,0.26,17.8,3,0,0,12.2,12.2,0.11,-1.2,-1.2
