Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ajax,24,7.0,14,114,47,41.2,16.29,6.71,0.11,0.28,15.1,2,1,1,14.4,13.6,0.12,-0.4,-0.6
AZ Alkmaar,22,7.0,14,121,38,31.4,17.29,5.43,0.1,0.32,17.6,3,2,2,12.7,11.3,0.09,1.3,0.7
Excelsior,25,7.0,6,87,29,33.3,12.43,4.14,0.07,0.21,17.2,3,0,0,9.2,9.2,0.11,-3.2,-3.2
Feyenoord,25,7.0,15,117,39,33.3,16.71,5.57,0.12,0.36,17.2,2,1,1,13.2,12.4,0.11,1.8,1.6
Fortuna Sittard,21,7.0,12,84,27,32.1,12.0,3.86,0.13,0.41,17.2,1,1,1,7.6,6.8,0.09,4.4,4.2
Go Ahead Eag,21,7.0,12,97,41,42.3,13.86,5.86,0.12,0.29,15.9,1,0,1,12.1,11.3,0.12,-0.1,0.7
Groningen,21,8.0,14,108,49,45.4,13.5,6.12,0.13,0.29,19.2,7,0,0,11.3,11.3,0.11,2.7,2.7
Heerenveen,22,7.0,10,106,31,29.2,15.14,4.43,0.09,0.32,16.2,3,0,0,13.5,13.5,0.13,-3.5,-3.5
Heracles Almelo,21,7.0,6,80,25,31.3,11.43,3.57,0.08,0.24,18.0,3,0,0,5.9,5.9,0.08,0.1,0.1
NAC Breda,21,8.0,8,92,32,34.8,11.5,4.0,0.08,0.22,15.4,2,1,2,9.8,8.2,0.1,-1.8,-1.2
NEC Nijmegen,23,7.0,21,114,51,44.7,16.29,7.29,0.17,0.37,17.5,4,2,3,16.0,13.7,0.12,5.0,5.3
PSV Eindhoven,23,7.0,20,136,52,38.2,19.43,7.43,0.15,0.38,16.0,1,0,0,16.5,16.5,0.13,3.5,3.5
Sparta R'dam,21,7.0,8,86,28,32.6,12.29,4.0,0.08,0.25,18.4,1,1,1,9.1,8.3,0.1,-1.1,-1.3
Telstar,21,7.0,9,101,40,39.6,14.43,5.71,0.09,0.23,16.1,1,0,0,10.1,10.1,0.1,-1.1,-1.1
Twente,21,7.0,12,125,45,36.0,17.86,6.43,0.08,0.22,17.6,2,2,2,13.7,12.3,0.1,-1.7,-2.3
Utrecht,26,7.0,13,110,40,36.4,15.71,5.71,0.12,0.33,16.3,3,0,0,10.7,10.7,0.1,2.3,2.3
Volendam,22,7.0,9,82,26,31.7,11.71,3.71,0.11,0.35,18.2,3,0,0,6.7,6.7,0.08,2.3,2.3
Zwolle,23,7.0,7,61,17,27.9,8.71,2.43,0.11,0.41,18.5,3,0,0,7.1,7.1,0.12,-0.1,-0.1
