Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Alavés,1,7.0,6,2,0,2,1,5.6,0.16,0.6,0.08,45,100,45.0,179,26,41.9,36.6,50,50.0,42.6,98,4,4.1,8,1.14,14.7
vs Athletic Club,1,7.0,7,2,0,1,1,8.2,0.22,2.2,0.32,28,103,27.2,192,38,41.1,38.4,56,42.9,38.1,148,6,4.1,13,1.86,14.7
vs Atlético Madrid,1,7.0,14,1,2,0,0,13.7,0.31,-0.3,-0.04,43,126,34.1,201,30,46.3,39.5,66,50.0,40.0,125,6,4.8,7,1.0,11.9
vs Barcelona,2,7.0,21,1,0,5,1,15.4,0.26,-4.6,-0.65,50,166,30.1,172,31,64.5,47.5,66,83.3,59.3,72,2,2.8,12,1.71,16.0
vs Betis,2,7.0,11,0,0,1,1,10.6,0.32,0.6,0.08,34,84,40.5,196,33,30.1,30.3,52,48.1,40.1,83,8,9.6,17,2.43,16.8
vs Celta Vigo,1,7.0,6,1,0,2,0,6.8,0.24,0.8,0.11,27,107,25.2,214,24,39.3,38.8,60,38.3,34.1,95,3,3.2,12,1.71,15.0
vs Elche,2,7.0,10,0,1,0,0,9.1,0.3,-0.9,-0.13,29,82,35.4,158,26,41.8,37.8,44,36.4,32.9,74,3,4.1,6,0.86,11.9
vs Espanyol,1,7.0,10,2,0,1,0,11.0,0.33,1.0,0.14,27,70,38.6,174,30,29.9,33.4,51,35.3,32.4,111,11,9.9,10,1.43,15.3
vs Getafe,1,8.0,9,0,0,3,0,6.6,0.31,-2.4,-0.31,30,90,33.3,195,32,35.9,35.4,47,42.6,40.2,91,2,2.2,15,1.88,16.3
vs Girona,2,7.0,3,0,0,0,0,6.7,0.28,3.7,0.53,21,61,34.4,152,40,34.2,35.2,36,25.0,30.0,74,4,5.4,11,1.57,18.2
vs Levante,2,7.0,11,1,1,0,0,10.2,0.45,-0.8,-0.11,35,83,42.2,164,28,34.8,34.5,45,57.8,45.0,51,2,3.9,11,1.57,17.1
vs Mallorca,1,7.0,6,1,0,1,0,6.0,0.2,0.0,0.0,24,71,33.8,148,22,31.1,34.3,44,56.8,49.8,100,2,2.0,6,0.86,14.7
vs Osasuna,1,8.0,7,1,0,1,0,7.0,0.28,0.0,0.0,33,116,28.4,248,29,34.7,34.8,61,49.2,41.0,100,6,6.0,26,3.25,19.1
vs Oviedo,1,7.0,4,0,0,1,0,5.3,0.22,1.3,0.18,23,61,37.7,192,19,29.7,29.5,28,14.3,25.7,56,4,7.1,16,2.29,17.8
vs Rayo Vallecano,1,7.0,7,1,0,1,0,10.3,0.31,3.3,0.47,33,97,34.0,190,50,30.5,32.9,68,57.4,44.4,125,5,4.0,15,2.15,16.7
vs Real Madrid,1,7.0,16,2,0,1,0,14.7,0.29,-1.3,-0.18,33,94,35.1,161,20,41.0,37.9,68,41.2,37.3,66,3,4.5,7,1.0,15.4
vs Real Sociedad,1,7.0,7,1,0,0,0,9.6,0.31,2.6,0.38,33,119,27.7,192,22,44.8,38.0,66,50.0,39.6,115,5,4.3,7,1.0,14.2
vs Sevilla,2,7.0,11,0,0,0,1,6.8,0.31,-3.2,-0.46,30,122,24.6,217,17,42.4,36.7,46,65.2,47.2,85,7,8.2,3,0.43,13.4
vs Valencia,1,7.0,9,0,0,3,0,7.7,0.35,-1.3,-0.19,36,82,43.9,180,32,36.1,35.1,34,50.0,40.1,89,3,3.4,14,2.0,20.0
vs Villarreal,2,7.0,13,0,0,2,0,11.2,0.3,-1.8,-0.26,43,86,50.0,153,28,34.6,33.3,76,43.4,37.0,101,3,3.0,9,1.29,14.7
