Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,1,7.0,7,0,0,0,0,8.3,0.38,1.3,0.18,60,134,44.8,126,15,65.9,46.8,59,86.4,61.2,97,4,4.1,3,0.43,9.6
Athletic Club,1,7.0,8,0,0,1,1,8.4,0.35,1.4,0.2,18,88,20.5,182,35,35.7,33.2,38,60.5,48.8,68,6,8.8,13,1.86,18.6
Atlético Madrid,1,7.0,9,1,0,0,0,5.9,0.28,-3.1,-0.45,29,76,38.2,160,25,31.9,32.2,52,48.1,38.4,85,4,4.7,2,0.29,9.0
Barcelona,2,7.0,5,1,0,1,0,7.0,0.32,2.0,0.28,8,18,44.4,193,51,8.8,25.9,23,4.3,23.0,61,3,4.9,31,4.43,34.3
Betis,2,7.0,7,0,0,2,1,5.2,0.2,-0.8,-0.12,23,76,30.3,187,23,28.9,34.1,50,44.0,39.9,95,4,4.2,9,1.29,16.9
Celta Vigo,1,7.0,9,0,0,1,0,9.0,0.26,0.0,0.01,18,53,34.0,156,44,24.4,29.4,50,30.0,32.5,77,3,3.9,7,1.0,14.6
Elche,2,7.0,6,0,0,0,0,4.9,0.22,-1.1,-0.16,52,138,37.7,395,25,31.4,30.3,41,34.1,31.3,95,10,10.5,17,2.43,14.8
Espanyol,1,7.0,9,1,1,1,0,9.1,0.25,0.1,0.02,35,112,31.3,180,32,49.4,38.4,47,48.9,43.0,102,4,3.9,4,0.57,12.1
Getafe,1,8.0,11,0,0,3,1,8.2,0.29,-1.8,-0.23,62,187,33.2,161,9,81.4,50.7,63,88.9,59.4,94,4,4.3,7,0.88,15.3
Girona,2,7.0,16,2,1,1,0,15.8,0.37,-0.2,-0.03,18,94,19.1,173,38,41.0,30.4,69,33.3,30.1,111,2,1.8,5,0.72,14.0
Levante,2,7.0,14,1,0,4,1,14.0,0.3,1.0,0.14,35,102,34.3,155,34,41.9,37.5,73,50.7,44.0,119,5,4.2,9,1.29,13.7
Mallorca,1,7.0,11,1,0,1,0,12.4,0.34,1.4,0.2,43,125,34.4,177,16,53.7,39.4,63,47.6,38.7,88,4,4.5,5,0.71,11.9
Osasuna,1,8.0,8,1,0,0,0,9.9,0.27,1.9,0.23,50,116,43.1,183,39,38.3,34.8,76,60.5,43.3,129,7,5.4,17,2.13,17.4
Oviedo,1,7.0,12,0,0,4,0,13.6,0.28,1.6,0.23,44,113,38.9,186,24,47.8,36.3,63,38.1,32.6,110,3,2.7,17,2.43,16.7
Rayo Vallecano,1,7.0,10,2,0,1,0,10.1,0.31,0.1,0.02,42,118,35.6,204,28,48.0,40.0,60,33.3,31.7,78,6,7.7,23,3.29,19.4
Real Madrid,1,7.0,8,2,1,1,0,5.3,0.2,-2.7,-0.39,22,73,30.1,180,31,28.9,33.6,42,50.0,41.5,92,5,5.4,12,1.71,15.8
Real Sociedad,1,7.0,11,1,0,1,1,10.2,0.31,0.2,0.03,35,76,46.1,179,20,30.2,31.2,53,41.5,40.4,78,1,1.3,16,2.29,20.7
Sevilla,2,7.0,10,2,1,1,0,10.7,0.28,0.7,0.09,29,83,34.9,199,30,30.7,32.8,35,62.9,49.2,96,2,2.1,7,1.0,11.5
Valencia,1,7.0,12,0,0,2,0,8.6,0.25,-3.4,-0.48,29,96,30.2,188,32,35.6,32.5,62,46.8,41.5,107,9,8.4,14,2.0,16.4
Villarreal,2,7.0,5,1,0,0,0,6.1,0.23,1.1,0.16,5,42,11.9,114,26,28.9,37.1,45,20.0,25.6,77,3,3.9,7,1.0,5.0
