Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,22,7.0,132,77,49,64,19,68,115,59.1,47,73,13,60,55,187,174,7
vs Athletic Club,24,7.0,132,79,69,52,11,66,123,53.7,57,94,36,58,83,215,216,6
vs Atlético Madrid,21,7.0,100,64,51,39,10,60,113,53.1,53,72,17,55,56,156,177,4
vs Barcelona,24,7.0,147,77,99,40,8,88,165,53.3,77,93,38,55,45,192,190,4
vs Betis,25,7.0,118,76,61,48,9,50,104,48.1,54,86,34,52,66,184,158,9
vs Celta Vigo,23,7.0,116,76,56,48,12,66,104,63.5,38,89,25,64,61,177,160,4
vs Elche,25,7.0,133,75,54,63,16,61,115,53.0,54,64,23,41,43,176,178,2
vs Espanyol,22,7.0,110,54,48,50,12,48,87,55.2,39,54,21,33,47,157,162,2
vs Getafe,23,8.0,133,85,70,49,14,57,110,51.8,53,72,18,54,37,170,247,5
vs Girona,27,7.0,134,73,54,52,28,70,136,51.5,66,64,24,40,46,180,153,3
vs Levante,24,7.0,113,59,62,42,9,45,82,54.9,37,62,16,46,50,163,166,5
vs Mallorca,24,7.0,100,61,47,35,18,44,89,49.4,45,70,20,50,39,139,178,1
vs Osasuna,20,8.0,116,65,54,51,11,54,103,52.4,49,80,16,64,51,167,214,2
vs Oviedo,26,7.0,111,76,38,52,21,66,115,57.4,49,54,11,43,62,173,113,6
vs Rayo Vallecano,23,7.0,94,59,41,42,11,48,92,52.2,44,82,21,61,57,151,191,8
vs Real Madrid,22,7.0,121,69,83,29,9,82,151,54.3,69,78,33,45,54,175,160,8
vs Real Sociedad,25,7.0,109,64,51,40,18,62,117,53.0,55,89,30,59,55,164,226,8
vs Sevilla,28,7.0,120,76,59,47,14,59,103,57.3,44,72,20,52,42,162,156,6
vs Valencia,20,7.0,103,66,52,43,8,61,101,60.4,40,61,17,44,52,155,183,1
vs Villarreal,24,7.0,114,68,66,30,18,62,116,53.4,54,52,23,29,49,163,188,6
